mOverR,sOverM,operatorNormOverTargetFrequency,stretchEntryOverTargetFrequency
0.02,0.01,0.9999999999980002,0.009997500537389398
0.02,0.01059253725177289,0.9999999999974826,0.01058982505981167
0.02,0.01122018454301964,0.9999999999968305,0.0112172348358817
0.02,0.01188502227437018,0.9999999999960099,0.01188180650196255
0.02,0.01258925411794167,0.999999999994977,0.01258573931029506
0.02,0.01333521432163324,0.9999999999936768,0.01333136231296158
0.02,0.01412537544622754,0.9999999999920395,0.01412114195618501
0.02,0.01496235656094434,0.9999999999899785,0.01495769010639111
0.02,0.01584893192461113,0.9999999999873841,0.01584377253018996
0.02,0.01678804018122561,0.9999999999841179,0.01678231785110215
0.02,0.01778279410038923,0.9999999999800063,0.0177764270064434
0.02,0.018836490894898,0.9999999999748305,0.01882938322826291
0.02,0.0199526231496888,0.9999999999683148,0.01994466257256994
0.02,0.02113489039836646,0.9999999999601126,0.02112594502124351
0.02,0.0223872113856834,0.9999999999497875,0.02237712618095094
0.02,0.02371373705661655,0.99999999993679,0.02370232960304632
0.02,0.02511886431509579,0.9999999999204287,0.02510591974771204
0.02,0.0266072505979881,0.9999999998998335,0.02659251561445995
0.02,0.02818382931264454,0.999999999873909,0.0281670050594295
0.02,0.0298538261891796,0.9999999998412759,0.02983455981758875
0.02,0.03162277660168379,0.9999999998001999,0.03160065124482242
0.02,0.03349654391578276,0.9999999997484974,0.03347106679081674
0.02,0.03548133892335755,0.9999999996834205,0.03545192720842526
0.02,0.03758374042884443,0.9999999996015109,0.03754970449859812
0.02,0.03981071705534973,0.9999999994984184,0.0397712405817047
0.02,0.04216965034285822,0.9999999993686682,0.0421237666758594
0.02,0.0446683592150963,0.9999999992053724,0.0446149233502997
0.02,0.04731512589614805,0.9999999989998664,0.04725278120652631
0.02,0.05011872336272725,0.9999999987412497,0.05004586212128821
0.02,0.05308844442309885,0.999999998415812,0.05300316096298935
0.02,0.05623413251903491,0.9999999980063095,0.05613416766602124
0.02,0.05956621435290103,0.9999999974910585,0.05944888951509714
0.02,0.06309573444801933,0.9999999968427928,0.06295787345297307
0.02,0.06683439175686148,0.9999999960272351,0.0666722281789517
0.02,0.0707945784384138,0.9999999950013002,0.07060364575110976
0.02,0.07498942093324558,0.9999999937108397,0.07476442234095018
0.02,0.07943282347242814,0.999999992087819,0.07916747771369645
0.02,0.08413951416451952,0.9999999900467751,0.08382637291911549
0.02,0.08912509381337459,0.9999999874803797,0.0887553255748387
0.02,0.09440608762859236,0.9999999842538853,0.09396922200482019
0.02,0.1,0.9999999801981769,0.09948362535793163
0.02,0.1059253725177289,0.9999999751010865,0.1053147786738825
0.02,0.1122018454301964,0.99999996869654,0.1114796016839332
0.02,0.1188502227437018,0.9999999606510198,0.1179956799307922
0.02,0.1258925411794168,0.9999999505466843,0.1248812445647174
0.02,0.1333521432163324,0.9999999378603533,0.1321551409210339
0.02,0.1412537544622755,0.9999999219373754,0.1398367837091107
0.02,0.1496235656094433,0.9999999019591845,0.1479460963470339
0.02,0.1584893192461114,0.9999998769030828,0.1565034316649087
0.02,0.1678804018122561,0.999999845492487,0.165529470881111
0.02,0.1778279410038923,0.9999998061354963,0.175045097442248
0.02,0.1883649089489801,0.9999997568492264,0.1850712420265886
0.02,0.199526231496888,0.9999996951668414,0.1956286947663266
0.02,0.2113489039836648,0.999999618023671,0.2067378805780666
0.02,0.223872113856834,0.9999995216181427,0.2184185934443785
0.02,0.2371373705661655,0.9999994012425766,0.2306896856134383
0.02,0.2511886431509581,0.9999992510781316,0.2435687080409049
0.02,0.266072505979881,0.9999990639474023,0.2570714990613692
0.02,0.2818382931264455,0.9999988310173964,0.271211719328364
0.02,0.298538261891796,0.9999985414448631,0.2860003325903726
0.02,0.3162277660168379,0.9999981819553593,0.301445033963657
0.02,0.3349654391578278,0.999997736346959,0.3175496300993727
0.02,0.3548133892335755,0.9999971849094194,0.3343133790772843
0.02,0.3758374042884443,0.9999965037498368,0.3517303020048199
0.02,0.3981071705534973,0.9999956640166164,0.3697884831078626
0.02,0.4216965034285822,0.9999946310149521,0.3884693804294688
0.02,0.4466835921509633,0.9999933632090722,0.4077471748516597
0.02,0.4731512589614805,0.9999918111092849,0.4275881906362317
0.02,0.5011872336272725,0.9999899160452069,0.4479504255117834
0.02,0.5308844442309885,0.9999876088303973,0.4687832318495906
0.02,0.5623413251903491,0.9999848083274573,0.4900271919057492
0.02,0.5956621435290106,0.9999814199261542,0.5116142286676343
0.02,0.6309573444801934,0.9999773339494854,0.5334679888130521
0.02,0.6683439175686149,0.9999724240032204,0.5555045251680243
0.02,0.707945784384138,0.9999665452824805,0.5776332926964352
0.02,0.7498942093324559,0.9999595328438253,0.5997584548385295
0.02,0.7943282347242817,0.9999511998426135,0.6217804768984326
0.02,0.8413951416451951,0.9999413357232745,0.6435979617304902
0.02,0.8912509381337459,0.9999297043348987,0.6651096622557457
0.02,0.9440608762859236,0.9999160419273753,0.6862165876902694
0.02,1,0.9999000549655229,0.7068241080666424
0.02,1.059253725177289,0.9998814176818972,0.7268439565260804
0.02,1.122018454301964,0.9998597692748523,0.7461960320169149
0.02,1.188502227437019,0.9998347106481912,0.7648099164996965
0.02,1.258925411794168,0.9998058005830371,0.7826260394874779
0.02,1.333521432163324,0.9997725512313436,0.7995964467470426
0.02,1.412537544622754,0.9997344228229433,0.8156851566176159
0.02,1.496235656094434,0.9996908174828459,0.8308681138143086
0.02,1.584893192461114,0.9996410720609341,0.8451327741427608
0.02,1.678804018122561,0.999584449880546,0.8584773722169212
0.02,1.778279410038923,0.9995201313141233,0.8709099368177518
0.02,1.8836490894898,0.9994472030920809,0.8824471246083561
0.02,1.995262314968881,0.9993646462446961,0.8931129429676052
0.02,2.113489039836648,0.9992713225660367,0.9029374277432766
0.02,2.23872113856834,0.9991659594740498,0.9119553331175314
0.02,2.371373705661655,0.9990471331225008,0.9202048799758721
0.02,2.511886431509582,0.9989132495992299,0.9277265975235329
0.02,2.660725059798811,0.9987625240219212,0.9345622815101511
0.02,2.818382931264455,0.9985929573180109,0.9407540821117937
0.02,2.98538261891796,0.9984023104501284,0.9463437257778022
0.02,3.16227766016838,0.9981880758231706,0.9513718684038079
0.02,3.349654391578279,0.9979474455843199,0.9558775720512733
0.02,3.548133892335757,0.9976772765036142,0.9598978939565685
0.02,3.758374042884443,0.997374051100789,0.9634675745271873
0.02,3.981071705534973,0.9970338346649069,0.9666188101377063
0.02,4.216965034285822,0.9966522277979151,0.9693810965393661
0.02,4.466835921509634,0.9962243141033147,0.9717811293329186
0.02,4.731512589614808,0.9957446026384703,0.9738427490088384
0.02,5.011872336272725,0.9952069647563899,0.9755869193581356
0.02,5.308844442309884,0.9946045649832378,0.9770317294682372
0.02,5.623413251903491,0.9939297856154811,0.9781924109471042
0.02,5.95662143529011,0.9931741447803697,0.979081363402609
0.02,6.309573444801936,0.9923282077915406,0.9797081825073964
0.02,6.683439175686149,0.9913814917551005,0.9800796861867797
0.02,7.07945784384138,0.9903223635492195,0.9801999355789645
0.02,7.498942093324558,0.9891379315220564,0.9800702484446638
0.02,7.943282347242821,0.9878139315399634,0.9796892036661533
0.02,8.413951416451956,0.9863346083831622,0.9790526363983973
0.02,8.912509381337459,0.9846825939428224,0.9781536243440098
0.02,9.440608762859236,0.9828387842357865,0.9769824665474134
0.02,10,0.9807822179344613,0.9755266570686167
0.02,10.5925372517729,0.9784899599212429,0.9737708569276129
0.02,11.22018454301964,0.9759369943270109,0.9716968688256323
0.02,11.88502227437019,0.9730961326029942,0.969283620360487
0.02,12.58925411794167,0.9699379433959523,0.9665071627598835
