separationIndex,separationRatio,transitionRelative,farRelative,totalRelative,exactLimitRelative
3,8,1,0.3125,1.3125,1.032258064516129
4,16,1.03125,0.0087890625,1.0400390625,1.032258064516129
5,32,1.0322265625,0.000244140625,1.032470703125,1.032258064516129
6,64,1.032257080078125,6.67572021484375e-06,1.0322637557983398,1.032258064516129
7,128,1.0322580337524414,1.7881393432617188e-07,1.0322582125663757,1.032258064516129
8,256,1.0322580635547638,4.6566128730773926e-09,1.0322580682113767,1.032258064516129
9,512,1.0322580644860864,1.1641532182693481e-10,1.0322580646025017,1.032258064516129
10,1024,1.0322580645151902,2.7284841053187847e-12,1.0322580645179187,1.032258064516129
11,2048,1.0322580645160997,5.6843418860808015e-14,1.0322580645161565,1.032258064516129
12,4096,1.0322580645161281,8.8817841970012523e-16,1.032258064516129,1.032258064516129
13,8192,1.032258064516129,0,1.032258064516129,1.032258064516129
