separationIndex,shellIndex,assignedWeightRelative,classification
3,2,1,transition
3,3,0.03125,lumpedFar
3,4,0.03125,lumpedFar
3,5,0.03125,lumpedFar
3,6,0.03125,lumpedFar
3,7,0.03125,lumpedFar
3,8,0.03125,lumpedFar
3,9,0.03125,lumpedFar
3,10,0.03125,lumpedFar
3,11,0.03125,lumpedFar
3,12,0.03125,lumpedFar
6,2,1,transition
6,3,0.03125,transition
6,4,0.0009765625,transition
6,5,3.0517578125e-05,transition
6,6,9.5367431640625e-07,lumpedFar
6,7,9.5367431640625e-07,lumpedFar
6,8,9.5367431640625e-07,lumpedFar
6,9,9.5367431640625e-07,lumpedFar
6,10,9.5367431640625e-07,lumpedFar
6,11,9.5367431640625e-07,lumpedFar
6,12,9.5367431640625e-07,lumpedFar
9,2,1,transition
9,3,0.03125,transition
9,4,0.0009765625,transition
9,5,3.0517578125e-05,transition
9,6,9.5367431640625e-07,transition
9,7,2.9802322387695312e-08,transition
9,8,9.3132257461547852e-10,transition
9,9,2.9103830456733704e-11,lumpedFar
9,10,2.9103830456733704e-11,lumpedFar
9,11,2.9103830456733704e-11,lumpedFar
9,12,2.9103830456733704e-11,lumpedFar
13,2,1,transition
13,3,0.03125,transition
13,4,0.0009765625,transition
13,5,3.0517578125e-05,transition
13,6,9.5367431640625e-07,transition
13,7,2.9802322387695312e-08,transition
13,8,9.3132257461547852e-10,transition
13,9,2.9103830456733704e-11,transition
13,10,9.0949470177292824e-13,transition
13,11,2.8421709430404007e-14,transition
13,12,8.8817841970012523e-16,transition
