quantity,log2Frequency,powerExponent,log2NormalizedQuantity
velocityL3,0,-0.5,-0
velocityL3,1,-0.5,-0.5
velocityL3,2,-0.5,-1
velocityL3,3,-0.5,-1.5
velocityL3,4,-0.5,-2
velocityL3,5,-0.5,-2.5
velocityL3,6,-0.5,-3
velocityL3,7,-0.5,-3.5
velocityL3,8,-0.5,-4
velocityL3,9,-0.5,-4.5
velocityL3,10,-0.5,-5
velocityL3,11,-0.5,-5.5
velocityL3,12,-0.5,-6
kineticMorrey,0,-1.0,-0
kineticMorrey,1,-1.0,-1
kineticMorrey,2,-1.0,-2
kineticMorrey,3,-1.0,-3
kineticMorrey,4,-1.0,-4
kineticMorrey,5,-1.0,-5
kineticMorrey,6,-1.0,-6
kineticMorrey,7,-1.0,-7
kineticMorrey,8,-1.0,-8
kineticMorrey,9,-1.0,-9
kineticMorrey,10,-1.0,-10
kineticMorrey,11,-1.0,-11
kineticMorrey,12,-1.0,-12
nearL2Source,0,1.0,0
nearL2Source,1,1.0,1
nearL2Source,2,1.0,2
nearL2Source,3,1.0,3
nearL2Source,4,1.0,4
nearL2Source,5,1.0,5
nearL2Source,6,1.0,6
nearL2Source,7,1.0,7
nearL2Source,8,1.0,8
nearL2Source,9,1.0,9
nearL2Source,10,1.0,10
nearL2Source,11,1.0,11
nearL2Source,12,1.0,12
absoluteAnnularUQ,0,0.5,0
absoluteAnnularUQ,1,0.5,0.5
absoluteAnnularUQ,2,0.5,1
absoluteAnnularUQ,3,0.5,1.5
absoluteAnnularUQ,4,0.5,2
absoluteAnnularUQ,5,0.5,2.5
absoluteAnnularUQ,6,0.5,3
absoluteAnnularUQ,7,0.5,3.5
absoluteAnnularUQ,8,0.5,4
absoluteAnnularUQ,9,0.5,4.5
absoluteAnnularUQ,10,0.5,5
absoluteAnnularUQ,11,0.5,5.5
absoluteAnnularUQ,12,0.5,6
