shellIndex,morreySaturatedContribution,partialSum,exactInfiniteSum,singleShellReverseRatioLowerBound
2,0.0078125,0.0078125,0.0083333333333333332,128
3,0.00048828125,0.00830078125,0.0083333333333333332,2048
4,3.0517578125e-05,0.008331298828125,0.0083333333333333332,32768
5,1.9073486328125e-06,0.0083332061767578125,0.0083333333333333332,524288
6,1.1920928955078125e-07,0.0083333253860473633,0.0083333333333333332,8388608
7,7.4505805969238281e-09,0.0083333328366279602,0.0083333333333333332,134217728
8,4.6566128730773926e-10,0.0083333333022892475,0.0083333333333333332,2147483648
9,2.9103830456733704e-11,0.008333333331393078,0.0083333333333333332,34359738368
10,1.8189894035458565e-12,0.0083333333332120674,0.0083333333333333332,549755813888
11,1.1368683772161603e-13,0.0083333333333257542,0.0083333333333333332,8796093022208
12,7.1054273576010019e-15,0.0083333333333328596,0.0083333333333333332,140737488355328
