derivativeOrder,dualIntegrability,criticalProduct
0.75000000,4.00000000,3.00000000
0.76250000,3.93442623,3.00000000
0.77500000,3.87096774,3.00000000
0.78750000,3.80952381,3.00000000
0.80000000,3.75000000,3.00000000
0.81250000,3.69230769,3.00000000
0.82500000,3.63636364,3.00000000
0.83750000,3.58208955,3.00000000
0.85000000,3.52941176,3.00000000
0.86250000,3.47826087,3.00000000
0.87500000,3.42857143,3.00000000
0.88750000,3.38028169,3.00000000
0.90000000,3.33333333,3.00000000
0.91250000,3.28767123,3.00000000
0.92500000,3.24324324,3.00000000
0.93750000,3.20000000,3.00000000
0.95000000,3.15789474,3.00000000
0.96250000,3.11688312,3.00000000
0.97500000,3.07692308,3.00000000
0.98750000,3.03797468,3.00000000
1.00000000,3.00000000,3.00000000
1.01250000,2.96296296,3.00000000
1.02500000,2.92682927,3.00000000
1.03750000,2.89156627,3.00000000
1.05000000,2.85714286,3.00000000
1.06250000,2.82352941,3.00000000
1.07500000,2.79069767,3.00000000
1.08750000,2.75862069,3.00000000
1.10000000,2.72727273,3.00000000
1.11250000,2.69662921,3.00000000
1.12500000,2.66666667,3.00000000
1.13750000,2.63736264,3.00000000
1.15000000,2.60869565,3.00000000
1.16250000,2.58064516,3.00000000
1.17500000,2.55319149,3.00000000
1.18750000,2.52631579,3.00000000
1.20000000,2.50000000,3.00000000
1.21250000,2.47422680,3.00000000
1.22500000,2.44897959,3.00000000
1.23750000,2.42424242,3.00000000
1.25000000,2.40000000,3.00000000
1.26250000,2.37623762,3.00000000
1.27500000,2.35294118,3.00000000
1.28750000,2.33009709,3.00000000
1.30000000,2.30769231,3.00000000
1.31250000,2.28571429,3.00000000
1.32500000,2.26415094,3.00000000
1.33750000,2.24299065,3.00000000
1.35000000,2.22222222,3.00000000
1.36250000,2.20183486,3.00000000
1.37500000,2.18181818,3.00000000
1.38750000,2.16216216,3.00000000
1.40000000,2.14285714,3.00000000
1.41250000,2.12389381,3.00000000
1.42500000,2.10526316,3.00000000
1.43750000,2.08695652,3.00000000
1.45000000,2.06896552,3.00000000
1.46250000,2.05128205,3.00000000
1.47500000,2.03389831,3.00000000
1.48750000,2.01680672,3.00000000
1.50000000,2.00000000,3.00000000
1.51250000,1.98347107,3.00000000
1.52500000,1.96721311,3.00000000
1.53750000,1.95121951,3.00000000
1.55000000,1.93548387,3.00000000
1.56250000,1.92000000,3.00000000
1.57500000,1.90476190,3.00000000
1.58750000,1.88976378,3.00000000
1.60000000,1.87500000,3.00000000
1.61250000,1.86046512,3.00000000
1.62500000,1.84615385,3.00000000
1.63750000,1.83206107,3.00000000
1.65000000,1.81818182,3.00000000
1.66250000,1.80451128,3.00000000
1.67500000,1.79104478,3.00000000
1.68750000,1.77777778,3.00000000
1.70000000,1.76470588,3.00000000
1.71250000,1.75182482,3.00000000
1.72500000,1.73913043,3.00000000
1.73750000,1.72661871,3.00000000
1.75000000,1.71428571,3.00000000
1.76250000,1.70212766,3.00000000
1.77500000,1.69014085,3.00000000
1.78750000,1.67832168,3.00000000
1.80000000,1.66666667,3.00000000
1.81250000,1.65517241,3.00000000
1.82500000,1.64383562,3.00000000
1.83750000,1.63265306,3.00000000
1.85000000,1.62162162,3.00000000
1.86250000,1.61073826,3.00000000
1.87500000,1.60000000,3.00000000
1.88750000,1.58940397,3.00000000
1.90000000,1.57894737,3.00000000
1.91250000,1.56862745,3.00000000
1.92500000,1.55844156,3.00000000
1.93750000,1.54838710,3.00000000
1.95000000,1.53846154,3.00000000
1.96250000,1.52866242,3.00000000
1.97500000,1.51898734,3.00000000
1.98750000,1.50943396,3.00000000
2.00000000,1.50000000,3.00000000
2.01250000,1.49068323,3.00000000
2.02500000,1.48148148,3.00000000
2.03750000,1.47239264,3.00000000
2.05000000,1.46341463,3.00000000
2.06250000,1.45454545,3.00000000
2.07500000,1.44578313,3.00000000
2.08750000,1.43712575,3.00000000
2.10000000,1.42857143,3.00000000
2.11250000,1.42011834,3.00000000
2.12500000,1.41176471,3.00000000
2.13750000,1.40350877,3.00000000
2.15000000,1.39534884,3.00000000
2.16250000,1.38728324,3.00000000
2.17500000,1.37931034,3.00000000
2.18750000,1.37142857,3.00000000
2.20000000,1.36363636,3.00000000
2.21250000,1.35593220,3.00000000
2.22500000,1.34831461,3.00000000
2.23750000,1.34078212,3.00000000
2.25000000,1.33333333,3.00000000
