zOverZStar,profitOverMaximum
0.00000000,0.00000000
0.01000000,0.00370000
0.02000000,0.01011371
0.03000000,0.01808461
0.04000000,0.02720000
0.05000000,0.03722136
0.06000000,0.04798775
0.07000000,0.05938104
0.08000000,0.07130967
0.09000000,0.08370000
0.10000000,0.09649111
0.11000000,0.10963149
0.12000000,0.12307688
0.13000000,0.13678867
0.14000000,0.15073281
0.15000000,0.16487900
0.16000000,0.17920000
0.17000000,0.19367118
0.18000000,0.20827013
0.19000000,0.22297632
0.20000000,0.23777088
0.21000000,0.25263636
0.22000000,0.26755659
0.23000000,0.28251650
0.24000000,0.29750203
0.25000000,0.31250000
0.26000000,0.32749803
0.27000000,0.34248446
0.28000000,0.35744829
0.29000000,0.37237912
0.30000000,0.38726707
0.31000000,0.40210278
0.32000000,0.41687734
0.33000000,0.43158227
0.34000000,0.44620946
0.35000000,0.46075117
0.36000000,0.47520000
0.37000000,0.48954885
0.38000000,0.50379093
0.39000000,0.51791969
0.40000000,0.53192885
0.41000000,0.54581237
0.42000000,0.55956444
0.43000000,0.57317943
0.44000000,0.58665193
0.45000000,0.59997671
0.46000000,0.61314872
0.47000000,0.62616306
0.48000000,0.63901502
0.49000000,0.65170000
0.50000000,0.66421356
0.51000000,0.67655140
0.52000000,0.68870933
0.53000000,0.70068330
0.54000000,0.71246935
0.55000000,0.72406367
0.56000000,0.73546251
0.57000000,0.74666225
0.58000000,0.75765936
0.59000000,0.76845040
0.60000000,0.77903201
0.61000000,0.78940092
0.62000000,0.79955395
0.63000000,0.80948799
0.64000000,0.81920000
0.65000000,0.82868701
0.66000000,0.83794614
0.67000000,0.84697454
0.68000000,0.85576946
0.69000000,0.86432819
0.70000000,0.87264807
0.71000000,0.88072654
0.72000000,0.88856104
0.73000000,0.89614909
0.74000000,0.90348828
0.75000000,0.91057621
0.76000000,0.91741056
0.77000000,0.92398903
0.78000000,0.93030939
0.79000000,0.93636944
0.80000000,0.94216701
0.81000000,0.94770000
0.82000000,0.95296633
0.83000000,0.95796395
0.84000000,0.96269087
0.85000000,0.96714512
0.86000000,0.97132476
0.87000000,0.97522791
0.88000000,0.97885269
0.89000000,0.98219728
0.90000000,0.98525987
0.91000000,0.98803869
0.92000000,0.99053200
0.93000000,0.99273808
0.94000000,0.99465525
0.95000000,0.99628185
0.96000000,0.99761624
0.97000000,0.99865683
0.98000000,0.99940202
0.99000000,0.99985025
1.00000000,1.00000000
1.01000000,0.99984975
1.02000000,0.99939801
1.03000000,0.99864332
1.04000000,0.99758424
1.05000000,0.99621932
1.06000000,0.99454718
1.07000000,0.99256643
1.08000000,0.99027569
1.09000000,0.98767364
1.10000000,0.98475893
1.11000000,0.98153027
1.12000000,0.97798635
1.13000000,0.97412591
1.14000000,0.96994768
1.15000000,0.96545044
1.16000000,0.96063294
1.17000000,0.95549399
1.18000000,0.95003239
1.19000000,0.94424697
1.20000000,0.93813655
1.21000000,0.93170000
1.22000000,0.92493618
1.23000000,0.91784396
1.24000000,0.91042225
1.25000000,0.90266994
1.26000000,0.89458597
1.27000000,0.88616926
1.28000000,0.87741875
1.29000000,0.86833341
1.30000000,0.85891221
1.31000000,0.84915413
1.32000000,0.83905815
1.33000000,0.82862330
1.34000000,0.81784858
1.35000000,0.80673302
1.36000000,0.79527566
1.37000000,0.78347555
1.38000000,0.77133175
1.39000000,0.75884332
1.40000000,0.74600936
1.41000000,0.73282894
1.42000000,0.71930116
1.43000000,0.70542515
1.44000000,0.69120000
1.45000000,0.67662486
1.46000000,0.66169885
1.47000000,0.64642112
1.48000000,0.63079084
1.49000000,0.61480715
1.50000000,0.59846923
1.51000000,0.58177626
1.52000000,0.56472743
1.53000000,0.54732193
1.54000000,0.52955897
1.55000000,0.51143775
1.56000000,0.49295750
1.57000000,0.47411745
1.58000000,0.45491682
1.59000000,0.43535486
1.60000000,0.41543081
1.61000000,0.39514394
1.62000000,0.37449350
1.63000000,0.35347876
1.64000000,0.33209900
1.65000000,0.31035350
1.66000000,0.28824155
1.67000000,0.26576245
1.68000000,0.24291550
1.69000000,0.21970000
1.70000000,0.19611527
1.71000000,0.17216063
1.72000000,0.14783541
1.73000000,0.12313894
1.74000000,0.09807055
1.75000000,0.07262959
1.76000000,0.04681541
1.77000000,0.02062736
1.78000000,-0.00593519
1.79000000,-0.03287288
1.80000000,-0.06018634
