dissipationOverOptimizer,profitOverMaximum
0.00000000,0.00000000
0.01250000,0.11203488
0.02500000,0.17648669
0.03750000,0.22836581
0.05000000,0.27294851
0.06250000,0.31250000
0.07500000,0.34826568
0.08750000,0.38102590
0.10000000,0.41131176
0.11250000,0.43950602
0.12500000,0.46589642
0.13750000,0.49070642
0.15000000,0.51411410
0.16250000,0.53626438
0.17500000,0.55727725
0.18750000,0.57725353
0.20000000,0.59627902
0.21250000,0.61442754
0.22500000,0.63176315
0.23750000,0.64834199
0.25000000,0.66421356
0.26250000,0.67942183
0.27500000,0.69400608
0.28750000,0.70800158
0.30000000,0.72144019
0.31250000,0.73435076
0.32500000,0.74675960
0.33750000,0.75869070
0.35000000,0.77016611
0.36250000,0.78120608
0.37500000,0.79182931
0.38750000,0.80205310
0.40000000,0.81189349
0.41250000,0.82136540
0.42500000,0.83048276
0.43750000,0.83925854
0.45000000,0.84770490
0.46250000,0.85583325
0.47500000,0.86365430
0.48750000,0.87117813
0.50000000,0.87841423
0.51250000,0.88537157
0.52500000,0.89205862
0.53750000,0.89848341
0.55000000,0.90465353
0.56250000,0.91057621
0.57500000,0.91625830
0.58750000,0.92170632
0.60000000,0.92692648
0.61250000,0.93192470
0.62500000,0.93670663
0.63750000,0.94127766
0.65000000,0.94564294
0.66250000,0.94980743
0.67500000,0.95377583
0.68750000,0.95755268
0.70000000,0.96114232
0.71250000,0.96454892
0.72500000,0.96777649
0.73750000,0.97082888
0.75000000,0.97370980
0.76250000,0.97642279
0.77500000,0.97897132
0.78750000,0.98135867
0.80000000,0.98358804
0.81250000,0.98566252
0.82500000,0.98758508
0.83750000,0.98935858
0.85000000,0.99098580
0.86250000,0.99246944
0.87500000,0.99381208
0.88750000,0.99501624
0.90000000,0.99608435
0.91250000,0.99701877
0.92500000,0.99782178
0.93750000,0.99849561
0.95000000,0.99904240
0.96250000,0.99946424
0.97500000,0.99976315
0.98750000,0.99994110
1.00000000,1.00000000
1.01250000,0.99994171
1.02500000,0.99976803
1.03750000,0.99948073
1.05000000,0.99908150
1.06250000,0.99857201
1.07500000,0.99795389
1.08750000,0.99722871
1.10000000,0.99639799
1.11250000,0.99546325
1.12500000,0.99442595
1.13750000,0.99328749
1.15000000,0.99204927
1.16250000,0.99071265
1.17500000,0.98927894
1.18750000,0.98774944
1.20000000,0.98612540
1.21250000,0.98440806
1.22500000,0.98259860
1.23750000,0.98069822
1.25000000,0.97870805
1.26250000,0.97662921
1.27500000,0.97446280
1.28750000,0.97220990
1.30000000,0.96987154
1.31250000,0.96744877
1.32500000,0.96494257
1.33750000,0.96235394
1.35000000,0.95968383
1.36250000,0.95693319
1.37500000,0.95410294
1.38750000,0.95119398
1.40000000,0.94820721
1.41250000,0.94514347
1.42500000,0.94200364
1.43750000,0.93878853
1.45000000,0.93549898
1.46250000,0.93213577
1.47500000,0.92869969
1.48750000,0.92519153
1.50000000,0.92161202
1.51250000,0.91796192
1.52500000,0.91424196
1.53750000,0.91045284
1.55000000,0.90659527
1.56250000,0.90266994
1.57500000,0.89867753
1.58750000,0.89461871
1.60000000,0.89049411
1.61250000,0.88630440
1.62500000,0.88205019
1.63750000,0.87773210
1.65000000,0.87335075
1.66250000,0.86890674
1.67500000,0.86440065
1.68750000,0.85983306
1.70000000,0.85520454
1.71250000,0.85051565
1.72500000,0.84576693
1.73750000,0.84095894
1.75000000,0.83609221
1.76250000,0.83116725
1.77500000,0.82618458
1.78750000,0.82114472
1.80000000,0.81604815
1.81250000,0.81089538
1.82500000,0.80568689
1.83750000,0.80042314
1.85000000,0.79510463
1.86250000,0.78973179
1.87500000,0.78430510
1.88750000,0.77882499
1.90000000,0.77329191
1.91250000,0.76770630
1.92500000,0.76206859
1.93750000,0.75637919
1.95000000,0.75063852
1.96250000,0.74484700
1.97500000,0.73900503
1.98750000,0.73311301
2.00000000,0.72717132
2.01250000,0.72118037
2.02500000,0.71514052
2.03750000,0.70905216
2.05000000,0.70291566
2.06250000,0.69673139
2.07500000,0.69049970
2.08750000,0.68422096
2.10000000,0.67789552
2.11250000,0.67152372
2.12500000,0.66510590
2.13750000,0.65864241
2.15000000,0.65213358
2.16250000,0.64557973
2.17500000,0.63898120
2.18750000,0.63233830
2.20000000,0.62565134
2.21250000,0.61892066
2.22500000,0.61214654
2.23750000,0.60532929
2.25000000,0.59846923
2.26250000,0.59156664
2.27500000,0.58462181
2.28750000,0.57763504
2.30000000,0.57060662
2.31250000,0.56353682
2.32500000,0.55642593
2.33750000,0.54927422
2.35000000,0.54208196
2.36250000,0.53484943
2.37500000,0.52757689
2.38750000,0.52026460
2.40000000,0.51291282
2.41250000,0.50552182
2.42500000,0.49809183
2.43750000,0.49062312
2.45000000,0.48311594
2.46250000,0.47557052
2.47500000,0.46798711
2.48750000,0.46036596
2.50000000,0.45270729
2.51250000,0.44501134
2.52500000,0.43727834
2.53750000,0.42950853
2.55000000,0.42170213
2.56250000,0.41385936
2.57500000,0.40598044
2.58750000,0.39806560
2.60000000,0.39011505
2.61250000,0.38212900
2.62500000,0.37410767
2.63750000,0.36605127
2.65000000,0.35796000
2.66250000,0.34983407
2.67500000,0.34167369
2.68750000,0.33347905
2.70000000,0.32525035
2.71250000,0.31698779
2.72500000,0.30869157
2.73750000,0.30036188
2.75000000,0.29199891
2.76250000,0.28360285
2.77500000,0.27517388
2.78750000,0.26671219
2.80000000,0.25821797
2.81250000,0.24969139
2.82500000,0.24113264
2.83750000,0.23254189
2.85000000,0.22391932
2.86250000,0.21526510
2.87500000,0.20657941
2.88750000,0.19786241
2.90000000,0.18911428
2.91250000,0.18033519
2.92500000,0.17152529
2.93750000,0.16268476
2.95000000,0.15381376
2.96250000,0.14491245
2.97500000,0.13598098
2.98750000,0.12701952
3.00000000,0.11802823
3.01250000,0.10900725
3.02500000,0.09995675
3.03750000,0.09087687
3.05000000,0.08176777
3.06250000,0.07262959
3.07500000,0.06346249
3.08750000,0.05426660
3.10000000,0.04504209
3.11250000,0.03578908
3.12500000,0.02650773
3.13750000,0.01719818
3.15000000,0.00786056
3.16250000,-0.00150499
3.17500000,-0.01089832
3.18750000,-0.02031930
3.20000000,-0.02976780
3.21250000,-0.03924368
3.22500000,-0.04874680
3.23750000,-0.05827705
3.25000000,-0.06783427
3.26250000,-0.07741836
3.27500000,-0.08702916
3.28750000,-0.09666657
3.30000000,-0.10633045
3.31250000,-0.11602068
