lengthScale,amplitudeOverViscosity,ratioFactor
1.000000000000e-02,0.25000000,2.500000000000e-05
1.029200527194e-02,0.25000000,2.648134312943e-05
1.059253725177e-02,0.25000000,2.805046135755e-05
1.090184492385e-02,0.25000000,2.971255568593e-05
1.122018454302e-02,0.25000000,3.147313529485e-05
1.154781984689e-02,0.25000000,3.333803580408e-05
1.188502227437e-02,0.25000000,3.531343861557e-05
1.223207119050e-02,0.25000000,3.740589140236e-05
1.258925411794e-02,0.25000000,3.962232981153e-05
1.295686697517e-02,0.25000000,4.197010045306e-05
1.333521432163e-02,0.25000000,4.445698525097e-05
1.372460961008e-02,0.25000000,4.709122723725e-05
1.412537544623e-02,0.25000000,4.988155787422e-05
1.453784385608e-02,0.25000000,5.283722599592e-05
1.496235656094e-02,0.25000000,5.596802846421e-05
1.539926526059e-02,0.25000000,5.928434264154e-05
1.584893192461e-02,0.25000000,6.279716078774e-05
1.631172909228e-02,0.25000000,6.651812649497e-05
1.678804018123e-02,0.25000000,7.045957328161e-05
1.727825980508e-02,0.25000000,7.463456547295e-05
1.778279410039e-02,0.25000000,7.905694150421e-05
1.830206106311e-02,0.25000000,8.374135978946e-05
1.883649089490e-02,0.25000000,8.870334730839e-05
1.938652635952e-02,0.25000000,9.395935107211e-05
1.995262314969e-02,0.25000000,9.952679263837e-05
2.053525026457e-02,0.25000000,1.054241258571e-04
2.113489039837e-02,0.25000000,1.116708980377e-04
2.175204034020e-02,0.25000000,1.182878147404e-04
2.238721138568e-02,0.25000000,1.252968084068e-04
2.304092976056e-02,0.25000000,1.327211110577e-04
2.371373705662e-02,0.25000000,1.405853312976e-04
2.440619068042e-02,0.25000000,1.489155358823e-04
2.511886431510e-02,0.25000000,1.577393361200e-04
2.585234839562e-02,0.25000000,1.670859793922e-04
2.660725059799e-02,0.25000000,1.769864460960e-04
2.738419634264e-02,0.25000000,1.874735523331e-04
2.818382931264e-02,0.25000000,1.985820586811e-04
2.900681198693e-02,0.25000000,2.103487854113e-04
2.985382618918e-02,0.25000000,2.228127345334e-04
3.072557365267e-02,0.25000000,2.360152190715e-04
3.162277660168e-02,0.25000000,2.500000000000e-04
3.254617834980e-02,0.25000000,2.648134312943e-04
3.349654391578e-02,0.25000000,2.805046135755e-04
3.447466065731e-02,0.25000000,2.971255568593e-04
3.548133892336e-02,0.25000000,3.147313529485e-04
3.651741272548e-02,0.25000000,3.333803580408e-04
3.758374042884e-02,0.25000000,3.531343861557e-04
3.868120546331e-02,0.25000000,3.740589140236e-04
3.981071705535e-02,0.25000000,3.962232981153e-04
4.097321098135e-02,0.25000000,4.197010045306e-04
4.216965034286e-02,0.25000000,4.445698525097e-04
4.340102636447e-02,0.25000000,4.709122723725e-04
4.466835921510e-02,0.25000000,4.988155787422e-04
4.597269885309e-02,0.25000000,5.283722599592e-04
4.731512589615e-02,0.25000000,5.596802846421e-04
4.869675251659e-02,0.25000000,5.928434264154e-04
5.011872336273e-02,0.25000000,6.279716078774e-04
5.158221650723e-02,0.25000000,6.651812649497e-04
5.308844442310e-02,0.25000000,7.045957328161e-04
5.463865498819e-02,0.25000000,7.463456547295e-04
5.623413251903e-02,0.25000000,7.905694150421e-04
5.787619883491e-02,0.25000000,8.374135978946e-04
5.956621435290e-02,0.25000000,8.870334730839e-04
6.130557921498e-02,0.25000000,9.395935107211e-04
6.309573444802e-02,0.25000000,9.952679263837e-04
6.493816315762e-02,0.25000000,1.054241258571e-03
6.683439175686e-02,0.25000000,1.116708980377e-03
6.878599123088e-02,0.25000000,1.182878147404e-03
7.079457843841e-02,0.25000000,1.252968084068e-03
7.286181745132e-02,0.25000000,1.327211110577e-03
7.498942093325e-02,0.25000000,1.405853312976e-03
7.717915155850e-02,0.25000000,1.489155358823e-03
7.943282347243e-02,0.25000000,1.577393361200e-03
8.175230379437e-02,0.25000000,1.670859793922e-03
8.413951416452e-02,0.25000000,1.769864460960e-03
8.659643233601e-02,0.25000000,1.874735523331e-03
8.912509381337e-02,0.25000000,1.985820586811e-03
9.172759353898e-02,0.25000000,2.103487854113e-03
9.440608762859e-02,0.25000000,2.228127345334e-03
9.716279515771e-02,0.25000000,2.360152190715e-03
1.000000000000e-01,0.25000000,2.500000000000e-03
1.029200527194e-01,0.25000000,2.648134312943e-03
1.059253725177e-01,0.25000000,2.805046135755e-03
1.090184492385e-01,0.25000000,2.971255568593e-03
1.122018454302e-01,0.25000000,3.147313529485e-03
1.154781984689e-01,0.25000000,3.333803580408e-03
1.188502227437e-01,0.25000000,3.531343861557e-03
1.223207119050e-01,0.25000000,3.740589140236e-03
1.258925411794e-01,0.25000000,3.962232981153e-03
1.295686697517e-01,0.25000000,4.197010045306e-03
1.333521432163e-01,0.25000000,4.445698525097e-03
1.372460961008e-01,0.25000000,4.709122723725e-03
1.412537544623e-01,0.25000000,4.988155787422e-03
1.453784385608e-01,0.25000000,5.283722599592e-03
1.496235656094e-01,0.25000000,5.596802846421e-03
1.539926526059e-01,0.25000000,5.928434264154e-03
1.584893192461e-01,0.25000000,6.279716078774e-03
1.631172909228e-01,0.25000000,6.651812649497e-03
1.678804018123e-01,0.25000000,7.045957328161e-03
1.727825980508e-01,0.25000000,7.463456547295e-03
1.778279410039e-01,0.25000000,7.905694150421e-03
1.830206106311e-01,0.25000000,8.374135978946e-03
1.883649089490e-01,0.25000000,8.870334730839e-03
1.938652635952e-01,0.25000000,9.395935107211e-03
1.995262314969e-01,0.25000000,9.952679263837e-03
2.053525026457e-01,0.25000000,1.054241258571e-02
2.113489039837e-01,0.25000000,1.116708980377e-02
2.175204034020e-01,0.25000000,1.182878147404e-02
2.238721138568e-01,0.25000000,1.252968084068e-02
2.304092976056e-01,0.25000000,1.327211110577e-02
2.371373705662e-01,0.25000000,1.405853312976e-02
2.440619068042e-01,0.25000000,1.489155358823e-02
2.511886431510e-01,0.25000000,1.577393361200e-02
2.585234839562e-01,0.25000000,1.670859793922e-02
2.660725059799e-01,0.25000000,1.769864460960e-02
2.738419634264e-01,0.25000000,1.874735523331e-02
2.818382931264e-01,0.25000000,1.985820586811e-02
2.900681198693e-01,0.25000000,2.103487854113e-02
2.985382618918e-01,0.25000000,2.228127345334e-02
3.072557365267e-01,0.25000000,2.360152190715e-02
3.162277660168e-01,0.25000000,2.500000000000e-02
3.254617834980e-01,0.25000000,2.648134312943e-02
3.349654391578e-01,0.25000000,2.805046135755e-02
3.447466065731e-01,0.25000000,2.971255568593e-02
3.548133892336e-01,0.25000000,3.147313529485e-02
3.651741272548e-01,0.25000000,3.333803580408e-02
3.758374042884e-01,0.25000000,3.531343861557e-02
3.868120546331e-01,0.25000000,3.740589140236e-02
3.981071705535e-01,0.25000000,3.962232981153e-02
4.097321098135e-01,0.25000000,4.197010045306e-02
4.216965034286e-01,0.25000000,4.445698525097e-02
4.340102636447e-01,0.25000000,4.709122723725e-02
4.466835921510e-01,0.25000000,4.988155787422e-02
4.597269885309e-01,0.25000000,5.283722599592e-02
4.731512589615e-01,0.25000000,5.596802846421e-02
4.869675251659e-01,0.25000000,5.928434264154e-02
5.011872336273e-01,0.25000000,6.279716078774e-02
