radiusOverOptimal,nearContribution,farContribution,totalBound
1.000000000000e-01,1.500000000000e-01,3.162277660168e+01,3.177277660168e+01
1.014495208069e-01,1.521742812103e-01,3.094745926756e+01,3.109963354877e+01
1.029200527194e-01,1.543800790792e-01,3.028656361144e+01,3.044094369052e+01
1.044119002981e-01,1.566178504471e-01,2.963978165249e+01,2.979639950294e+01
1.059253725177e-01,1.588880587766e-01,2.900681198693e+01,2.916570004571e+01
1.074607828321e-01,1.611911742482e-01,2.838735964759e+01,2.854855082184e+01
1.090184492385e-01,1.635276738578e-01,2.778113596643e+01,2.794466364028e+01
1.105986943436e-01,1.658980415153e-01,2.718785844004e+01,2.735375648155e+01
1.122018454302e-01,1.683027681453e-01,2.660725059799e+01,2.677555336613e+01
1.138282345254e-01,1.707423517881e-01,2.603904187399e+01,2.620978422578e+01
1.154781984689e-01,1.732172977034e-01,2.548296747979e+01,2.565618477750e+01
1.171520789832e-01,1.757281184747e-01,2.493876828183e+01,2.511449640030e+01
1.188502227437e-01,1.782753341156e-01,2.440619068042e+01,2.458446601454e+01
1.205729814514e-01,1.808594721771e-01,2.388498649162e+01,2.406584596379e+01
1.223207119050e-01,1.834810678575e-01,2.337491283153e+01,2.355839389939e+01
1.240937760752e-01,1.861406641128e-01,2.287573200318e+01,2.306187266730e+01
1.258925411794e-01,1.888388117691e-01,2.238721138568e+01,2.257605019745e+01
1.277173797581e-01,1.915760696372e-01,2.190912332587e+01,2.210069939551e+01
1.295686697517e-01,1.943530046276e-01,2.144124503220e+01,2.163559803683e+01
1.314467945789e-01,1.971701918684e-01,2.098335847095e+01,2.118052866281e+01
1.333521432163e-01,2.000282148245e-01,2.053525026457e+01,2.073527847940e+01
1.352851102787e-01,2.029276654180e-01,2.009671159231e+01,2.029963925772e+01
1.372460961008e-01,2.058691441511e-01,1.966753809283e+01,1.987340723698e+01
1.392355068204e-01,2.088532602305e-01,1.924752976906e+01,1.945638302929e+01
1.412537544623e-01,2.118806316934e-01,1.883649089490e+01,1.904837152659e+01
