p,qAmplitude,qSpatial
0.00000000,3.00000000,2.00000000
0.01250000,2.98750000,1.99583333
0.02500000,2.97500000,1.99166667
0.03750000,2.96250000,1.98750000
0.05000000,2.95000000,1.98333333
0.06250000,2.93750000,1.97916667
0.07500000,2.92500000,1.97500000
0.08750000,2.91250000,1.97083333
0.10000000,2.90000000,1.96666667
0.11250000,2.88750000,1.96250000
0.12500000,2.87500000,1.95833333
0.13750000,2.86250000,1.95416667
0.15000000,2.85000000,1.95000000
0.16250000,2.83750000,1.94583333
0.17500000,2.82500000,1.94166667
0.18750000,2.81250000,1.93750000
0.20000000,2.80000000,1.93333333
0.21250000,2.78750000,1.92916667
0.22500000,2.77500000,1.92500000
0.23750000,2.76250000,1.92083333
0.25000000,2.75000000,1.91666667
0.26250000,2.73750000,1.91250000
0.27500000,2.72500000,1.90833333
0.28750000,2.71250000,1.90416667
0.30000000,2.70000000,1.90000000
0.31250000,2.68750000,1.89583333
0.32500000,2.67500000,1.89166667
0.33750000,2.66250000,1.88750000
0.35000000,2.65000000,1.88333333
0.36250000,2.63750000,1.87916667
0.37500000,2.62500000,1.87500000
0.38750000,2.61250000,1.87083333
0.40000000,2.60000000,1.86666667
0.41250000,2.58750000,1.86250000
0.42500000,2.57500000,1.85833333
0.43750000,2.56250000,1.85416667
0.45000000,2.55000000,1.85000000
0.46250000,2.53750000,1.84583333
0.47500000,2.52500000,1.84166667
0.48750000,2.51250000,1.83750000
0.50000000,2.50000000,1.83333333
0.51250000,2.48750000,1.82916667
0.52500000,2.47500000,1.82500000
0.53750000,2.46250000,1.82083333
0.55000000,2.45000000,1.81666667
0.56250000,2.43750000,1.81250000
0.57500000,2.42500000,1.80833333
0.58750000,2.41250000,1.80416667
0.60000000,2.40000000,1.80000000
0.61250000,2.38750000,1.79583333
0.62500000,2.37500000,1.79166667
0.63750000,2.36250000,1.78750000
0.65000000,2.35000000,1.78333333
0.66250000,2.33750000,1.77916667
0.67500000,2.32500000,1.77500000
0.68750000,2.31250000,1.77083333
0.70000000,2.30000000,1.76666667
0.71250000,2.28750000,1.76250000
0.72500000,2.27500000,1.75833333
0.73750000,2.26250000,1.75416667
0.75000000,2.25000000,1.75000000
0.76250000,2.23750000,1.74583333
0.77500000,2.22500000,1.74166667
0.78750000,2.21250000,1.73750000
0.80000000,2.20000000,1.73333333
0.81250000,2.18750000,1.72916667
0.82500000,2.17500000,1.72500000
0.83750000,2.16250000,1.72083333
0.85000000,2.15000000,1.71666667
0.86250000,2.13750000,1.71250000
0.87500000,2.12500000,1.70833333
0.88750000,2.11250000,1.70416667
0.90000000,2.10000000,1.70000000
0.91250000,2.08750000,1.69583333
0.92500000,2.07500000,1.69166667
0.93750000,2.06250000,1.68750000
0.95000000,2.05000000,1.68333333
0.96250000,2.03750000,1.67916667
0.97500000,2.02500000,1.67500000
0.98750000,2.01250000,1.67083333
1.00000000,2.00000000,1.66666667
1.01250000,1.98750000,1.66250000
1.02500000,1.97500000,1.65833333
1.03750000,1.96250000,1.65416667
1.05000000,1.95000000,1.65000000
1.06250000,1.93750000,1.64583333
1.07500000,1.92500000,1.64166667
1.08750000,1.91250000,1.63750000
1.10000000,1.90000000,1.63333333
1.11250000,1.88750000,1.62916667
1.12500000,1.87500000,1.62500000
1.13750000,1.86250000,1.62083333
1.15000000,1.85000000,1.61666667
1.16250000,1.83750000,1.61250000
1.17500000,1.82500000,1.60833333
1.18750000,1.81250000,1.60416667
1.20000000,1.80000000,1.60000000
1.21250000,1.78750000,1.59583333
1.22500000,1.77500000,1.59166667
1.23750000,1.76250000,1.58750000
1.25000000,1.75000000,1.58333333
1.26250000,1.73750000,1.57916667
1.27500000,1.72500000,1.57500000
1.28750000,1.71250000,1.57083333
1.30000000,1.70000000,1.56666667
1.31250000,1.68750000,1.56250000
1.32500000,1.67500000,1.55833333
1.33750000,1.66250000,1.55416667
1.35000000,1.65000000,1.55000000
1.36250000,1.63750000,1.54583333
1.37500000,1.62500000,1.54166667
1.38750000,1.61250000,1.53750000
1.40000000,1.60000000,1.53333333
1.41250000,1.58750000,1.52916667
1.42500000,1.57500000,1.52500000
1.43750000,1.56250000,1.52083333
1.45000000,1.55000000,1.51666667
1.46250000,1.53750000,1.51250000
1.47500000,1.52500000,1.50833333
1.48750000,1.51250000,1.50416667
1.50000000,1.50000000,1.50000000
1.51250000,1.48750000,1.49583333
1.52500000,1.47500000,1.49166667
1.53750000,1.46250000,1.48750000
1.55000000,1.45000000,1.48333333
1.56250000,1.43750000,1.47916667
1.57500000,1.42500000,1.47500000
1.58750000,1.41250000,1.47083333
1.60000000,1.40000000,1.46666667
1.61250000,1.38750000,1.46250000
1.62500000,1.37500000,1.45833333
1.63750000,1.36250000,1.45416667
1.65000000,1.35000000,1.45000000
1.66250000,1.33750000,1.44583333
1.67500000,1.32500000,1.44166667
1.68750000,1.31250000,1.43750000
1.70000000,1.30000000,1.43333333
1.71250000,1.28750000,1.42916667
1.72500000,1.27500000,1.42500000
1.73750000,1.26250000,1.42083333
1.75000000,1.25000000,1.41666667
1.76250000,1.23750000,1.41250000
1.77500000,1.22500000,1.40833333
1.78750000,1.21250000,1.40416667
1.80000000,1.20000000,1.40000000
1.81250000,1.18750000,1.39583333
1.82500000,1.17500000,1.39166667
1.83750000,1.16250000,1.38750000
1.85000000,1.15000000,1.38333333
1.86250000,1.13750000,1.37916667
1.87500000,1.12500000,1.37500000
1.88750000,1.11250000,1.37083333
1.90000000,1.10000000,1.36666667
1.91250000,1.08750000,1.36250000
1.92500000,1.07500000,1.35833333
1.93750000,1.06250000,1.35416667
1.95000000,1.05000000,1.35000000
1.96250000,1.03750000,1.34583333
1.97500000,1.02500000,1.34166667
1.98750000,1.01250000,1.33750000
2.00000000,1.00000000,1.33333333
2.01250000,0.98750000,1.32916667
2.02500000,0.97500000,1.32500000
2.03750000,0.96250000,1.32083333
2.05000000,0.95000000,1.31666667
2.06250000,0.93750000,1.31250000
2.07500000,0.92500000,1.30833333
2.08750000,0.91250000,1.30416667
2.10000000,0.90000000,1.30000000
2.11250000,0.88750000,1.29583333
2.12500000,0.87500000,1.29166667
2.13750000,0.86250000,1.28750000
2.15000000,0.85000000,1.28333333
2.16250000,0.83750000,1.27916667
2.17500000,0.82500000,1.27500000
2.18750000,0.81250000,1.27083333
2.20000000,0.80000000,1.26666667
2.21250000,0.78750000,1.26250000
2.22500000,0.77500000,1.25833333
2.23750000,0.76250000,1.25416667
2.25000000,0.75000000,1.25000000
2.26250000,0.73750000,1.24583333
2.27500000,0.72500000,1.24166667
2.28750000,0.71250000,1.23750000
2.30000000,0.70000000,1.23333333
2.31250000,0.68750000,1.22916667
2.32500000,0.67500000,1.22500000
2.33750000,0.66250000,1.22083333
2.35000000,0.65000000,1.21666667
2.36250000,0.63750000,1.21250000
2.37500000,0.62500000,1.20833333
2.38750000,0.61250000,1.20416667
2.40000000,0.60000000,1.20000000
2.41250000,0.58750000,1.19583333
2.42500000,0.57500000,1.19166667
2.43750000,0.56250000,1.18750000
2.45000000,0.55000000,1.18333333
2.46250000,0.53750000,1.17916667
2.47500000,0.52500000,1.17500000
2.48750000,0.51250000,1.17083333
2.50000000,0.50000000,1.16666667
2.51250000,0.48750000,1.16250000
2.52500000,0.47500000,1.15833333
2.53750000,0.46250000,1.15416667
2.55000000,0.45000000,1.15000000
2.56250000,0.43750000,1.14583333
2.57500000,0.42500000,1.14166667
2.58750000,0.41250000,1.13750000
2.60000000,0.40000000,1.13333333
2.61250000,0.38750000,1.12916667
2.62500000,0.37500000,1.12500000
2.63750000,0.36250000,1.12083333
2.65000000,0.35000000,1.11666667
2.66250000,0.33750000,1.11250000
2.67500000,0.32500000,1.10833333
2.68750000,0.31250000,1.10416667
2.70000000,0.30000000,1.10000000
2.71250000,0.28750000,1.09583333
2.72500000,0.27500000,1.09166667
2.73750000,0.26250000,1.08750000
2.75000000,0.25000000,1.08333333
2.76250000,0.23750000,1.07916667
2.77500000,0.22500000,1.07500000
2.78750000,0.21250000,1.07083333
2.80000000,0.20000000,1.06666667
2.81250000,0.18750000,1.06250000
2.82500000,0.17500000,1.05833333
2.83750000,0.16250000,1.05416667
2.85000000,0.15000000,1.05000000
2.86250000,0.13750000,1.04583333
2.87500000,0.12500000,1.04166667
2.88750000,0.11250000,1.03750000
2.90000000,0.10000000,1.03333333
2.91250000,0.08750000,1.02916667
2.92500000,0.07500000,1.02500000
2.93750000,0.06250000,1.02083333
2.95000000,0.05000000,1.01666667
2.96250000,0.03750000,1.01250000
2.97500000,0.02500000,1.00833333
2.98750000,0.01250000,1.00416667
3.00000000,0.00000000,1.00000000
3.01250000,-0.01250000,0.99583333
3.02500000,-0.02500000,0.99166667
3.03750000,-0.03750000,0.98750000
