dOverOptimal,production,dissipation,profit
0.00000000,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
0.01000000,1.264911064067e-01,3.000000000000e-02,9.649110640674e-02
0.02000000,2.127318358778e-01,6.000000000000e-02,1.527318358778e-01
0.03000000,2.883373696962e-01,9.000000000000e-02,1.983373696962e-01
0.04000000,3.577708764000e-01,1.200000000000e-01,2.377708764000e-01
0.05000000,4.229485053762e-01,1.500000000000e-01,2.729485053762e-01
0.06000000,4.849237211224e-01,1.800000000000e-01,3.049237211224e-01
0.07000000,5.443566357079e-01,2.100000000000e-01,3.343566357079e-01
0.08000000,6.016964948938e-01,2.400000000000e-01,3.616964948938e-01
0.09000000,6.572670690062e-01,2.700000000000e-01,3.872670690062e-01
0.10000000,7.113117640156e-01,3.000000000000e-01,4.113117640156e-01
0.11000000,7.640196091087e-01,3.300000000000e-01,4.340196091087e-01
0.12000000,8.155412375266e-01,3.600000000000e-01,4.555412375266e-01
0.13000000,8.659992293856e-01,3.900000000000e-01,4.759992293856e-01
0.14000000,9.154950871727e-01,4.200000000000e-01,4.954950871727e-01
0.15000000,9.641141027336e-01,4.500000000000e-01,5.141141027336e-01
0.16000000,1.011928851254e+00,4.800000000000e-01,5.319288512539e-01
0.17000000,1.059001761173e+00,5.100000000000e-01,5.490017611732e-01
0.18000000,1.105387044383e+00,5.400000000000e-01,5.653870443833e-01
0.19000000,1.151132172618e+00,5.700000000000e-01,5.811321726181e-01
0.20000000,1.196279024977e+00,6.000000000000e-01,5.962790249770e-01
0.21000000,1.240864792596e+00,6.300000000000e-01,6.108647925963e-01
0.22000000,1.284922700966e+00,6.600000000000e-01,6.249227009660e-01
0.23000000,1.328482593254e+00,6.900000000000e-01,6.384825932541e-01
0.24000000,1.371571406255e+00,7.200000000000e-01,6.515714062554e-01
0.25000000,1.414213562373e+00,7.500000000000e-01,6.642135623731e-01
0.26000000,1.456431295206e+00,7.800000000000e-01,6.764312952057e-01
0.27000000,1.498244922104e+00,8.100000000000e-01,6.882449221036e-01
0.28000000,1.539673073972e+00,8.400000000000e-01,6.996730739718e-01
0.29000000,1.580732890311e+00,8.700000000000e-01,7.107328903108e-01
0.30000000,1.621440185768e+00,9.000000000000e-01,7.214401857684e-01
0.31000000,1.661809593174e+00,9.300000000000e-01,7.318095931736e-01
0.32000000,1.701854687022e+00,9.600000000000e-01,7.418546870224e-01
0.33000000,1.741588090615e+00,9.900000000000e-01,7.515880906150e-01
0.34000000,1.781021569436e+00,1.020000000000e+00,7.610215694359e-01
0.35000000,1.820166112896e+00,1.050000000000e+00,7.701661128962e-01
0.36000000,1.859032006180e+00,1.080000000000e+00,7.790320061796e-01
0.37000000,1.897628893629e+00,1.110000000000e+00,7.876288936292e-01
0.38000000,1.935965834875e+00,1.140000000000e+00,7.959658348755e-01
0.39000000,1.974051354702e+00,1.170000000000e+00,8.040513547019e-01
0.40000000,2.011893487493e+00,1.200000000000e+00,8.118934874927e-01
0.41000000,2.049499816969e+00,1.230000000000e+00,8.194998169690e-01
0.42000000,2.086877511818e+00,1.260000000000e+00,8.268775118176e-01
0.43000000,2.124033357723e+00,1.290000000000e+00,8.340333577229e-01
0.44000000,2.160973786241e+00,1.320000000000e+00,8.409737862409e-01
0.45000000,2.197704900891e+00,1.350000000000e+00,8.477049008908e-01
0.46000000,2.234232500789e+00,1.380000000000e+00,8.542325007886e-01
0.47000000,2.270562102102e+00,1.410000000000e+00,8.605621021019e-01
0.48000000,2.306698957569e+00,1.440000000000e+00,8.666989575694e-01
0.49000000,2.342648074295e+00,1.470000000000e+00,8.726480742954e-01
0.50000000,2.378414230005e+00,1.500000000000e+00,8.784142300054e-01
0.51000000,2.414001987922e+00,1.530000000000e+00,8.840019879219e-01
0.52000000,2.449415710404e+00,1.560000000000e+00,8.894157104036e-01
0.53000000,2.484659571472e+00,1.590000000000e+00,8.946595714725e-01
0.54000000,2.519737568338e+00,1.620000000000e+00,8.997375683380e-01
0.55000000,2.554653532016e+00,1.650000000000e+00,9.046535320165e-01
0.56000000,2.589411137131e+00,1.680000000000e+00,9.094111371312e-01
0.57000000,2.624013910971e+00,1.710000000000e+00,9.140139109705e-01
0.58000000,2.658465241872e+00,1.740000000000e+00,9.184652418720e-01
0.59000000,2.692768386993e+00,1.770000000000e+00,9.227683869928e-01
0.60000000,2.726926479522e+00,1.800000000000e+00,9.269264795220e-01
0.61000000,2.760942535383e+00,1.830000000000e+00,9.309425353826e-01
0.62000000,2.794819459468e+00,1.860000000000e+00,9.348194594678e-01
0.63000000,2.828560051450e+00,1.890000000000e+00,9.385600514501e-01
