amplitude,minimumMean,pointwiseExcludedByUpperBand,j-2Mean,j-2StandardError,j-2Ci95Lower,j-2Ci95Upper,j0Mean,j0StandardError,j0Ci95Lower,j0Ci95Upper
0.0,-0.001946783996464467,True,-0.001946783996464467,8.677972585209608e-05,-0.0021168722591345755,-0.0017766957337943586,0.0,0.0,0.0,0.0
0.00025,-0.0019451889657702095,True,-0.0019451889657702095,8.672453494254079e-05,-0.0021151690542575894,-0.0017752088772828296,-4.0979038554730037e-07,2.8387230467803772e-08,-4.6542935726419577e-07,-3.5415141383040497e-07
0.0005,-0.0019435946382945336,True,-0.0019435946382945336,8.666940076026295e-05,-0.0021134666637846493,-0.0017737226128044182,-8.190770934305315e-07,5.674630410974858e-08,-9.302998494856387e-07,-7.078543373754244e-07
0.00075,-0.001942000934336578,True,-0.001942000934336578,8.66143239177561e-05,-0.00211176500921538,-0.0017722368594577762,-1.227872878460607e-06,8.507715331303887e-08,-1.3946240989541633e-06,-1.0611216579670507e-06
0.001,-0.0019404077741954832,True,-0.0019404077741954832,8.655930502849951e-05,-0.002110064012051342,-0.0017707515363396243,-1.6361904954484392e-06,1.1337971053068841e-07,-1.8584147280885886e-06,-1.4139662628082898e-06
0.00125,-0.0019388150781703885,True,-0.0019388150781703885,8.650434470698554e-05,-0.0021083635937960803,-0.0017692665625446968,-2.044042699204941e-06,1.4165390828781472e-07,-2.3216843594490578e-06,-1.7664010389608243e-06
0.0015,-0.0019372227665604336,True,-0.0019372227665604336,8.64494435687582e-05,-0.0021066636759551997,-0.0017677818571656674,-2.451442244541026e-06,1.6989967918795294e-07,-2.784445615749414e-06,-2.118438873332638e-06
0.00175,-0.001935630759664758,True,-0.001935630759664758,8.63946022304627e-05,-0.002104964180036465,-0.0017662973392930511,-2.8584018862676077e-06,1.9811695591939034e-07,-3.2467111198696127e-06,-2.4700926526656026e-06
0.002,-0.0019340389777825011,True,-0.0019340389777825011,8.633982130990575e-05,-0.0021032650275499163,-0.001764812928015086,-3.2649343791955974e-06,2.2630567126151924e-07,-3.708493494868175e-06,-2.82137526352302e-06
0.0022500000000000003,-0.0019324473412128036,True,-0.0019324473412128036,8.628510142612743e-05,-0.0021015661400080135,-0.001763328542417594,-3.67105247813591e-06,2.5446575809121247e-07,-4.169805363994686e-06,-3.1722995922771334e-06
0.0025,-0.0019308557702548037,True,-0.0019308557702548037,8.623044319948383e-05,-0.002099867438925792,-0.0017618441015838154,-4.0767689378994575e-06,2.825971493892169e-07,-4.630659350702322e-06,-3.5228785250965924e-06
0.00275,-0.0019292641852076417,True,-0.0019292641852076417,8.617584725174101e-05,-0.002098168845821054,-0.0017603595245942294,-4.482096513297153e-06,3.1069977824656916e-07,-5.091068078660428e-06,-3.873124947933878e-06
0.003,-0.0019276725063704576,True,-0.0019276725063704576,8.612131420618039e-05,-0.002096470282214571,-0.001758874730526344,-4.8870479591399095e-06,3.3877357787103105e-07,-5.55104417176713e-06,-4.223051746512689e-06
0.0032500000000000003,-0.0019260806540423905,True,-0.0019260806540423905,8.606684468771504e-05,-0.0020947716696303118,-0.001757389638454469,-5.2916360302386404e-06,3.6681848159354684e-07,-6.0106002541619925e-06,-4.572671806315288e-06
0.0035,-0.00192448854852258,True,-0.00192448854852258,8.601243932301776e-05,-0.0020930729295956948,-0.0017559041674494653,-5.695873481404259e-06,3.9483442287472023e-07,-6.469748950238711e-06,-4.921998012569807e-06
0.00375,-0.0019228961101101657,True,-0.0019228961101101657,8.595809874066028e-05,-0.00209137398364186,-0.0017544182365784714,-6.099773067447677e-06,4.228213353113145e-07,-6.928502884657853e-06,-5.2710432502375e-06
0.004,-0.0019213032591042882,True,-0.0019213032591042882,8.590382357126385e-05,-0.0020896747533039653,-0.0017529317649046111,-6.503347543179808e-06,4.507791526427727e-07,-7.386874682359643e-06,-5.619820403999974e-06
0.00425,-0.0019197099158040857,True,-0.0019197099158040857,8.584961444766159e-05,-0.0020879751601215026,-0.001751444671486669,-6.906609663411567e-06,4.787078087577593e-07,-7.844876968576776e-06,-5.9683423582463585e-06
0.0045000000000000005,-0.0019181160005086984,True,-0.0019181160005086984,8.579547200507211e-05,-0.00208627512563864,-0.001749956875378757,-7.309572182953865e-06,5.066072377007251e-07,-8.302522368847287e-06,-6.316621997060444e-06
0.00475,-0.0019165214335172662,True,-0.0019165214335172662,8.574139688128485e-05,-0.0020845745714045843,-0.0017484682956299478,-7.712247856617612e-06,5.34477373678493e-07,-8.759823509027458e-06,-6.664672204207766e-06
0.005,-0.0019149261351289284,True,-0.0019149261351289284,8.568738971685698e-05,-0.002082873418973968,-0.0017469788512838888,-8.114649439213728e-06,5.623181510668654e-07,-9.216793015304785e-06,-7.0125058631226715e-06
0.00525,-0.0019133300256428244,True,-0.0019133300256428244,8.563345115532214e-05,-0.002081171589907256,-0.001745488461378393,-8.51678968555312e-06,5.901295044172562e-07,-9.673443514210943e-06,-7.360135856895298e-06
0.0055,-0.0019117330253580944,True,-0.0019117330253580944,8.557958184341063e-05,-0.002079469005771179,-0.0017439970449450097,-8.918681350446707e-06,6.179113684633432e-07,-1.012978763263486e-05,-7.707575068258554e-06
0.00575,-0.0019101350545738778,True,-0.0019101350545738778,8.552578243128151e-05,-0.0020777655881391898,-0.0017425045210085661,-9.320337188705396e-06,6.456636781277436e-07,-1.0585837997835773e-05,-8.054836379575018e-06
0.006,-0.0019085360335893147,True,-0.0019085360335893147,8.547205357276683e-05,-0.0020760612585919375,-0.0017410108085866916,-9.721769955140102e-06,6.733863685287133e-07,-1.104160723745638e-05,-8.401932672823824e-06
0.00625,-0.0019069358827035433,True,-0.0019069358827035433,8.541839592562699e-05,-0.0020743559387177723,-0.0017395158266893143,-1.0122992404561737e-05,7.010793749868694e-07,-1.1497107979536001e-05,-8.748876829587473e-06
0.006500000000000001,-0.0019053345222157046,True,-0.0019053345222157046,8.536481015181882e-05,-0.0020726495501132694,-0.0017380194943181397,-1.052401729178122e-05,7.287426330319346e-07,-1.1952352852523811e-05,-9.095681731038629e-06
0.00675,-0.0019037318724249382,True,-0.0019037318724249382,8.53112969177751e-05,-0.0020709420143837773,-0.001736521730466099,-1.0924857371609456e-05,7.563760784095052e-07,-1.2407354485292086e-05,-9.442360257926827e-06
0.007,-0.001902127853630383,True,-0.001902127853630383,8.525785689469618e-05,-0.0020692332531439873,-0.0017350224541167784,-1.132552539885736e-05,7.839796470878461e-07,-1.2862125507149537e-05,-9.788925290565182e-06
0.00725,-0.0019005223861311784,True,-0.0019005223861311784,8.520449075885394e-05,-0.002067523188018532,-0.0017335215842438248,-1.1726034128335851e-05,8.115532752647045e-07,-1.3316678547854672e-05,-1.0135389708817031e-05
0.0075,-0.0018989153902264654,True,-0.0018989153902264654,8.515119919190742e-05,-0.002065811740642604,-0.001732019039810327,-1.2126396314855833e-05,8.39096899374151e-07,-1.377102623762917e-05,-1.0481766392082497e-05
0.00775,-0.001897306786215382,True,-0.001897306786215382,8.509798288123091e-05,-0.0020640988326625946,-0.0017305147397681693,-1.2526624713228229e-05,8.666104560934463e-07,-1.4225181207171383e-05,-1.0828068219285075e-05
0.008,-0.001895696494397069,True,-0.001895696494397069,8.504484252025412e-05,-0.002062384385736767,-0.001729008603057371,-1.2926732078263942e-05,8.940938823499259e-07,-1.4679156087669797e-05,-1.1174308068858088e-05
0.00825,-0.0018940844350706656,True,-0.0018940844350706656,8.499177880881453e-05,-0.002060668321535942,-0.001727500548605389,-1.332673116477389e-05,9.215471153279185e-07,-1.5132963510816612e-05,-1.152049881873117e-05
0.0085,-0.0018924705285353113,True,-0.0018924705285353113,8.493879245352221e-05,-0.002058950561744215,-0.0017259904953264077,-1.372663472756899e-05,9.489700924756823e-07,-1.558661610882133e-05,-1.1866653346316653e-05
0.00875,-0.001890854695090146,True,-0.001890854695090146,8.488588416813671e-05,-0.002057231028059694,-0.001724478362120598,-1.4126455521460148e-05,9.76362751512367e-07,-1.6040126514424387e-05,-1.221278452849591e-05
0.009000000000000001,-0.0018892368550343095,True,-0.0018892368550343095,8.483305467395661e-05,-0.0020555096421952645,-0.0017229640678733545,-1.4526206301258282e-05,1.0037250304350062e-06,-1.6493507360910893e-05,-1.255890524160567e-05
0.00925,-0.0018876169286669408,True,-0.0018876169286669408,8.478030470022119e-05,-0.0020537863258793744,-0.0017214475314545072,-1.4925899821774294e-05,1.0310568675255296e-06,-1.6946771282124332e-05,-1.2905028361424255e-05
0.0095,-0.0018859948362871797,True,-0.0018859948362871797,8.472763498452479e-05,-0.0020520610008568484,-0.0017199286717175112,-1.5325548837819115e-05,1.0583582013578024e-06,-1.7399930912480406e-05,-1.3251166763157822e-05
0.00975,-0.0018843704981941667,True,-0.0018843704981941667,8.467504627324362e-05,-0.002050333588889724,-0.0017184074074986092,-1.5725166104203647e-05,1.0856289708046918e-06,-1.785299888698084e-05,-1.3597333321426452e-05
