separation,epsilon,amplitudeLaw,index,mean,standardError
2,0.25,fixed:0.1595,-8,-0.0006903558549887381,0.0006371616241993533
2,0.25,fixed:0.1595,-7,-0.0007368924130969094,0.0010890962948096317
2,0.25,fixed:0.1595,-6,0.00024546079783749233,0.0011776066496509603
2,0.25,fixed:0.1595,-5,0.0014347505479646236,0.0009666729809879077
2,0.25,fixed:0.1595,-4,0.006803199895348368,0.000790973792219705
2,0.25,fixed:0.1595,-3,0.01117083404814432,0.00047803285875058863
2,0.25,fixed:0.1595,-2,0.0019583769577381422,0.00019957882968033597
2,0.25,fixed:0.1595,-1,-6.371850480254573e-05,7.229479685274118e-05
2,0.25,fixed:0.1595,0,-0.000629186090035789,1.034313670418529e-05
2,0.25,fixed:0.1595,1,8.161292323402724e-05,1.6093360534896416e-06
