amplitudeLaw,epsilon,far,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j0,j1,leftLower,leftRole,leftUpper,leftZone,near,outerAmplitude,pairClass,replicate,rightLower,rightRole,rightUpper,rightZone,separation,total
fixed:0.1595,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inner-core,0.25,0,0.0,0.1595,inner-core--inner-core,0,0.0,inner-core,0.25,0,2,0.0
fixed:0.1595,0.25,0.0,-9.2120478667404e-05,0.002347692278029137,0.015558401616356046,0.012021667399873976,0.0010083225473027971,1.9112575982915388e-05,2.990587887894253e-08,0.0,0.0,0.0,0.0,inner-core,0.25,0,0.0,0.1595,inner-core--inner-transition,0,0.25,inner-transition,0.5,1,2,0.030863105844756343
fixed:0.1595,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inner-core,0.25,0,0.0,0.1595,inner-core--intermediate-plateau,0,0.5,intermediate-plateau,1.0,2,2,0.0
fixed:0.1595,0.25,0.0,0.007962265022757722,2.1084070863636275e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0003104571566657385,-1.8240629889675705e-09,0.0,inner-core,0.25,0,0.0,0.1595,inner-core--outer-transition,0,1.0,outer-transition,2.0,3,2,0.008274828762446836
fixed:0.1595,0.25,0.0,0.00023461781846451882,-0.003781837624879863,-0.005920193100860216,-0.006091674284681641,0.008670428982432322,-0.0005092322512111715,-0.0014195450944572239,0.001220495379918519,0.0,0.0,0.25,inner-transition,0.5,1,0.0016693547864218615,0.1595,inner-transition--inner-transition,0,0.25,inner-transition,0.5,1,2,-0.005927585388852892
fixed:0.1595,0.25,0.0,-2.57592352300023e-05,0.0002209834677947867,0.0003461384813975215,0.00037663956244267025,-0.0025781282105943803,0.0010725345849601918,0.0,0.0,-6.921076913891855e-06,0.0,0.25,inner-transition,0.5,1,0.0,0.1595,inner-transition--intermediate-plateau,0,0.5,intermediate-plateau,1.0,2,2,-0.0005945124261431045
fixed:0.1595,0.25,0.0,-0.011321351486814827,-1.6880927880034716e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003600609890119257,-6.261111130769344e-07,0.25,inner-transition,0.5,1,0.0,0.1595,inner-transition--outer-transition,0,1.0,outer-transition,2.0,3,2,-0.011698919514819864
fixed:0.1595,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,intermediate-plateau,1.0,2,0.0,0.1595,intermediate-plateau--intermediate-plateau,0,0.5,intermediate-plateau,1.0,2,2,0.0
fixed:0.1595,0.25,0.0,0.004398599675542122,0.004317577496029772,0.0005866927703976604,-2.3253482532060643e-05,2.1669031610661524e-07,0.0,0.0,0.0,0.0007766642426590186,-3.3696140031789845e-05,0.5,intermediate-plateau,1.0,2,0.0,0.1595,intermediate-plateau--outer-transition,0,1.0,outer-transition,2.0,3,2,0.01002280125238083
fixed:0.1595,0.25,0.0,-0.0012584699835566614,-0.0011406951277170632,-0.000975568488902083,-0.0003839040605446236,-0.0038912877303226507,-0.00041910791480405027,-0.00029122477249953393,0.0,-0.0013540619895209957,0.00011358749147068515,1.0,outer-transition,2.0,3,0.0,0.1595,outer-transition--outer-transition,0,1.0,outer-transition,2.0,3,2,-0.009600732576396976
fixed:0.1595,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inner-core,0.25,0,0.0,0.1595,inner-core--inner-core,1,0.0,inner-core,0.25,0,2,0.0
fixed:0.1595,0.25,0.0,-9.21188053270468e-05,0.0023488474784384736,0.01555848704914151,0.01196228736109409,0.0013970227060570927,-4.599199246852708e-05,6.245782451526767e-06,0.0,0.0,0.0,0.0,inner-core,0.25,0,0.0,0.1595,inner-core--inner-transition,1,0.25,inner-transition,0.5,1,2,0.031134779579387123
fixed:0.1595,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inner-core,0.25,0,0.0,0.1595,inner-core--intermediate-plateau,1,0.5,intermediate-plateau,1.0,2,2,0.0
