kind,label,amplitude,lower,upper
envelope,q(a),0.000000,-0.0020421027908703103,-0.0008440552534174868
envelope,q(a),0.002000,-0.002037822684422385,-0.0008346876344902371
envelope,q(a),0.004000,-0.0020345567355505305,-0.0008263191622734075
envelope,q(a),0.006000,-0.0020323049442547473,-0.0008189498367669978
envelope,q(a),0.008000,-0.002031067310535035,-0.0008125796579710082
envelope,q(a),0.010000,-0.0020308438343913933,-0.0008072086258854387
envelope,q(a),0.012000,-0.0020316345158238225,-0.0008028367405102891
envelope,q(a),0.014000,-0.0020334393548323225,-0.0007994640018455595
envelope,q(a),0.016000,-0.0020362583514168943,-0.0007970904098912499
envelope,q(a),0.018000,-0.0020400915055775364,-0.0007957159646473604
envelope,q(a),0.020000,-0.0020449388173142493,-0.0007953406661138908
envelope,q(a),0.022000,-0.002050800286627033,-0.0007959645142908413
envelope,q(a),0.024000,-0.002057675913515888,-0.0007975875091782117
envelope,q(a),0.026000,-0.002065565697980814,-0.0008002096507760023
envelope,q(a),0.028000,-0.00207446964002181,-0.0008038309390842128
envelope,q(a),0.030000,-0.002084387739638878,-0.0008084513741028433
envelope,q(a),0.032000,-0.0020953199968320162,-0.0008140709558318937
envelope,q(a),0.034000,-0.0021072664116012258,-0.0008206896842713643
envelope,q(a),0.036000,-0.002120226983946506,-0.0008283075594212549
envelope,q(a),0.038000,-0.0021342017138678573,-0.0008369245812815656
envelope,q(a),0.040000,-0.0021491906013652792,-0.0008465407498522962
envelope,q(a),0.042000,-0.0021651936464387725,-0.0008571560651334467
envelope,q(a),0.044000,-0.002182210849088336,-0.0008687705271250172
envelope,q(a),0.046000,-0.002200242209313971,-0.0008813841358270079
envelope,q(a),0.048000,-0.002219287727115677,-0.0008949968912394185
envelope,q(a),0.050000,-0.0022393474024934535,-0.0009096087933622493
envelope,q(a),0.052000,-0.0022604212354473013,-0.0009252198421954999
envelope,q(a),0.054000,-0.00228250922597722,-0.0009418300377391705
envelope,q(a),0.056000,-0.0023056113740832092,-0.0009594393799932611
envelope,q(a),0.058000,-0.0023297276797652694,-0.0009780478689577717
envelope,q(a),0.060000,-0.0023548581430234005,-0.0009976555046327024
envelope,q(a),0.062000,-0.0023810027638576027,-0.0010182622870180532
envelope,q(a),0.064000,-0.0024081615422678762,-0.001039868216113824
envelope,q(a),0.066000,-0.00243633447825422,-0.0010624732919200148
envelope,q(a),0.068000,-0.002465521571816635,-0.0010860775144366256
envelope,q(a),0.070000,-0.0024957228229551204,-0.0011106808836636563
envelope,q(a),0.072000,-0.0025269382316696776,-0.001136283399601107
envelope,q(a),0.074000,-0.002559167797960305,-0.0011628850622489777
envelope,q(a),0.076000,-0.0025924115218270037,-0.0011904858716072688
envelope,q(a),0.078000,-0.002626669403269773,-0.0012190858276759794
envelope,q(a),0.080000,-0.0026619414422886134,-0.0012486849304551104
envelope,q(a),0.082000,-0.0026982276388835247,-0.0012792831799446612
envelope,q(a),0.084000,-0.002735527993054507,-0.001310880576144632
envelope,q(a),0.086000,-0.0027738425048015602,-0.001343477119055023
envelope,q(a),0.088000,-0.002813171174124684,-0.0013770728086758338
envelope,q(a),0.090000,-0.0028535140010238786,-0.0014116676450070646
envelope,q(a),0.092000,-0.002894870985499145,-0.0014472616280487155
envelope,q(a),0.094000,-0.0029372421275504815,-0.0014838547578007867
envelope,q(a),0.096000,-0.002980627427177889,-0.0015214470342632775
envelope,q(a),0.098000,-0.0030250268843813677,-0.0015600384574361887
envelope,q(a),0.100000,-0.0030704404991609173,-0.0015996290273195195
envelope,q(a),0.102000,-0.0031168682715165376,-0.0016402187439132705
envelope,q(a),0.104000,-0.0031643102014482297,-0.0016818076072174415
envelope,q(a),0.106000,-0.0032127662889559912,-0.001724395617232032
envelope,q(a),0.108000,-0.0032622365340398245,-0.001767982773957043
envelope,q(a),0.110000,-0.003312720936699728,-0.0018125690773924744
envelope,q(a),0.112000,-0.0033642194969357034,-0.0018581545275383254
envelope,q(a),0.114000,-0.0034167322147477495,-0.0019047391243945963
envelope,q(a),0.116000,-0.003470259090135866,-0.0019523228679612875
envelope,q(a),0.118000,-0.003524800123100054,-0.0020009057582383986
envelope,q(a),0.120000,-0.0035803553136403124,-0.0020504877952259295
envelope,q(a),0.122000,-0.003636924661756642,-0.0021010689789238805
envelope,q(a),0.124000,-0.0036945081674490425,-0.0021526493093322516
envelope,q(a),0.126000,-0.0037531058307175135,-0.002205228786451043
envelope,q(a),0.128000,-0.0038127176515620562,-0.0022588074102802536
envelope,q(a),0.130000,-0.003873343629982669,-0.0023133851808198854
envelope,q(a),0.132000,-0.003934983765979354,-0.0023689620980699364
envelope,q(a),0.134000,-0.003997638059552109,-0.002425538162030408
envelope,q(a),0.136000,-0.0040613065107009344,-0.0024831133727012985
envelope,q(a),0.138000,-0.004125989119425831,-0.0025416877300826098
envelope,q(a),0.140000,-0.004191685885726799,-0.002601261234174341
envelope,q(a),0.142000,-0.004258396809603838,-0.002661833884976493
envelope,q(a),0.144000,-0.0043261218910569475,-0.0027234056824890635
envelope,q(a),0.146000,-0.0043948611300861275,-0.0027859766267120546
envelope,q(a),0.148000,-0.0044646145266913784,-0.0028495467176454653
envelope,q(a),0.150000,-0.004535382080872701,-0.002914115955289297
envelope,q(a),0.152000,-0.004607163792630094,-0.0029796843396435483
envelope,q(a),0.154000,-0.004679959661963559,-0.0030462518707082198
envelope,q(a),0.156000,-0.004753769688873094,-0.003113818548483311
envelope,q(a),0.158000,-0.0048285938733586995,-0.003182384372968822
envelope,q(a),0.160000,-0.004904432215420376,-0.0032519493441647536
envelope,q(a),0.162000,-0.004981284715058125,-0.0033225134620711054
envelope,q(a),0.164000,-0.005059151372271944,-0.0033940767266878768
envelope,q(a),0.166000,-0.005138032187061833,-0.0034666391380150678
envelope,q(a),0.168000,-0.005217927159427793,-0.0035402006960526793
envelope,q(a),0.170000,-0.0052988362893698245,-0.0036147614008007114
envelope,q(a),0.172000,-0.005380759576887927,-0.0036903212522591627
envelope,q(a),0.174000,-0.0054636970219821,-0.0037668802504280336
envelope,q(a),0.176000,-0.005547648624652344,-0.003844438395307324
envelope,q(a),0.178000,-0.005632614384898658,-0.003922995686897036
envelope,q(a),0.180000,-0.005718594302721045,-0.004002552125197167
envelope,q(a),0.182000,-0.005805588378119502,-0.00408310771020772
envelope,q(a),0.184000,-0.00589359661109403,-0.00416466244192869
envelope,q(a),0.186000,-0.005982619001644629,-0.004247216320360082
envelope,q(a),0.188000,-0.0060726555497712985,-0.0043307693455018935
envelope,q(a),0.190000,-0.006163706255474039,-0.0044153215173541255
envelope,q(a),0.192000,-0.006255771118752851,-0.004500872835916776
envelope,q(a),0.194000,-0.006348850139607733,-0.004587423301189848
envelope,q(a),0.196000,-0.006442943318038687,-0.00467497291317334
envelope,q(a),0.198000,-0.00653805065404571,-0.004763521671867252
envelope,q(a),0.200000,-0.0066341721476288066,-0.004853069577271584
envelope,q(a),0.202000,-0.006731307798787972,-0.004943616629386335
envelope,q(a),0.204000,-0.006829457607523209,-0.005035162828211507
envelope,q(a),0.206000,-0.0069286215738345175,-0.005127708173747098
envelope,q(a),0.208000,-0.007028799697721896,-0.0052212526659931105
envelope,q(a),0.210000,-0.007129991979185344,-0.00531579630494954
envelope,q(a),0.212000,-0.007232198418224865,-0.005411339090616392
envelope,q(a),0.214000,-0.007335419014840456,-0.0055078810229936635
envelope,q(a),0.216000,-0.007439653769032118,-0.005605422102081355
envelope,q(a),0.218000,-0.007544902680799852,-0.0057039623278794666
envelope,q(a),0.220000,-0.007651165750143657,-0.005803501700387999
envelope,q(a),0.222000,-0.0077584429770635325,-0.005904040219606952
envelope,q(a),0.224000,-0.007866734361559479,-0.006005577885536323
envelope,q(a),0.226000,-0.007976039903631495,-0.006108114698176115
envelope,q(a),0.228000,-0.008086359603279584,-0.006211650657526326
envelope,q(a),0.230000,-0.008197693460503742,-0.006316185763586959
envelope,q(a),0.232000,-0.008310041475303972,-0.00642172001635801
envelope,q(a),0.234000,-0.008423403647680273,-0.006528253415839482
envelope,q(a),0.236000,-0.008537779977632644,-0.006635785962031374
envelope,q(a),0.238000,-0.008653170465161087,-0.006744317654933686
envelope,q(a),0.240000,-0.0087695751102656,-0.006853848494546416
envelope,q(a),0.242000,-0.008886993912946183,-0.006964378480869568
envelope,q(a),0.244000,-0.009005426873202839,-0.00707590761390314
envelope,q(a),0.246000,-0.009124873991035565,-0.007188435893647132
envelope,q(a),0.248000,-0.009245335266444362,-0.007301963320101544
envelope,q(a),0.250000,-0.00936681069942923,-0.007416489893266376
envelope,q(a),0.252000,-0.00948930028999017,-0.007532015613141628
envelope,q(a),0.254000,-0.00961280403812718,-0.0076485404797273
envelope,q(a),0.256000,-0.00973732194384026,-0.007766064493023391
envelope,q(a),0.258000,-0.00986285400712941,-0.007884587653029905
envelope,q(a),0.260000,-0.009989400227994633,-0.008004109959746836
envelope,q(a),0.262000,-0.010116960606435929,-0.008124631413174188
envelope,q(a),0.264000,-0.010245535142453292,-0.00824615201331196
envelope,q(a),0.266000,-0.010375123836046727,-0.008368671760160153
envelope,q(a),0.268000,-0.010505726687216235,-0.008492190653718765
envelope,q(a),0.270000,-0.010637343695961811,-0.008616708693987795
envelope,q(a),0.272000,-0.010769974862283458,-0.008742225880967248
envelope,q(a),0.274000,-0.010903620186181177,-0.008868742214657123
envelope,q(a),0.276000,-0.011038279667654968,-0.008996257695057413
envelope,q(a),0.278000,-0.011173953306704829,-0.009124772322168125
envelope,q(a),0.280000,-0.011310641103330759,-0.009254286095989257
envelope,q(a),0.282000,-0.011448343057532763,-0.00938479901652081
envelope,q(a),0.284000,-0.011587059169310836,-0.009516311083762783
envelope,q(a),0.286000,-0.01172678943866498,-0.009648822297715173
envelope,q(a),0.288000,-0.011867533865595196,-0.009782332658377985
envelope,q(a),0.290000,-0.01200929245010148,-0.009916842165751215
envelope,q(a),0.292000,-0.012152065192183837,-0.010052350819834868
envelope,q(a),0.294000,-0.012295852091842262,-0.01018885862062894
envelope,q(a),0.296000,-0.012440653149076764,-0.01032636556813343
envelope,q(a),0.298000,-0.012586468363887333,-0.010464871662348343
envelope,q(a),0.300000,-0.012733297736273975,-0.010604376903273677
envelope,q(a),0.302000,-0.012881141266236686,-0.01074488129090943
envelope,q(a),0.304000,-0.01302999895377547,-0.0108863848252556
envelope,q(a),0.306000,-0.013179870798890323,-0.011028887506312193
envelope,q(a),0.308000,-0.013330756801581247,-0.011172389334079207
envelope,q(a),0.310000,-0.013482656961848243,-0.01131689030855664
envelope,q(a),0.312000,-0.013635571279691307,-0.01146239042974449
envelope,q(a),0.314000,-0.013789499755110447,-0.011608889697642762
envelope,q(a),0.316000,-0.013944442388105653,-0.011756388112251454
envelope,q(a),0.318000,-0.014100399178676932,-0.011904885673570568
envelope,q(a),0.320000,-0.014257370126824284,-0.012054382381600101
envelope,q(a),0.322000,-0.014415355232547705,-0.012204878236340052
envelope,q(a),0.324000,-0.014574354495847194,-0.012356373237790425
envelope,q(a),0.326000,-0.014734367916722758,-0.012508867385951219
envelope,q(a),0.328000,-0.014895395495174393,-0.01266236068082243
envelope,q(a),0.330000,-0.015057437231202097,-0.012816853122404062
envelope,q(a),0.332000,-0.015220493124805872,-0.012972344710696115
envelope,q(a),0.334000,-0.01538456317598572,-0.013128835445698588
envelope,q(a),0.336000,-0.015549647384741636,-0.01328632532741148
envelope,q(a),0.338000,-0.015715745751073623,-0.013444814355834792
envelope,q(a),0.340000,-0.015882858274981683,-0.013604302530968526
envelope,q(a),0.342000,-0.016050984956465814,-0.013764789852812678
envelope,q(a),0.344000,-0.016220125795526015,-0.013926276321367252
envelope,q(a),0.346000,-0.016390280792162287,-0.014088761936632242
envelope,q(a),0.348000,-0.01656144994637463,-0.014252246698607654
envelope,q(a),0.350000,-0.016733633258163044,-0.014416730607293489
envelope,q(a),0.352000,-0.016906830727527522,-0.014582213662689737
envelope,q(a),0.354000,-0.017081042354468078,-0.01474869586479641
envelope,q(a),0.356000,-0.017256268138984704,-0.014916177213613501
envelope,q(a),0.358000,-0.017432508081077405,-0.015084657709141016
envelope,q(a),0.360000,-0.01760976218074617,-0.015254137351378948
envelope,q(a),0.362000,-0.017788030437991008,-0.015424616140327302
envelope,q(a),0.364000,-0.01796731285281192,-0.015596094075986076
envelope,q(a),0.366000,-0.018147609425208898,-0.015768571158355265
envelope,q(a),0.368000,-0.01832892015518195,-0.01594204738743488
envelope,q(a),0.370000,-0.018511245042731075,-0.01611652276322491
envelope,q(a),0.372000,-0.01869458408785627,-0.016291997285725363
envelope,q(a),0.374000,-0.018878937290557535,-0.016468470954936237
envelope,q(a),0.376000,-0.01906430465083487,-0.01664594377085753
envelope,q(a),0.378000,-0.019250686168688275,-0.016824415733489244
envelope,q(a),0.380000,-0.01943808184411775,-0.017003886842831377
envelope,q(a),0.382000,-0.019626491677123298,-0.017184357098883926
envelope,q(a),0.384000,-0.019815915667704923,-0.017365826501646902
envelope,q(a),0.386000,-0.020006353815862615,-0.017548295051120294
envelope,q(a),0.388000,-0.020197806121596374,-0.017731762747304106
envelope,q(a),0.390000,-0.020390272584906204,-0.01791622959019834
envelope,q(a),0.392000,-0.02058375320579211,-0.018101695579802995
envelope,q(a),0.394000,-0.02077824798425408,-0.018288160716118065
envelope,q(a),0.396000,-0.020973756920292123,-0.01847562499914356
envelope,q(a),0.398000,-0.021170280013906244,-0.01866408842887947
envelope,q(a),0.400000,-0.02136781726509643,-0.018853551005325805
envelope,q(a),0.402000,-0.021566368673862687,-0.019044012728482558
envelope,q(a),0.404000,-0.021765934240205016,-0.019235473598349734
envelope,q(a),0.406000,-0.02196651396412341,-0.019427933614927322
envelope,q(a),0.408000,-0.022168107845617884,-0.019621392778215337
envelope,q(a),0.410000,-0.022370715884688423,-0.019815851088213772
envelope,q(a),0.412000,-0.022574338081335035,-0.020011308544922623
envelope,q(a),0.414000,-0.02277897443555772,-0.020207765148341893
envelope,q(a),0.416000,-0.022984624947356477,-0.02040522089847159
envelope,q(a),0.418000,-0.023191289616731295,-0.020603675795311697
envelope,q(a),0.420000,-0.023398968443682187,-0.02080312983886223
envelope,q(a),0.422000,-0.023607661428209154,-0.021003583029123182
envelope,q(a),0.424000,-0.023817368570312192,-0.021205035366094555
envelope,q(a),0.426000,-0.0240280898699913,-0.02140748684977635
envelope,q(a),0.428000,-0.02423982532724648,-0.02161093748016856
envelope,q(a),0.430000,-0.02445257494207773,-0.021815387257271196
envelope,q(a),0.432000,-0.02466633871448505,-0.022020836181084247
envelope,q(a),0.434000,-0.024881116644468442,-0.02222728425160772
envelope,q(a),0.436000,-0.025096908732027905,-0.022434731468841614
envelope,q(a),0.438000,-0.025313714977163438,-0.022643177832785927
envelope,q(a),0.440000,-0.025531535379875042,-0.02285262334344066
envelope,q(a),0.442000,-0.02575036994016272,-0.023063068000805816
envelope,q(a),0.444000,-0.02597021865802647,-0.02327451180488139
envelope,q(a),0.446000,-0.026191081533466287,-0.023486954755667384
envelope,q(a),0.448000,-0.026412958566482174,-0.023700396853163795
envelope,q(a),0.450000,-0.026635849757074132,-0.023914838097370626
envelope,q(a),0.452000,-0.02685975510524216,-0.02413027848828788
envelope,q(a),0.454000,-0.027084674610986265,-0.024346718025915554
envelope,q(a),0.456000,-0.027310608274306435,-0.024564156710253644
envelope,q(a),0.458000,-0.02753755609520268,-0.02478259454130216
envelope,q(a),0.460000,-0.027765518073674993,-0.025002031519061094
envelope,q(a),0.462000,-0.02799449420972338,-0.02522246764353045
envelope,q(a),0.464000,-0.028224484503347833,-0.02544390291471022
envelope,q(a),0.466000,-0.028455488954548358,-0.025666337332600413
envelope,q(a),0.468000,-0.028687507563324957,-0.025889770897201028
envelope,q(a),0.470000,-0.028920540329677627,-0.026114203608512063
envelope,q(a),0.472000,-0.029154587253606368,-0.026339635466533513
envelope,q(a),0.474000,-0.02938964833511118,-0.02656606647126539
envelope,q(a),0.476000,-0.029625723574192058,-0.02679349662270768
envelope,q(a),0.478000,-0.02986281297084901,-0.027021925920860397
envelope,q(a),0.480000,-0.03010091652508203,-0.027251354365723523
envelope,q(a),0.482000,-0.03034003423689112,-0.027481781957297072
envelope,q(a),0.484000,-0.030580166106276285,-0.02771320869558105
envelope,q(a),0.486000,-0.030821312133237518,-0.027945634580575442
envelope,q(a),0.488000,-0.03106347231777483,-0.028179059612280257
envelope,q(a),0.490000,-0.0313066466598882,-0.028413483790695488
envelope,q(a),0.492000,-0.031550835159577656,-0.028648907115821146
envelope,q(a),0.494000,-0.031796037816843176,-0.02888532958765722
envelope,q(a),0.496000,-0.032042254631684766,-0.02912275120620371
envelope,q(a),0.498000,-0.03228948560410243,-0.029361171971460626
envelope,q(a),0.500000,-0.03253773073409616,-0.02960059188342796
envelope,q(a),0.502000,-0.03278699002166596,-0.029841010942105714
envelope,q(a),0.504000,-0.033037263466811836,-0.030082429147493886
envelope,q(a),0.506000,-0.033288551069533774,-0.030324846499592478
envelope,q(a),0.508000,-0.033540852829831796,-0.030568262998401492
envelope,q(a),0.510000,-0.03379416874770588,-0.030812678643920927
envelope,q(a),0.512000,-0.03404849882315604,-0.031058093436150774
envelope,q(a),0.514000,-0.03430384305618227,-0.03130450737509105
envelope,q(a),0.516000,-0.034560201446784566,-0.03155192046074175
envelope,q(a),0.518000,-0.034817573994962936,-0.03180033269310286
envelope,q(a),0.520000,-0.035075960700717376,-0.032049744072174396
envelope,q(a),0.522000,-0.03533536156404789,-0.03230015459795635
envelope,q(a),0.524000,-0.035595776584954476,-0.032551564270448724
envelope,q(a),0.526000,-0.03585720576343713,-0.03280397308965152
envelope,q(a),0.528000,-0.03611964909949586,-0.03305738105556473
envelope,q(a),0.530000,-0.03638310659313065,-0.03331178816818837
envelope,q(a),0.532000,-0.03664757824434152,-0.03356719442752242
envelope,q(a),0.534000,-0.03691306405312845,-0.03382359983356689
envelope,q(a),0.536000,-0.03717956401949147,-0.03408100438632179
envelope,q(a),0.538000,-0.03744707814343054,-0.0343394080857871
envelope,q(a),0.540000,-0.037715606424945695,-0.03459881093196283
envelope,q(a),0.542000,-0.037985148864036915,-0.03485921292484898
