worker,samples,maximumRssMiB,terminalStatus
worker-00,669,3499.141000,exited:0
worker-01,730,3446.012000,exited:0
worker-02,728,3513.695000,exited:0
worker-03,729,3506.102000,exited:0
worker-04,717,3485.016000,exited:0
worker-05,729,3415.355000,exited:0
worker-06,732,3456.285000,exited:0
worker-07,734,3410.848000,exited:0
worker-08,740,3464.348000,exited:0
worker-09,727,3529.297000,exited:0
worker-10,582,3284.742000,exited:0
worker-11,739,3388.617000,exited:0
worker-12,689,3477.660000,exited:0
worker-13,728,3509.852000,exited:0
worker-14,743,3516.734000,exited:0
worker-15,725,3454.695000,exited:0
worker-16,572,3338.145000,exited:0
worker-17,620,3514.410000,exited:0
worker-18,588,3251.430000,exited:0
worker-19,735,3449.523000,exited:0
