active_layer_n,b_n_squared,Lambda
1,1,16
2,1.0000305178109556,16
3,1.000030518276624,16
4,1.0000305182766311,16
5,1.0000305182766311,16
6,1.0000305182766311,16
7,1.0000305182766311,16
8,1.0000305182766311,16
9,1.0000305182766311,16
10,1.0000305182766311,16
11,1.0000305182766311,16
12,1.0000305182766311,16
13,1.0000305182766311,16
14,1.0000305182766311,16
15,1.0000305182766311,16
16,1.0000305182766311,16
17,1.0000305182766311,16
18,1.0000305182766311,16
19,1.0000305182766311,16
20,1.0000305182766311,16
21,1.0000305182766311,16
22,1.0000305182766311,16
23,1.0000305182766311,16
24,1.0000305182766311,16
25,1.0000305182766311,16
26,1.0000305182766311,16
27,1.0000305182766311,16
28,1.0000305182766311,16
29,1.0000305182766311,16
30,1.0000305182766311,16
