gap_k_minus_j,constant_theta,linear_theta2,affine_remainder_theta3,quadratic_remainder_theta4
1,0.5,0.25,0.125,0.0625
2,0.25,0.0625,0.015625,0.00390625
3,0.125,0.015625,0.001953125,0.000244140625
4,0.0625,0.00390625,0.000244140625,1.52587890625e-05
5,0.03125,0.0009765625,3.0517578125e-05,9.5367431640625e-07
6,0.015625,0.000244140625,3.814697265625e-06,5.9604644775390625e-08
7,0.0078125,6.103515625e-05,4.76837158203125e-07,3.7252902984619141e-09
8,0.00390625,1.52587890625e-05,5.9604644775390625e-08,2.3283064365386963e-10
9,0.001953125,3.814697265625e-06,7.4505805969238281e-09,1.4551915228366852e-11
10,0.0009765625,9.5367431640625e-07,9.3132257461547852e-10,9.0949470177292824e-13
11,0.00048828125,2.384185791015625e-07,1.1641532182693481e-10,5.6843418860808015e-14
12,0.000244140625,5.9604644775390625e-08,1.4551915228366852e-11,3.5527136788005009e-15
