number_of_scales_N,beta1_sum,beta2_sum,beta3_sum,beta4_sum
1,0.5,0.25,0.125,0.0625
2,1.25,0.5625,0.265625,0.12890625
3,2.125,0.890625,0.408203125,0.195556640625
4,3.0625,1.22265625,0.551025390625,0.2622222900390625
5,4.03125,1.5556640625,0.693878173828125,0.32888889312744141
6,5.015625,1.888916015625,0.83673477172851562,0.39555555582046509
7,6.0078125,2.22222900390625,0.97959184646606445,0.46222222223877907
8,7.00390625,2.5555572509765625,1.1224489808082581,0.52888888888992369
9,8.001953125,2.8888893127441406,1.2653061226010323,0.59555555555562023
10,9.0009765625,3.2222223281860352,1.408163265325129,0.66222222222222626
11,10.00048828125,3.5555555820465088,1.5510204081656411,0.72888888888888914
12,11.000244140625,3.8888888955116272,1.6938775510207051,0.79555555555555557
13,12.0001220703125,4.2222222238779068,1.8367346938775881,0.86222222222222222
14,13.00006103515625,4.5555555559694767,1.9795918367346985,0.92888888888888888
15,14.000030517578125,4.8888888889923692,2.1224489795918373,0.99555555555555553
16,15.000015258789062,5.2222222222480923,2.2653061224489797,1.0622222222222222
17,16.000007629394531,5.5555555555620231,2.4081632653061225,1.1288888888888888
18,17.000003814697266,5.8888888888905058,2.5510204081632657,1.1955555555555555
19,18.000001907348633,6.2222222222226264,2.6938775510204085,1.2622222222222221
20,19.000000953674316,6.5555555555556566,2.8367346938775513,1.3288888888888888
21,20.000000476837158,6.8888888888889142,2.9795918367346941,1.3955555555555554
22,21.000000238418579,7.2222222222222285,3.1224489795918369,1.4622222222222221
23,22.00000011920929,7.5555555555555571,3.2653061224489797,1.528888888888889
24,23.000000059604645,7.8888888888888893,3.4081632653061225,1.5955555555555556
25,24.000000029802322,8.2222222222222232,3.5510204081632657,1.6622222222222223
26,25.000000014901161,8.5555555555555554,3.6938775510204085,1.7288888888888889
27,26.000000007450581,8.8888888888888893,3.8367346938775513,1.7955555555555556
28,27.00000000372529,9.2222222222222232,3.9795918367346941,1.8622222222222222
29,28.000000001862645,9.5555555555555554,4.1224489795918373,1.9288888888888889
30,29.000000000931323,9.8888888888888893,4.2653061224489797,1.9955555555555555
31,30.000000000465661,10.222222222222223,4.4081632653061229,2.0622222222222226
32,31.000000000232831,10.555555555555555,4.5510204081632653,2.1288888888888891
33,32.000000000116415,10.888888888888889,4.6938775510204085,2.1955555555555559
34,33.000000000058208,11.222222222222223,4.8367346938775508,2.2622222222222224
35,34.000000000029104,11.555555555555555,4.9795918367346941,2.3288888888888892
36,35.000000000014552,11.888888888888889,5.1224489795918373,2.3955555555555557
37,36.000000000007276,12.222222222222223,5.2653061224489797,2.4622222222222225
38,37.000000000003638,12.555555555555555,5.4081632653061229,2.528888888888889
39,38.000000000001819,12.888888888888889,5.5510204081632653,2.5955555555555558
40,39.000000000000909,13.222222222222223,5.6938775510204085,2.6622222222222223
41,40.000000000000455,13.555555555555555,5.8367346938775508,2.7288888888888891
42,41.000000000000227,13.888888888888889,5.9795918367346941,2.7955555555555556
43,42.000000000000114,14.222222222222223,6.1224489795918373,2.8622222222222224
44,43.000000000000057,14.555555555555555,6.2653061224489797,2.9288888888888889
45,44.000000000000028,14.888888888888889,6.4081632653061229,2.9955555555555557
46,45.000000000000014,15.222222222222223,6.5510204081632653,3.0622222222222226
47,46.000000000000007,15.555555555555555,6.6938775510204085,3.1288888888888891
48,47,15.888888888888889,6.8367346938775508,3.1955555555555559
49,48,16.222222222222221,6.9795918367346941,3.2622222222222224
50,49,16.555555555555557,7.1224489795918373,3.3288888888888892
51,50,16.888888888888889,7.2653061224489797,3.3955555555555557
52,51,17.222222222222221,7.4081632653061229,3.4622222222222225
53,52,17.555555555555557,7.5510204081632653,3.528888888888889
54,53,17.888888888888889,7.6938775510204085,3.5955555555555558
55,54,18.222222222222221,7.8367346938775508,3.6622222222222223
56,55,18.555555555555557,7.9795918367346941,3.7288888888888891
57,56,18.888888888888889,8.1224489795918355,3.7955555555555556
58,57,19.222222222222221,8.2653061224489797,3.8622222222222224
59,58,19.555555555555557,8.408163265306122,3.9288888888888889
60,59,19.888888888888889,8.5510204081632644,3.9955555555555557
61,60,20.222222222222221,8.6938775510204067,4.0622222222222222
62,61,20.555555555555557,8.8367346938775508,4.1288888888888895
63,62,20.888888888888889,8.9795918367346932,4.1955555555555559
64,63,21.222222222222221,9.1224489795918355,4.2622222222222224
65,64,21.555555555555557,9.2653061224489797,4.3288888888888888
66,65,21.888888888888889,9.408163265306122,4.3955555555555561
67,66,22.222222222222221,9.5510204081632644,4.4622222222222225
68,67,22.555555555555557,9.6938775510204067,4.528888888888889
69,68,22.888888888888889,9.8367346938775508,4.5955555555555554
70,69,23.222222222222221,9.9795918367346932,4.6622222222222227
71,70,23.555555555555557,10.122448979591836,4.7288888888888891
72,71,23.888888888888889,10.26530612244898,4.7955555555555556
73,72,24.222222222222221,10.408163265306122,4.862222222222222
74,73,24.555555555555557,10.551020408163264,4.9288888888888893
75,74,24.888888888888889,10.693877551020407,4.9955555555555557
76,75,25.222222222222221,10.836734693877551,5.0622222222222222
77,76,25.555555555555557,10.979591836734693,5.1288888888888895
78,77,25.888888888888889,11.122448979591836,5.1955555555555559
79,78,26.222222222222221,11.26530612244898,5.2622222222222224
80,79,26.555555555555557,11.408163265306122,5.3288888888888888
