number_of_scales_N,cumulative_coefficient_p_N,raw_cumulative_mass,ordinary_difference_increment,ordinary_difference_cumulative_mass
1,0.5,0.5,0.5,0.5
2,0.75,1.25,0.25,0.75
3,0.875,2.125,0.125,0.875
4,0.9375,3.0625,0.0625,0.9375
5,0.96875,4.03125,0.03125,0.96875
6,0.984375,5.015625,0.015625,0.984375
7,0.9921875,6.0078125,0.0078125,0.9921875
8,0.99609375,7.00390625,0.00390625,0.99609375
9,0.998046875,8.001953125,0.001953125,0.998046875
10,0.9990234375,9.0009765625,0.0009765625,0.9990234375
11,0.99951171875,10.00048828125,0.00048828125,0.99951171875
12,0.999755859375,11.000244140625,0.000244140625,0.999755859375
13,0.9998779296875,12.0001220703125,0.0001220703125,0.9998779296875
14,0.99993896484375,13.00006103515625,6.103515625e-05,0.99993896484375
15,0.999969482421875,14.000030517578125,3.0517578125e-05,0.999969482421875
16,0.9999847412109375,15.000015258789062,1.52587890625e-05,0.9999847412109375
17,0.99999237060546875,16.000007629394531,7.62939453125e-06,0.99999237060546875
18,0.99999618530273438,17.000003814697266,3.814697265625e-06,0.99999618530273438
19,0.99999809265136719,18.000001907348633,1.9073486328125e-06,0.99999809265136719
20,0.99999904632568359,19.000000953674316,9.5367431640625e-07,0.99999904632568359
21,0.9999995231628418,20.000000476837158,4.76837158203125e-07,0.9999995231628418
22,0.9999997615814209,21.000000238418579,2.384185791015625e-07,0.9999997615814209
23,0.99999988079071045,22.00000011920929,1.1920928955078125e-07,0.99999988079071045
24,0.99999994039535522,23.000000059604645,5.9604644775390625e-08,0.99999994039535522
25,0.99999997019767761,24.000000029802322,2.9802322387695312e-08,0.99999997019767761
26,0.99999998509883881,25.000000014901161,1.4901161193847656e-08,0.99999998509883881
27,0.9999999925494194,26.000000007450581,7.4505805969238281e-09,0.9999999925494194
28,0.9999999962747097,27.00000000372529,3.7252902984619141e-09,0.9999999962747097
29,0.99999999813735485,28.000000001862645,1.862645149230957e-09,0.99999999813735485
30,0.99999999906867743,29.000000000931323,9.3132257461547852e-10,0.99999999906867743
31,0.99999999953433871,30.000000000465661,4.6566128730773926e-10,0.99999999953433871
32,0.99999999976716936,31.000000000232831,2.3283064365386963e-10,0.99999999976716936
33,0.99999999988358468,32.000000000116415,1.1641532182693481e-10,0.99999999988358468
34,0.99999999994179234,33.000000000058208,5.8207660913467407e-11,0.99999999994179234
35,0.99999999997089617,34.000000000029104,2.9103830456733704e-11,0.99999999997089617
36,0.99999999998544808,35.000000000014552,1.4551915228366852e-11,0.99999999998544808
37,0.99999999999272404,36.000000000007276,7.2759576141834259e-12,0.99999999999272404
38,0.99999999999636202,37.000000000003638,3.637978807091713e-12,0.99999999999636202
39,0.99999999999818101,38.000000000001819,1.8189894035458565e-12,0.99999999999818101
40,0.99999999999909051,39.000000000000909,9.0949470177292824e-13,0.99999999999909051
