number_of_scales_N,source_weighted_increment,source_weighted_sum,source_cauchy_factor,core_dual_increment_comparator,core_dual_sum_comparator,core_dual_cauchy_factor_comparator
1,0.5,0.5,0.70710678118654757,1,1,1
2,0.25,0.75,0.8660254037844386,1,2,1.4142135623730951
3,0.125,0.875,0.93541434669348533,1,3,1.7320508075688772
4,0.0625,0.9375,0.96824583655185426,1,4,2
5,0.03125,0.96875,0.98425098425147639,1,5,2.2360679774997898
6,0.015625,0.984375,0.99215674164922152,1,6,2.4494897427831779
7,0.0078125,0.9921875,0.99608609065682674,1,7,2.6457513110645907
8,0.00390625,0.99609375,0.99804496391695696,1,8,2.8284271247461903
9,0.001953125,0.998046875,0.9990229601966113,1,9,3
10,0.0009765625,0.9990234375,0.99951159948246726,1,10,3.1622776601683795
11,0.00048828125,0.99951171875,0.99975582956539943,1,11,3.3166247903553998
12,0.000244140625,0.999755859375,0.9998779222360098,1,12,3.4641016151377544
13,0.0001220703125,0.9998779296875,0.99993896298099116,1,13,3.6055512754639891
14,6.103515625e-05,0.99993896484375,0.9999694819561995,1,14,3.7416573867739413
15,3.0517578125e-05,0.999969482421875,0.9999847410945204,1,15,3.872983346207417
16,1.52587890625e-05,0.9999847412109375,0.9999923705763647,1,16,4
17,7.62939453125e-06,0.99999237060546875,0.99999618529545842,1,17,4.1231056256176606
18,3.814697265625e-06,0.99999618530273438,0.9999980926495482,1,18,4.2426406871192848
19,1.9073486328125e-06,0.99999809265136719,0.99999904632522885,1,19,4.358898943540674
20,9.5367431640625e-07,0.99999904632568359,0.99999952316272811,1,20,4.4721359549995796
21,4.76837158203125e-07,0.9999995231628418,0.99999976158139248,1,21,4.5825756949558398
22,2.384185791015625e-07,0.9999997615814209,0.99999988079070334,1,22,4.6904157598234297
23,1.1920928955078125e-07,0.99999988079071045,0.99999994039535345,1,23,4.7958315233127191
24,5.9604644775390625e-08,0.99999994039535522,0.99999997019767717,1,24,4.8989794855663558
25,2.9802322387695312e-08,0.99999997019767761,0.9999999850988387,1,25,5
26,1.4901161193847656e-08,0.99999998509883881,0.9999999925494194,1,26,5.0990195135927845
27,7.4505805969238281e-09,0.9999999925494194,0.9999999962747097,1,27,5.196152422706632
28,3.7252902984619141e-09,0.9999999962747097,0.99999999813735485,1,28,5.2915026221291814
29,1.862645149230957e-09,0.99999999813735485,0.99999999906867743,1,29,5.3851648071345037
30,9.3132257461547852e-10,0.99999999906867743,0.99999999953433871,1,30,5.4772255750516612
31,4.6566128730773926e-10,0.99999999953433871,0.99999999976716936,1,31,5.5677643628300215
32,2.3283064365386963e-10,0.99999999976716936,0.99999999988358468,1,32,5.6568542494923806
