scale_index_k,number_of_active_scales_N,Lambda,rho_Lambda_minus_2,q_Lambda_minus_4,b_k,g_k_b_k_squared,ordinary_increment_g_k_plus_1_minus_g_k,pairing_covariant_increment_degree_0,pairing_covariant_increment_degree_1,ordinary_total_variation_through_N,pairing_l1_mass_degree_0_through_N,pairing_square_mass_degree_0_through_N,r_k_with_r_0_equal_1,spacetime_coordinate_weight_r_k_minus_2,spacetime_dual_weight_r_k_minus_3,panels_using_row
0,,2,0.25,0.0625,,,,,,,,,1,1,1,C
1,1,2,0.25,0.0625,1,1,0.12890625,0.929443359375,0.98236083984375,0,0,0,0.25,16,64,A;B;C
2,2,2,0.25,0.0625,1.0625,1.12890625,0.0083160400390625,1.0578298568725586,1.1111371517181396,0.12890625,0.929443359375,0.8638649582862854,0.0625,256,4096,A;B;C
3,3,2,0.25,0.0625,1.06640625,1.1372222900390625,0.00052076578140258789,1.0661133490502834,1.1194450547918677,0.1372222900390625,1.9872732162475586,1.9828689643773032,0.015625,4096,262144,A;B;C
4,4,2,0.25,0.0625,1.066650390625,1.1377430558204651,3.2551819458603859e-05,1.0666320803429699,1.1199653119510913,0.13774305582046509,3.053386565297842,3.1194666374005147,0.00390625,65536,16777216,A;B;C
5,5,2,0.25,0.0625,1.0666656494140625,1.1377756076399237,2.0345041775726713e-06,1.0666645050059174,1.1199978319814221,0.13777560763992369,4.1200186456408119,4.2571706322172869,0.0009765625,1048576,1073741824,A;B;C
6,6,2,0.25,0.0625,1.0666666030883789,1.1377776421441013,1.271565714944245e-07,1.0666665315628092,1.1199998644987783,0.13777764214410126,5.1866831506467292,5.3949437984568061,0.000244140625,16777216,68719476736,A;B;C
7,7,2,0.25,0.0625,1.0666666626930237,1.1377777693006728,7.9472859543239238e-09,1.0666666582226754,1.1199999915311734,0.13777776930067276,6.2533496822095387,6.5327212880130396,6.103515625e-05,268435456,4398046511104,A;B;C
8,8,2,0.25,0.0625,1.066666666418314,1.1377777772479587,4.9670537306681709e-10,1.0666666661389173,1.1199999994706984,0.1377777772479587,7.3200163404322138,7.6704990477769694,1.52587890625e-05,4294967296,281474976710656,A;B;C
9,9,2,0.25,0.0625,1.0666666666511446,1.137777777744664,3.1044085820275958e-11,1.0666666666336824,1.1199999999669186,0.13777777774466404,8.3866830065711309,8.8082768244288818,3.814697265625e-06,68719476736,18014398509481984,A;B
10,10,2,0.25,0.0625,1.0666666666656965,1.1377777777757081,1.9402553637813094e-12,1.0666666666646052,1.1199999999979324,0.1377777777757081,9.4533496732048139,9.946054602136293,9.5367431640625e-07,1099511627776,1.152921504606847e+18,A;B
11,11,2,0.25,0.0625,1.066666666666606,1.1377777777776483,1.2126596023638677e-13,1.0666666666665379,1.1199999999998709,0.13777777777764832,10.52001633986942,11.083832379909673,2.384185791015625e-07,17592186044416,7.3786976294838206e+19,A;B
12,12,2,0.25,0.0625,1.0666666666666629,1.1377777777777698,7.5791225147743877e-15,1.0666666666666587,1.1199999999999919,0.13777777777776978,11.586683006535958,12.221610157687175,5.9604644775390625e-08,281474976710656,4.7223664828696452e+21,A;B
13,13,2,0.25,0.0625,1.0666666666666664,1.1377777777777773,4.7369515717340012e-16,1.0666666666666662,1.1199999999999994,0.13777777777777733,12.653349673202618,13.359387935464936,1.4901161193847656e-08,4503599627370496,3.0223145490365729e+23,B
14,14,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,2.9605947323337507e-17,1.0666666666666667,1.1200000000000001,0.13777777777777778,13.720016339869284,14.497165713242712,3.7252902984619141e-09,72057594037927936,1.9342813113834067e+25,B
15,15,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,1.8503717077085942e-18,1.0666666666666667,1.1200000000000001,0.13777777777777778,14.78668300653595,15.63494349102049,9.3132257461547852e-10,1.152921504606847e+18,1.2379400392853803e+27,B
16,16,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,1.1564823173178714e-19,1.0666666666666667,1.1200000000000001,0.13777777777777778,15.853349673202617,16.772721268798268,2.3283064365386963e-10,1.8446744073709552e+19,7.9228162514264338e+28,B
17,17,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,7.2280144832366961e-21,1.0666666666666667,1.1200000000000001,0.13777777777777778,16.920016339869285,17.910499046576046,5.8207660913467407e-11,2.9514790517935283e+20,5.0706024009129176e+30,B
18,18,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,4.5175090520229351e-22,1.0666666666666667,1.1200000000000001,0.13777777777777778,17.986683006535952,19.048276824353824,1.4551915228366852e-11,4.7223664828696452e+21,3.2451855365842673e+32,B
19,19,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,2.8234431575143344e-23,1.0666666666666667,1.1200000000000001,0.13777777777777778,19.053349673202618,20.186054602131602,3.637978807091713e-12,7.5557863725914323e+22,2.0769187434139311e+34,B
20,20,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,1.764651973446459e-24,1.0666666666666667,1.1200000000000001,0.13777777777777778,20.120016339869284,21.32383237990938,9.0949470177292824e-13,1.2089258196146292e+24,1.3292279957849159e+36,B
21,21,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,1.1029074834040369e-25,1.0666666666666667,1.1200000000000001,0.13777777777777778,21.186683006535951,22.461610157687158,2.2737367544323206e-13,1.9342813113834067e+25,8.5070591730234616e+37,B
22,22,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,6.8931717712752305e-27,1.0666666666666667,1.1200000000000001,0.13777777777777778,22.253349673202617,23.599387935464936,5.6843418860808015e-14,3.0948500982134507e+26,5.4445178707350154e+39,B
23,23,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,4.3082323570470191e-28,1.0666666666666667,1.1200000000000001,0.13777777777777778,23.320016339869284,24.737165713242714,1.4210854715202004e-14,4.9517601571415211e+27,3.4844914372704099e+41,B
24,24,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,2.6926452231543869e-29,1.0666666666666667,1.1200000000000001,0.13777777777777778,24.38668300653595,25.874943491020492,3.5527136788005009e-15,7.9228162514264338e+28,2.2300745198530623e+43,B
25,25,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,1.6829032644714918e-30,1.0666666666666667,1.1200000000000001,0.13777777777777778,25.453349673202617,27.01272126879827,8.8817841970012523e-16,1.2676506002282294e+30,1.4272476927059599e+45,B
26,26,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,1.0518145402946824e-31,1.0666666666666667,1.1200000000000001,0.13777777777777778,26.520016339869283,28.150499046576048,2.2204460492503131e-16,2.028240960365167e+31,9.1343852333181432e+46,B
27,27,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,6.573840876841765e-33,1.0666666666666667,1.1200000000000001,0.13777777777777778,27.586683006535949,29.288276824353826,5.5511151231257827e-17,3.2451855365842673e+32,5.8460065493236117e+48,B
28,28,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,4.1086505480261031e-34,1.0666666666666667,1.1200000000000001,0.13777777777777778,28.653349673202616,30.426054602131604,1.3877787807814457e-17,5.1922968585348276e+33,3.7414441915671115e+50,B
29,29,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,2.5679065925163144e-35,1.0666666666666667,1.1200000000000001,0.13777777777777778,29.720016339869282,31.563832379909382,3.4694469519536142e-18,8.3076749736557242e+34,2.3945242826029513e+52,B
30,30,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,1.6049416203226965e-36,1.0666666666666667,1.1200000000000001,0.13777777777777778,30.786683006535949,32.701610157687156,8.6736173798840355e-19,1.3292279957849159e+36,1.5324955408658889e+54,B
31,31,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,1.0030885127016853e-37,1.0666666666666667,1.1200000000000001,0.13777777777777778,31.853349673202615,33.839387935464934,2.1684043449710089e-19,2.1267647932558654e+37,9.8079714615416887e+55,B
32,32,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,6.2693032043855333e-39,1.0666666666666667,1.1200000000000001,0.13777777777777778,32.920016339869285,34.977165713242712,5.4210108624275222e-20,3.4028236692093846e+38,6.2771017353866808e+57,B
33,33,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,3.9183145027409583e-40,1.0666666666666667,1.1200000000000001,0.13777777777777778,33.986683006535955,36.11494349102049,1.3552527156068805e-20,5.4445178707350154e+39,4.0173451106474757e+59,B
34,34,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,2.4489465642130989e-41,1.0666666666666667,1.1200000000000001,0.13777777777777778,35.053349673202625,37.252721268798268,3.3881317890172014e-21,8.7112285931760247e+40,2.5711008708143844e+61,B
35,35,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,1.5305916026331868e-42,1.0666666666666667,1.1200000000000001,0.13777777777777778,36.120016339869295,38.390499046576046,8.4703294725430034e-22,1.3937965749081639e+42,1.645504557321206e+63,B
36,36,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,9.5661975164574177e-44,1.0666666666666667,1.1200000000000001,0.13777777777777778,37.186683006535965,39.528276824353824,2.1175823681357508e-22,2.2300745198530623e+43,1.0531229166855719e+65,B
37,37,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,5.9788734477858861e-45,1.0666666666666667,1.1200000000000001,0.13777777777777778,38.253349673202635,40.666054602131602,5.2939559203393771e-23,3.5681192317648997e+44,6.7399866667876599e+66,B
38,38,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,3.7367959048661788e-46,1.0666666666666667,1.1200000000000001,0.13777777777777778,39.320016339869305,41.80383237990938,1.3234889800848443e-23,5.7089907708238395e+45,4.3135914667441024e+68,B
39,39,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,2.3354974405413618e-47,1.0666666666666667,1.1200000000000001,0.13777777777777778,40.386683006535975,42.941610157687158,3.3087224502121107e-24,9.1343852333181432e+46,2.7606985387162255e+70,B
40,40,2,0.25,0.0625,1.0666666666666667,1.1377777777777778,1.4596859003383511e-48,1.0666666666666667,1.1200000000000001,0.13777777777777778,41.453349673202645,44.079387935464936,8.2718061255302767e-25,1.4615016373309029e+48,1.7668470647783843e+72,B
