panel,row_role,scale_index_or_cutoff_depth,backward_time_s,hardy_reference_s_minus_one_half,finite_chain_envelope_G_K,finest_scale_cap_r_K_minus_1,finest_radius_r_K,breakpoint_r_K_squared,epsilon,alpha,integrand_power_one_half_plus_two_alpha,truncated_hardy_integral,radius_r,fixed_amplitude_a,energy_E_a_squared_r,integrated_dissipation_D_a_squared_r,target_functional_scale_factor_T_n_a_fourth_r_minus_1,dual_Q_r_minus_3_E_squared,T_n_scale_factor_over_Q_scale_factor,Q_scale_factor_over_T_n_scale_factor
A,finite-chain-envelope,0,1,1,1,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,1,0.5,1.4142135623730951,1.4142135623730951,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,2,0.25,2,2,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,3,0.125,2.8284271247461903,2.8284271247461903,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,4,0.0625,4,4,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,5,0.03125,5.6568542494923806,5.6568542494923806,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,6,0.015625,8,8,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,7,0.0078125,11.313708498984761,11.313708498984761,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,8,0.00390625,16,16,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,9,0.001953125,22.627416997969522,22.627416997969522,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,10,0.0009765625,32,32,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,11,0.00048828125,45.254833995939045,45.254833995939045,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,12,0.000244140625,64,64,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,13,0.0001220703125,90.509667991878089,90.509667991878089,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,14,6.103515625e-05,128,128,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,15,3.0517578125e-05,181.01933598375618,181.01933598375618,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,16,1.52587890625e-05,256,256,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,17,7.62939453125e-06,362.03867196751236,362.03867196751236,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,18,3.814697265625e-06,512,512,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,19,1.9073486328125e-06,724.07734393502471,724.07734393502471,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,20,9.5367431640625e-07,1024,1024,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,21,4.76837158203125e-07,1448.1546878700494,1448.1546878700494,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,22,2.384185791015625e-07,2048,2048,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,23,1.1920928955078125e-07,2896.3093757400989,2896.3093757400989,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,24,5.9604644775390625e-08,4096,4096,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,25,2.9802322387695312e-08,5792.6187514801977,4096,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,26,1.4901161193847656e-08,8192,4096,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,27,7.4505805969238281e-09,11585.237502960395,4096,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,28,3.7252902984619141e-09,16384,4096,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,29,1.862645149230957e-09,23170.475005920791,4096,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,30,9.3132257461547852e-10,32768,4096,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,31,4.6566128730773926e-10,46340.950011841582,4096,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
A,finite-chain-envelope,32,2.3283064365386963e-10,65536,4096,4096,0.000244140625,5.9604644775390625e-08,,,,,,,,,,,,
B,subcritical,2,,,,,,,0.25,0.14999999999999999,0.80000000000000004,1.210708583724005,,,,,,,,
B,subcritical,3,,,,,,,0.125,0.14999999999999999,0.80000000000000004,1.7012302230677645,,,,,,,,
B,subcritical,4,,,,,,,0.0625,0.14999999999999999,0.80000000000000004,2.1282541125074128,,,,,,,,
B,subcritical,5,,,,,,,0.03125,0.14999999999999999,0.80000000000000004,2.5,,,,,,,,
B,subcritical,6,,,,,,,0.015625,0.14999999999999999,0.80000000000000004,2.8236235917596897,,,,,,,,
B,subcritical,7,,,,,,,0.0078125,0.14999999999999999,0.80000000000000004,3.1053542918620023,,,,,,,,
B,subcritical,8,,,,,,,0.00390625,0.14999999999999999,0.80000000000000004,3.350615111533882,,,,,,,,
B,subcritical,9,,,,,,,0.001953125,0.14999999999999999,0.80000000000000004,3.5641270562537062,,,,,,,,
B,subcritical,10,,,,,,,0.0009765625,0.14999999999999999,0.80000000000000004,3.75,,,,,,,,
B,subcritical,11,,,,,,,0.00048828125,0.14999999999999999,0.80000000000000004,3.9118117958798448,,,,,,,,
B,subcritical,12,,,,,,,0.000244140625,0.14999999999999999,0.80000000000000004,4.0526771459310007,,,,,,,,
B,subcritical,13,,,,,,,0.0001220703125,0.14999999999999999,0.80000000000000004,4.175307555766941,,,,,,,,
B,subcritical,14,,,,,,,6.103515625e-05,0.14999999999999999,0.80000000000000004,4.2820635281268533,,,,,,,,
B,subcritical,15,,,,,,,3.0517578125e-05,0.14999999999999999,0.80000000000000004,4.375,,,,,,,,
B,subcritical,16,,,,,,,1.52587890625e-05,0.14999999999999999,0.80000000000000004,4.455905897939922,,,,,,,,
