panel,row_role,sample_index_or_refinement_index,phase_theta_radians,coupling_helicity_positive,coupling_helicity_negative,signed_control_two_cos_two_theta,direction_cosine_z,quadrupole_K_S0,quadrupole_positive_part,quadrupole_negative_part,radius_r,source_square_norm_normalized,core_dual_square_norm_normalized,cauchy_product_normalized,signed_pairing_normalized,source_square_norm_raw_Lambda_4,signed_pairing_raw_Lambda_2,exact_summary
A,phase-sweep,0,0,1,1,2,,,,,,,,,,,,
A,phase-sweep,1,0.087266462599716474,1,1,1.969615506024416,,,,,,,,,,,,
A,phase-sweep,2,0.17453292519943295,1,1,1.8793852415718169,,,,,,,,,,,,
A,phase-sweep,3,0.26179938779914941,1,1,1.7320508075688774,,,,,,,,,,,,
A,phase-sweep,4,0.3490658503988659,1,1,1.532088886237956,,,,,,,,,,,,
A,phase-sweep,5,0.43633231299858238,1,1,1.2855752193730787,,,,,,,,,,,,
A,phase-sweep,6,0.52359877559829882,1,1,1.0000000000000002,,,,,,,,,,,,
A,phase-sweep,7,0.6108652381980153,1,1,0.68404028665133765,,,,,,,,,,,,
A,phase-sweep,8,0.69813170079773179,1,1,0.34729635533386083,,,,,,,,,,,,
A,phase-sweep,9,0.78539816339744828,1,1,1.2246467991473532e-16,,,,,,,,,,,,
A,phase-sweep,10,0.87266462599716477,1,1,-0.34729635533386061,,,,,,,,,,,,
A,phase-sweep,11,0.95993108859688125,1,1,-0.68404028665133743,,,,,,,,,,,,
A,phase-sweep,12,1.0471975511965976,1,1,-0.99999999999999967,,,,,,,,,,,,
A,phase-sweep,13,1.1344640137963142,1,1,-1.2855752193730787,,,,,,,,,,,,
A,phase-sweep,14,1.2217304763960306,1,1,-1.5320888862379558,,,,,,,,,,,,
A,phase-sweep,15,1.3089969389957472,1,1,-1.7320508075688774,,,,,,,,,,,,
A,phase-sweep,16,1.3962634015954636,1,1,-1.8793852415718166,,,,,,,,,,,,
A,phase-sweep,17,1.48352986419518,1,1,-1.969615506024416,,,,,,,,,,,,
A,phase-sweep,18,1.5707963267948966,1,1,-2,,,,,,,,,,,,
A,phase-sweep,19,1.6580627893946129,1,1,-1.9696155060244163,,,,,,,,,,,,
A,phase-sweep,20,1.7453292519943295,1,1,-1.8793852415718169,,,,,,,,,,,,
A,phase-sweep,21,1.8325957145940459,1,1,-1.7320508075688776,,,,,,,,,,,,
A,phase-sweep,22,1.9198621771937625,1,1,-1.532088886237956,,,,,,,,,,,,
A,phase-sweep,23,2.0071286397934789,1,1,-1.2855752193730789,,,,,,,,,,,,
A,phase-sweep,24,2.0943951023931953,1,1,-1.0000000000000009,,,,,,,,,,,,
A,phase-sweep,25,2.1816615649929116,1,1,-0.68404028665133876,,,,,,,,,,,,
A,phase-sweep,26,2.2689280275926285,1,1,-0.34729635533386066,,,,,,,,,,,,
A,phase-sweep,27,2.3561944901923448,1,1,-3.6739403974420594e-16,,,,,,,,,,,,
A,phase-sweep,28,2.4434609527920612,1,1,0.34729635533385994,,,,,,,,,,,,
A,phase-sweep,29,2.5307274153917776,1,1,0.68404028665133632,,,,,,,,,,,,
A,phase-sweep,30,2.6179938779914944,1,1,1.0000000000000002,,,,,,,,,,,,
A,phase-sweep,31,2.7052603405912108,1,1,1.2855752193730785,,,,,,,,,,,,
A,phase-sweep,32,2.7925268031909272,1,1,1.5320888862379556,,,,,,,,,,,,
A,phase-sweep,33,2.8797932657906435,1,1,1.7320508075688767,,,,,,,,,,,,
A,phase-sweep,34,2.9670597283903599,1,1,1.8793852415718162,,,,,,,,,,,,
A,phase-sweep,35,3.0543261909900767,1,1,1.969615506024416,,,,,,,,,,,,
A,phase-sweep,36,3.1415926535897931,1,1,2,,,,,,,,,,,,
A,phase-sweep,37,3.2288591161895095,1,1,1.9696155060244163,,,,,,,,,,,,
A,phase-sweep,38,3.3161255787892259,1,1,1.8793852415718173,,,,,,,,,,,,
