panel,row_role,witness,quantity,exact_value
A,pressure-diagonal,minus,H11,-301/85
A,pressure-diagonal,minus,H22,131/85
A,pressure-diagonal,minus,H33,0
A,pressure-diagonal,plus,H11,131/85
A,pressure-diagonal,plus,H22,-301/85
A,pressure-diagonal,plus,H33,0
A,common-anisotropy-diagonal,common,B11,1/6
A,common-anisotropy-diagonal,common,B22,-1/3
A,common-anisotropy-diagonal,common,B33,1/6
A,pressure-offdiagonal,minus,H12,-152/65
A,pressure-offdiagonal,plus,H12,-152/65
B,qdot-contribution,minus,local-gradient,1/6
B,qdot-contribution,minus,source-viscosity,-1
B,qdot-contribution,minus,shape-evolution,197/120
B,qdot-contribution,minus,pressure,563/510
B,qdot-contribution,plus,local-gradient,1/6
B,qdot-contribution,plus,source-viscosity,-1
B,qdot-contribution,plus,shape-evolution,197/120
B,qdot-contribution,plus,pressure,-733/510
B,qdot-total,minus,total,3901/2040
B,qdot-total,plus,total,-1283/2040
