panel,row_role,series,x_exact,exact_value,numeric_value,context
A,strain-segment,A,0,1,1,end=1; C-coefficient=0
A,strain-segment,C,1,0,0,end=2; C-coefficient=1
A,strain-segment,-A,2,-1,-1,end=3; C-coefficient=0
A,strain-segment,-C,3,0,0,end=4; C-coefficient=-1
B,rank-one-gap,physical-Q,0,2/3,0.66666666666666663,traceQ=3; trB2=0
B,rank-one-gap,physical-Q,1,13122/3296483,0.0039806059973614303,traceQ=3296483/6561; trB2=6553600/9889449
B,rank-one-gap,physical-Q,2,86093442/2434935719363,3.5357583083352516e-05,traceQ=2434935719363/43046721; trB2=4869613158400/7304807158089
B,rank-one-gap,physical-Q,3,564859072962/1777360790686804643,3.1780777201894286e-07,traceQ=1777360790686804643/282429536481; trB2=3554719886796390400/5332082372060413929
B,rank-one-gap,physical-Q,4,3706040377703682/1297231170654864498408323,2.8568850807314548e-09,traceQ=1297231170654864498408323/1853020188851841; trB2=2594462330191607863705600/3891693511964593495224969
B,rank-one-gap,physical-Q,5,24315330918113857602/946801069151885465681777506403,2.5681562590433875e-11,traceQ=946801069151885465681777506403/12157665459056928801; trB2=1893602138230824938609213440000/2840403207455656397045332519209
B,rank-one-gap,physical-Q,6,159532886153745019726722/691035088502739492091338081900994883,2.3086076062997569e-13,traceQ=691035088502739492091338081900994883/79766443076872509863361; trB2=1382070177005000385524214928742809600/2073105265508218476274014245702984649
B,rank-one-gap,physical-Q,7,1046695266054721074427023042/504360957188981560228184601901666132489763,2.0752900301569725e-15,traceQ=504360957188981560228184601901666132489763/523347633027360537213511521; trB2=1008721914377959980370571039640108983910400/1513082871566944680684553805704998397469289
B,rank-one-gap,physical-Q,8,6867367640585024969315698178562/368114411798642115074522969526257138016771127043,1.8655525077191114e-17,traceQ=368114411798642115074522969526257138016771127043/3433683820292512484657849089281; trB2=736228823597284209546943017297439368086447718400/1104343235395926345223568908578771414050313381129
C,optimized-amplification,k=2,1/100000000,sqrt(37037038518518600000002666666705185185659259264/144675983796306032987690972380601852009259275)/16,0.9999998200000233,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,3/100000000,sqrt(1000000120000019800001944000084240003110400093312/3906254687502366016776719096376251032750309825)/16,0.99999946000020923,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,1/10000000,sqrt(37037051851860000002666667051851899259264/144676504630603300190973806018534259275)/16,0.99999820000232498,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,3/10000000,sqrt(1000001200001980001944000842400311040093312/3906296875236602714222213762603275309825)/16,0.99999460002092488,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,1/1000000,sqrt(37037185186000002666670518523259264/144681713060331440988060186759275)/16,0.99998200023249506,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,3/1000000,sqrt(1000012000198001944008424031104093312/3906718773661308003387635327809825)/16,0.99994600209236761,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,1/100000,sqrt(37038518600002666705185659264/144733806034566130602009275)/16,0.99982002324509622,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,3/100000,sqrt(1000120019801944084243110493312/3910939867167690127283059825)/16,0.99946020911766598,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,1/10000,sqrt(37051860002667051899264/145255604880056034275)/16,0.99820232010744159,plotted value=(rhoG/rho0)/kappa(G)^2
