panel,row_role,series,index,x_exact,x_numeric,y_exact,y_numeric,context
A,exact-curve,Bessel response A(N),2,2,2,1/25,0.040000000000000001,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,2,2,2,1/100,0.01,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,2,2,2,1/16,0.0625,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),2,2,2,25,25,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,2,2,2,16,16,neutral asymptotic reference
A,exact-curve,Bessel response A(N),3,3,3,1/100,0.01,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,3,3,3,1/400,0.0025000000000000001,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,3,3,3,1/81,0.012345679012345678,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),3,3,3,100,100,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,3,3,3,81,81,neutral asymptotic reference
A,exact-curve,Bessel response A(N),4,4,4,1/289,0.0034602076124567475,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,4,4,4,1/1156,0.00086505190311418688,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,4,4,4,1/256,0.00390625,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),4,4,4,289,289,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,4,4,4,256,256,neutral asymptotic reference
A,exact-curve,Bessel response A(N),5,5,5,1/676,0.0014792899408284023,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,5,5,5,1/2704,0.00036982248520710058,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,5,5,5,1/625,0.0016000000000000001,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),5,5,5,676,676,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,5,5,5,625,625,neutral asymptotic reference
A,exact-curve,Bessel response A(N),6,6,6,1/1369,0.00073046018991964939,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,6,6,6,1/5476,0.00018261504747991235,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,6,6,6,1/1296,0.0007716049382716049,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),6,6,6,1369,1369,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,6,6,6,1296,1296,neutral asymptotic reference
A,exact-curve,Bessel response A(N),7,7,7,1/2500,0.00040000000000000002,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,7,7,7,1/10000,0.0001,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,7,7,7,1/2401,0.00041649312786339027,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),7,7,7,2500,2500,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,7,7,7,2401,2401,neutral asymptotic reference
A,exact-curve,Bessel response A(N),8,8,8,1/4225,0.00023668639053254438,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,8,8,8,1/16900,5.9171597633136094e-05,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,8,8,8,1/4096,0.000244140625,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),8,8,8,4225,4225,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,8,8,8,4096,4096,neutral asymptotic reference
A,exact-curve,Bessel response A(N),9,9,9,1/6724,0.00014872099940511601,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,9,9,9,1/26896,3.7180249851279002e-05,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,9,9,9,1/6561,0.00015241579027587258,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),9,9,9,6724,6724,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,9,9,9,6561,6561,neutral asymptotic reference
A,exact-curve,Bessel response A(N),10,10,10,1/10201,9.8029604940692082e-05,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,10,10,10,1/40804,2.4507401235173021e-05,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,10,10,10,1/10000,0.0001,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),10,10,10,10201,10201,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,10,10,10,10000,10000,neutral asymptotic reference
A,exact-curve,Bessel response A(N),11,11,11,1/14884,6.7186240257995157e-05,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,11,11,11,1/59536,1.6796560064498789e-05,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,11,11,11,1/14641,6.8301345536507063e-05,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),11,11,11,14884,14884,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,11,11,11,14641,14641,neutral asymptotic reference
A,exact-curve,Bessel response A(N),12,12,12,1/21025,4.7562425683709869e-05,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,12,12,12,1/84100,1.1890606420927467e-05,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,12,12,12,1/20736,4.8225308641975306e-05,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),12,12,12,21025,21025,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,12,12,12,20736,20736,neutral asymptotic reference
A,exact-curve,Bessel response A(N),13,13,13,1/28900,3.4602076124567477e-05,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,13,13,13,1/115600,8.6505190311418692e-06,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,13,13,13,1/28561,3.5012779664577572e-05,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),13,13,13,28900,28900,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,13,13,13,28561,28561,neutral asymptotic reference
A,exact-curve,Bessel response A(N),14,14,14,1/38809,2.5767218944059367e-05,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,14,14,14,1/155236,6.4418047360148418e-06,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,14,14,14,1/38416,2.6030820491461892e-05,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),14,14,14,38809,38809,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,14,14,14,38416,38416,neutral asymptotic reference
A,exact-curve,Bessel response A(N),15,15,15,1/51076,1.9578667084344897e-05,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,15,15,15,1/204304,4.8946667710862243e-06,nu=1; ||r_N||_L2t=A(N)/4
