panel,row_role,series,index,x_exact,x_numeric,y_exact,y_numeric,context
A,exact-curve,common response U_M,0,4,4,sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2),0.96964266797426235,M=4; exact two-shell HHL formula
A,exact-curve,scaled chord M^2 |C_M|,0,4,4,sqrt(2)*M^2*(2*M+1)/(2*(2*M^2+2*M+1)^(3/2)),0.38785706718970492,M=4; chord shown after exact M^2 scaling
A,asymptotic-reference,common limit,0,4,4,1,1,lim_(M->infinity) U_M=1
A,asymptotic-reference,scaled chord limit,0,4,4,1/2,0.5,lim_(M->infinity) M^2|C_M|=1/2
A,exact-curve,common response U_M,1,8,8,sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2),0.99138972232551315,M=8; exact two-shell HHL formula
A,exact-curve,scaled chord M^2 |C_M|,1,8,8,sqrt(2)*M^2*(2*M+1)/(2*(2*M^2+2*M+1)^(3/2)),0.44061765436689476,M=8; chord shown after exact M^2 scaling
A,asymptotic-reference,common limit,1,8,8,1,1,lim_(M->infinity) U_M=1
A,asymptotic-reference,scaled chord limit,1,8,8,1/2,0.5,lim_(M->infinity) M^2|C_M|=1/2
A,exact-curve,common response U_M,2,16,16,sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2),0.99770715863318804,M=16; exact two-shell HHL formula
A,exact-curve,scaled chord M^2 |C_M|,2,16,16,sqrt(2)*M^2*(2*M+1)/(2*(2*M^2+2*M+1)^(3/2)),0.46950925112150027,M=16; chord shown after exact M^2 scaling
A,asymptotic-reference,common limit,2,16,16,1,1,lim_(M->infinity) U_M=1
A,asymptotic-reference,scaled chord limit,2,16,16,1/2,0.5,lim_(M->infinity) M^2|C_M|=1/2
A,exact-curve,common response U_M,3,32,32,sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2),0.99940847303882763,M=32; exact two-shell HHL formula
A,exact-curve,scaled chord M^2 |C_M|,3,32,32,sqrt(2)*M^2*(2*M+1)/(2*(2*M^2+2*M+1)^(3/2)),0.48456168389761339,M=32; chord shown after exact M^2 scaling
A,asymptotic-reference,common limit,3,32,32,1,1,lim_(M->infinity) U_M=1
A,asymptotic-reference,scaled chord limit,3,32,32,1/2,0.5,lim_(M->infinity) M^2|C_M|=1/2
A,exact-curve,common response U_M,4,64,64,sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2),0.99984978083033849,M=64; exact two-shell HHL formula
A,exact-curve,scaled chord M^2 |C_M|,4,64,64,sqrt(2)*M^2*(2*M+1)/(2*(2*M^2+2*M+1)^(3/2)),0.49223373825493583,M=64; chord shown after exact M^2 scaling
A,asymptotic-reference,common limit,4,64,64,1,1,lim_(M->infinity) U_M=1
A,asymptotic-reference,scaled chord limit,4,64,64,1/2,0.5,lim_(M->infinity) M^2|C_M|=1/2
A,exact-curve,common response U_M,5,128,128,sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2),0.99996215008701861,M=128; exact two-shell HHL formula
A,exact-curve,scaled chord M^2 |C_M|,5,128,128,sqrt(2)*M^2*(2*M+1)/(2*(2*M^2+2*M+1)^(3/2)),0.49610525275635037,M=128; chord shown after exact M^2 scaling
A,asymptotic-reference,common limit,5,128,128,1,1,lim_(M->infinity) U_M=1
A,asymptotic-reference,scaled chord limit,5,128,128,1/2,0.5,lim_(M->infinity) M^2|C_M|=1/2
A,exact-curve,common response U_M,6,256,256,sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2),0.9999905004496138,M=256; exact two-shell HHL formula
A,exact-curve,scaled chord M^2 |C_M|,6,256,256,sqrt(2)*M^2*(2*M+1)/(2*(2*M^2+2*M+1)^(3/2)),0.49804974341459363,M=256; chord shown after exact M^2 scaling
A,asymptotic-reference,common limit,6,256,256,1,1,lim_(M->infinity) U_M=1
A,asymptotic-reference,scaled chord limit,6,256,256,1/2,0.5,lim_(M->infinity) M^2|C_M|=1/2
A,exact-curve,common response U_M,7,512,512,sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2),0.99999762046706708,M=512; exact two-shell HHL formula
A,exact-curve,scaled chord M^2 |C_M|,7,512,512,sqrt(2)*M^2*(2*M+1)/(2*(2*M^2+2*M+1)^(3/2)),0.49902415368337072,M=512; chord shown after exact M^2 scaling
A,asymptotic-reference,common limit,7,512,512,1,1,lim_(M->infinity) U_M=1
A,asymptotic-reference,scaled chord limit,7,512,512,1/2,0.5,lim_(M->infinity) M^2|C_M|=1/2
A,exact-curve,common response U_M,8,1024,1024,sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2),0.99999940453539427,M=1024; exact two-shell HHL formula
A,exact-curve,scaled chord M^2 |C_M|,8,1024,1024,sqrt(2)*M^2*(2*M+1)/(2*(2*M^2+2*M+1)^(3/2)),0.49951189768011889,M=1024; chord shown after exact M^2 scaling
A,asymptotic-reference,common limit,8,1024,1024,1,1,lim_(M->infinity) U_M=1
A,asymptotic-reference,scaled chord limit,8,1024,1024,1/2,0.5,lim_(M->infinity) M^2|C_M|=1/2
A,exact-curve,common response U_M,9,2048,2048,sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2),0.99999985106113298,M=2048; exact two-shell HHL formula
A,exact-curve,scaled chord M^2 |C_M|,9,2048,2048,sqrt(2)*M^2*(2*M+1)/(2*(2*M^2+2*M+1)^(3/2)),0.49975590409302106,M=2048; chord shown after exact M^2 scaling
A,asymptotic-reference,common limit,9,2048,2048,1,1,lim_(M->infinity) U_M=1
A,asymptotic-reference,scaled chord limit,9,2048,2048,1/2,0.5,lim_(M->infinity) M^2|C_M|=1/2
A,exact-curve,common response U_M,10,4096,4096,sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2),0.99999996275619107,M=4096; exact two-shell HHL formula
A,exact-curve,scaled chord M^2 |C_M|,10,4096,4096,sqrt(2)*M^2*(2*M+1)/(2*(2*M^2+2*M+1)^(3/2)),0.499877940865189,M=4096; chord shown after exact M^2 scaling
A,asymptotic-reference,common limit,10,4096,4096,1,1,lim_(M->infinity) U_M=1
A,asymptotic-reference,scaled chord limit,10,4096,4096,1/2,0.5,lim_(M->infinity) M^2|C_M|=1/2
A,exact-curve,common response U_M,11,8192,8192,sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2),0.99999999068791101,M=8192; exact two-shell HHL formula
A,exact-curve,scaled chord M^2 |C_M|,11,8192,8192,sqrt(2)*M^2*(2*M+1)/(2*(2*M^2+2*M+1)^(3/2)),0.49993896763794504,M=8192; chord shown after exact M^2 scaling
A,asymptotic-reference,common limit,11,8192,8192,1,1,lim_(M->infinity) U_M=1
A,asymptotic-reference,scaled chord limit,11,8192,8192,1/2,0.5,lim_(M->infinity) M^2|C_M|=1/2
A,exact-curve,common response U_M,12,16384,16384,sqrt(2)*M*(M+1)*(2*M+1)/(2*M^2+2*M+1)^(3/2),0.99999999767183567,M=16384; exact two-shell HHL formula
A,exact-curve,scaled chord M^2 |C_M|,12,16384,16384,sqrt(2)*M^2*(2*M+1)/(2*(2*M^2+2*M+1)^(3/2)),0.49996948312039535,M=16384; chord shown after exact M^2 scaling
