recordType,mu,theta,value,aux,level
profile,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,H
profile,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.0000000000000000e-02,9.0267241532035492e-01,9.7785335386345973e-01,H
profile,1.0000000000000000e+00,2.0000000000000000e-02,8.3193416160770506e-01,nan,qRelative
profile,1.0000000000000000e+00,4.0000000000000001e-02,8.1092261147294165e-01,9.5162650009656513e-01,H
profile,1.0000000000000000e+00,4.0000000000000001e-02,6.8656578467824725e-01,nan,qRelative
profile,1.0000000000000000e+00,5.9999999999999998e-02,7.2498518085507502e-01,9.2163679515762409e-01,H
profile,1.0000000000000000e+00,5.9999999999999998e-02,5.6196925934091102e-01,nan,qRelative
profile,1.0000000000000000e+00,8.0000000000000002e-02,6.4496279943963919e-01,8.8819617807217066e-01,H
profile,1.0000000000000000e+00,8.0000000000000002e-02,4.5610028236372629e-01,nan,qRelative
profile,1.0000000000000000e+00,1.0000000000000001e-01,5.7085034924411937e-01,8.5160864965952199e-01,H
profile,1.0000000000000000e+00,1.0000000000000001e-01,3.6689968562173925e-01,nan,qRelative
profile,1.0000000000000000e+00,1.2000000000000000e-01,5.0255622971667191e-01,8.1216825850768504e-01,H
profile,1.0000000000000000e+00,1.2000000000000000e-01,2.9236711886508304e-01,nan,qRelative
profile,1.0000000000000000e+00,1.4000000000000001e-01,4.3992096391197150e-01,7.7015753382444208e-01,H
profile,1.0000000000000000e+00,1.4000000000000001e-01,2.3061076608852607e-01,nan,qRelative
profile,1.0000000000000000e+00,1.6000000000000000e-01,3.8273325966871280e-01,7.2584630883577073e-01,H
profile,1.0000000000000000e+00,1.6000000000000000e-01,1.7987843204698750e-01,nan,qRelative
profile,1.0000000000000000e+00,1.7999999999999999e-01,3.3074371993657853e-01,6.7949088244960776e-01,H
profile,1.0000000000000000e+00,1.7999999999999999e-01,1.3857447892726787e-01,nan,qRelative
profile,1.0000000000000000e+00,2.0000000000000001e-01,2.8367641463398674e-01,6.3133347121593719e-01,H
profile,1.0000000000000000e+00,2.0000000000000001e-01,1.0526628802575763e-01,nan,qRelative
profile,1.0000000000000000e+00,2.2000000000000000e-01,2.4123853284509048e-01,5.8160190801274703e-01,H
profile,1.0000000000000000e+00,2.2000000000000000e-01,7.8683200577263787e-02,nan,qRelative
profile,1.0000000000000000e+00,2.3999999999999999e-01,2.0312833196208235e-01,5.3050954823769092e-01,H
profile,1.0000000000000000e+00,2.3999999999999999e-01,5.7710268483192419e-02,nan,qRelative
profile,1.0000000000000000e+00,2.6000000000000001e-01,1.6904159209585848e-01,4.7825534849067897e-01,H
profile,1.0000000000000000e+00,2.6000000000000001e-01,4.1378620251137498e-02,nan,qRelative
profile,1.0000000000000000e+00,2.8000000000000003e-01,1.3867677172695911e-01,4.2502408672647479e-01,H
profile,1.0000000000000000e+00,2.8000000000000003e-01,2.8853813758824766e-02,nan,qRelative
profile,1.0000000000000000e+00,2.9999999999999999e-01,1.1173904571091957e-01,3.7098669659525668e-01,H
profile,1.0000000000000000e+00,2.9999999999999999e-01,1.9423195829533085e-02,nan,qRelative
profile,1.0000000000000000e+00,3.2000000000000001e-01,8.7943390576286334e-02,3.1630069214792661e-01,H
profile,1.0000000000000000e+00,3.2000000000000001e-01,1.2483008099079158e-02,nan,qRelative
profile,1.0000000000000000e+00,3.4000000000000002e-01,6.7016865444015569e-02,2.6111066225028468e-01,H
profile,1.0000000000000000e+00,3.4000000000000002e-01,7.5257583082918638e-03,nan,qRelative
profile,1.0000000000000000e+00,3.5999999999999999e-01,4.8700220493822680e-02,2.0554881692508714e-01,H
profile,1.0000000000000000e+00,3.5999999999999999e-01,4.1282057293098003e-03,nan,qRelative
profile,1.0000000000000000e+00,3.8000000000000000e-01,3.2748949152602458e-02,1.4973557042995841e-01,H
profile,1.0000000000000000e+00,3.8000000000000000e-01,1.9401797639305061e-03,nan,qRelative
profile,1.0000000000000000e+00,4.0000000000000002e-01,1.8933885377381537e-02,9.3780148193951293e-02,H
profile,1.0000000000000000e+00,4.0000000000000002e-01,6.7435387913849349e-04,nan,qRelative
profile,1.0000000000000000e+00,4.1999999999999998e-01,7.0414337293381877e-03,3.7781206791710188e-02,H
profile,1.0000000000000000e+00,4.1999999999999998e-01,9.7026213159019816e-05,nan,qRelative
profile,1.0000000000000000e+00,4.4000000000000000e-01,-3.1264925224500301e-03,-1.8172542050808631e-02,H
profile,1.0000000000000000e+00,4.4000000000000000e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,4.6000000000000002e-01,-1.1752761241910511e-02,-7.4001710832400702e-02,H
profile,1.0000000000000000e+00,4.6000000000000002e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,4.7999999999999998e-01,-1.9005485173669668e-02,-1.2963562505832188e-01,H
profile,1.0000000000000000e+00,4.7999999999999998e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,5.0000000000000000e-01,-2.5038614373630936e-02,-1.8501172624625031e-01,H
profile,1.0000000000000000e+00,5.0000000000000000e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,5.2000000000000002e-01,-2.9992619811033940e-02,-2.4007499293573015e-01,H
