panel,series,x,value,parameter,evidenceClass
A,rayleighPayment,0,0,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,angularIntegral,0,0,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,curvatureIntegral,0,0,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,identitySum,0,0,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,rayleighPayment,0.025000000000000001,0.1122895360312488,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,angularIntegral,0.025000000000000001,0.056144768015624402,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,curvatureIntegral,0.025000000000000001,0.056144768015624402,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,identitySum,0.025000000000000001,0.1122895360312488,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,rayleighPayment,0.050000000000000003,0.22332755043497698,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,angularIntegral,0.050000000000000003,0.11166377521748849,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,curvatureIntegral,0.050000000000000003,0.11166377521748849,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,identitySum,0.050000000000000003,0.22332755043497698,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,rayleighPayment,0.074999999999999997,0.33191770184766556,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,angularIntegral,0.074999999999999997,0.16595885092383278,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,curvatureIntegral,0.074999999999999997,0.16595885092383278,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,identitySum,0.074999999999999997,0.33191770184766556,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,rayleighPayment,0.10000000000000001,0.43696891867738641,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,angularIntegral,0.10000000000000001,0.2184844593386932,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,curvatureIntegral,0.10000000000000001,0.2184844593386932,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,identitySum,0.10000000000000001,0.43696891867738641,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,rayleighPayment,0.125,0.53753609752617915,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,angularIntegral,0.125,0.26876804876308957,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,curvatureIntegral,0.125,0.26876804876308957,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,identitySum,0.125,0.53753609752617915,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,rayleighPayment,0.14999999999999999,0.63284850787501168,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,angularIntegral,0.14999999999999999,0.31642425393750584,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,curvatureIntegral,0.14999999999999999,0.31642425393750584,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
A,identitySum,0.14999999999999999,0.63284850787501168,nu=1;lambda1=1;lambda2=4;c1=c2=1,closed-form pure-heat Hilbert model
