panel,series,x,value,parameter,evidenceClass,formula
A,commonHeatPulse,0,0,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.02,0.00037668070490214615,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.040000000000000001,0.0014186945919884256,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.059999999999999998,0.0030051719283969319,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.080000000000000002,0.0050290659763970935,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.10000000000000001,0.0073958987758910482,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.12,0.010022605768854418,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.14000000000000001,0.012836471862361204,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.16,0.015774152113488971,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.17999999999999999,0.018780770756109042,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.20000000000000001,0.021809092780247844,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.22,0.024818762723049809,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.23999999999999999,0.027775605739846779,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.26000000000000001,0.030650986397707407,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.28000000000000003,0.033421220975164728,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.29999999999999999,0.036067039363470492,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.32000000000000001,0.038573092949385768,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.34000000000000002,0.0409275051196882,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.35999999999999999,0.043121461265582493,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.38,0.045148835383192421,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.40000000000000002,0.047005850566270435,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.41999999999999998,0.048690770871007906,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.44,0.050203622202018072,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.46000000000000002,0.051545940024709622,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.47999999999999998,0.052720541853727376,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.5,0.053731322601133107,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
