panel,series,x,value,category,formula,evidenceClass
A,leftAtom,-3.1415926535897931,0.5,partition profile,translated h atom,explicit C-infinity partition
A,centerAtom,-3.1415926535897931,0.5,partition profile,translated h atom,explicit C-infinity partition
A,rightAtom,-3.1415926535897931,0,partition profile,translated h atom,explicit C-infinity partition
A,partitionSum,-3.1415926535897931,1,partition profile,translated h atom,explicit C-infinity partition
A,leftAtom,-3.1206487025658611,0.49039940487904932,partition profile,translated h atom,explicit C-infinity partition
A,centerAtom,-3.1206487025658611,0.50960059512095079,partition profile,translated h atom,explicit C-infinity partition
A,rightAtom,-3.1206487025658611,0,partition profile,translated h atom,explicit C-infinity partition
A,partitionSum,-3.1206487025658611,1,partition profile,translated h atom,explicit C-infinity partition
A,leftAtom,-3.0997047515419291,0.48079524298203419,partition profile,translated h atom,explicit C-infinity partition
A,centerAtom,-3.0997047515419291,0.51920475701796576,partition profile,translated h atom,explicit C-infinity partition
A,rightAtom,-3.0997047515419291,0,partition profile,translated h atom,explicit C-infinity partition
A,partitionSum,-3.0997047515419291,1,partition profile,translated h atom,explicit C-infinity partition
A,leftAtom,-3.0787608005179972,0.4711839673312927,partition profile,translated h atom,explicit C-infinity partition
A,centerAtom,-3.0787608005179972,0.52881603266870736,partition profile,translated h atom,explicit C-infinity partition
A,rightAtom,-3.0787608005179972,0,partition profile,translated h atom,explicit C-infinity partition
A,partitionSum,-3.0787608005179972,1,partition profile,translated h atom,explicit C-infinity partition
A,leftAtom,-3.0578168494940652,0.46156207078045974,partition profile,translated h atom,explicit C-infinity partition
A,centerAtom,-3.0578168494940652,0.53843792921954015,partition profile,translated h atom,explicit C-infinity partition
A,rightAtom,-3.0578168494940652,0,partition profile,translated h atom,explicit C-infinity partition
A,partitionSum,-3.0578168494940652,0.99999999999999989,partition profile,translated h atom,explicit C-infinity partition
A,leftAtom,-3.0368728984701332,0.45192610651737025,partition profile,translated h atom,explicit C-infinity partition
A,centerAtom,-3.0368728984701332,0.54807389348262969,partition profile,translated h atom,explicit C-infinity partition
A,rightAtom,-3.0368728984701332,0,partition profile,translated h atom,explicit C-infinity partition
A,partitionSum,-3.0368728984701332,1,partition profile,translated h atom,explicit C-infinity partition
A,leftAtom,-3.0159289474462012,0.44227270927448231,partition profile,translated h atom,explicit C-infinity partition
A,centerAtom,-3.0159289474462012,0.55772729072551774,partition profile,translated h atom,explicit C-infinity partition
A,rightAtom,-3.0159289474462012,0,partition profile,translated h atom,explicit C-infinity partition
A,partitionSum,-3.0159289474462012,1,partition profile,translated h atom,explicit C-infinity partition
A,leftAtom,-2.9949849964222692,0.43259861748721251,partition profile,translated h atom,explicit C-infinity partition
A,centerAtom,-2.9949849964222692,0.56740138251278749,partition profile,translated h atom,explicit C-infinity partition
A,rightAtom,-2.9949849964222692,0,partition profile,translated h atom,explicit C-infinity partition
A,partitionSum,-2.9949849964222692,1,partition profile,translated h atom,explicit C-infinity partition
A,leftAtom,-2.9740410453983377,0.42290069664418556,partition profile,translated h atom,explicit C-infinity partition
A,centerAtom,-2.9740410453983377,0.5770993033558145,partition profile,translated h atom,explicit C-infinity partition
A,rightAtom,-2.9740410453983377,0,partition profile,translated h atom,explicit C-infinity partition
A,partitionSum,-2.9740410453983377,1,partition profile,translated h atom,explicit C-infinity partition
A,leftAtom,-2.9530970943744057,0.41317596407752571,partition profile,translated h atom,explicit C-infinity partition
A,centerAtom,-2.9530970943744057,0.58682403592247434,partition profile,translated h atom,explicit C-infinity partition
A,rightAtom,-2.9530970943744057,0,partition profile,translated h atom,explicit C-infinity partition
A,partitionSum,-2.9530970943744057,1,partition profile,translated h atom,explicit C-infinity partition
A,leftAtom,-2.9321531433504737,0.40342161544570887,partition profile,translated h atom,explicit C-infinity partition
A,centerAtom,-2.9321531433504737,0.59657838455429124,partition profile,translated h atom,explicit C-infinity partition
A,rightAtom,-2.9321531433504737,0,partition profile,translated h atom,explicit C-infinity partition
A,partitionSum,-2.9321531433504737,1,partition profile,translated h atom,explicit C-infinity partition
A,leftAtom,-2.9112091923265417,0.39363505316574154,partition profile,translated h atom,explicit C-infinity partition
A,centerAtom,-2.9112091923265417,0.60636494683425857,partition profile,translated h atom,explicit C-infinity partition
A,rightAtom,-2.9112091923265417,0,partition profile,translated h atom,explicit C-infinity partition
A,partitionSum,-2.9112091923265417,1,partition profile,translated h atom,explicit C-infinity partition
A,leftAtom,-2.8902652413026098,0.38381391705513357,partition profile,translated h atom,explicit C-infinity partition
A,centerAtom,-2.8902652413026098,0.61618608294486654,partition profile,translated h atom,explicit C-infinity partition
A,rightAtom,-2.8902652413026098,0,partition profile,translated h atom,explicit C-infinity partition
A,partitionSum,-2.8902652413026098,1,partition profile,translated h atom,explicit C-infinity partition
A,leftAtom,-2.8693212902786778,0.37395611744668195,partition profile,translated h atom,explicit C-infinity partition
