panel,series,x,value,category,formula,evidenceClass
A,localizedLaplacian,-3.1415926535897931,-1.5,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-3.1415926535897931,1.5,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-3.1415926535897931,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-3.1219576995048568,-1.4988435543610843,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-3.1219576995048568,1.4988435543610843,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-3.1219576995048568,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-3.1023227454199205,-1.4953760005996919,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-3.1023227454199205,1.4953760005996919,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-3.1023227454199205,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-3.0826877913349846,-1.4896026854323894,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-3.0826877913349846,1.4896026854323894,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-3.0826877913349846,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-3.0630528372500483,-1.4815325108927064,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-3.0630528372500483,1.4815325108927064,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-3.0630528372500483,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-3.043417883165112,-1.4711779206048454,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-3.043417883165112,1.4711779206048454,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-3.043417883165112,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-3.0237829290801761,-1.4585548805965149,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-3.0237829290801761,1.4585548805965149,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-3.0237829290801761,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-3.0041479749952398,-1.443682854680471,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-3.0041479749952398,1.443682854680471,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-3.0041479749952398,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.9845130209103035,-1.4265847744427302,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.9845130209103035,1.4265847744427302,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.9845130209103035,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.9648780668253671,-1.407287003883726,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.9648780668253671,1.407287003883726,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.9648780668253671,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.9452431127404308,-1.3858192987669298,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.9452431127404308,1.3858192987669298,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.9452431127404308,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.925608158655495,-1.3622147607376218,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.925608158655495,1.3622147607376218,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.925608158655495,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.9059732045705586,-1.3365097862825517,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.9059732045705586,1.3365097862825517,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.9059732045705586,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.8863382504856223,-1.3087440106091952,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.8863382504856223,1.3087440106091952,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.8863382504856223,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.8667032964006864,-1.2789602465311385,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.8667032964006864,1.2789602465311385,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.8667032964006864,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.8470683423157501,-1.2472044184538178,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.8470683423157501,1.2472044184538178,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.8470683423157501,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.8274333882308138,-1.213525491562421,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.8274333882308138,1.213525491562421,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.8274333882308138,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.8077984341458775,-1.1779753963211168,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.8077984341458775,1.1779753963211168,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.8077984341458775,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.7881634800609412,-1.1406089484000457,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.7881634800609412,1.1406089484000457,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.7881634800609412,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.7685285259760053,-1.1014837641535284,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.7685285259760053,1.1014837641535284,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.7685285259760053,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.748893571891069,-1.060660171779821,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.748893571891069,1.060660171779821,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.748893571891069,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.7292586178061327,-1.0182011182994122,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.7292586178061327,1.0182011182994122,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.7292586178061327,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.7096236637211968,-0.97417207249527582,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.7096236637211968,0.97417207249527582,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.7096236637211968,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.6899887096362605,-0.92864092396475095,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.6899887096362605,0.92864092396475095,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.6899887096362605,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.6703537555513241,-0.88167787843870937,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.6703537555513241,0.88167787843870937,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.6703537555513241,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.6507188014663878,-0.83335534952940282,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.6507188014663878,0.83335534952940282,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.6507188014663878,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.6310838473814515,-0.78374784707392253,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.6310838473814515,0.78374784707392253,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.6310838473814515,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.6114488932965156,-0.73293186224543239,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.6114488932965156,0.73293186224543239,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.6114488932965156,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.5918139392115793,-0.6809857496093199,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.5918139392115793,0.6809857496093199,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.5918139392115793,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.572178985126643,-0.62798960630614153,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.572178985126643,0.62798960630614153,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.572178985126643,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.5525440310417071,-0.57402514854763498,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.5525440310417071,0.57402514854763498,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.5525440310417071,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.5329090769567708,-0.51917558561623955,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.5329090769567708,0.51917558561623955,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.5329090769567708,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.5132741228718345,-0.46352549156242084,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.5132741228718345,0.46352549156242084,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.5132741228718345,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.4936391687868982,-0.40716067479761081,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.4936391687868982,0.40716067479761081,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.4936391687868982,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.4740042147019619,-0.35016804578385718,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.4740042147019619,0.35016804578385718,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.4740042147019619,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.454369260617026,-0.29263548302419246,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.454369260617026,0.29263548302419246,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.454369260617026,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.4347343065320897,-0.23465169756034601,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.4347343065320897,0.23465169756034601,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.4347343065320897,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.4150993524471533,-0.17630609618675586,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.4150993524471533,0.17630609618675586,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.4150993524471533,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.3954643983622175,-0.11768864359176781,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.3954643983622175,0.11768864359176781,expanded row,+3*epsilon*cos(2*x),exact analytic profile
A,fusedViscous,-2.3954643983622175,0,fused row,interior+raw collar,exact cancellation
A,localizedLaplacian,-2.3758294442772812,-0.058889723638602967,expanded row,-3*epsilon*cos(2*x),exact analytic profile
A,rawCollarContribution,-2.3758294442772812,0.058889723638602967,expanded row,+3*epsilon*cos(2*x),exact analytic profile
