panel,series,x,value,category,formula,evidenceClass
A,signedPairingComponent,0,69.863403518094174,sourceSquare,exact expansion of int chi*(G-alpha curl C).(G+nu H),fixed-witness deterministic Fourier diagnostic
A,signedPairingComponent,1,-0.070285140756302794,viscousCross,exact expansion of int chi*(G-alpha curl C).(G+nu H),fixed-witness deterministic Fourier diagnostic
A,signedPairingComponent,2,-0.0069650799416495846,projectiveSource,exact expansion of int chi*(G-alpha curl C).(G+nu H),fixed-witness deterministic Fourier diagnostic
A,signedPairingComponent,3,7.1707903839289446e-05,projectiveViscous,exact expansion of int chi*(G-alpha curl C).(G+nu H),fixed-witness deterministic Fourier diagnostic
A,signedPairingTotal,4,69.786225005300054,total,sum of four signed components,fixed-witness deterministic Fourier diagnostic
B,normalizedCriticalRowSquare,0,0.50613187483755484,resolvedTransport,weighted row L2 square / sum of four row squares,fixed-witness deterministic Fourier diagnostic
B,normalizedCriticalRowSquare,1,0.49316827344187303,incrementCommutator,weighted row L2 square / sum of four row squares,fixed-witness deterministic Fourier diagnostic
B,normalizedCriticalRowSquare,2,8.4351655406206461e-07,projectiveGeometry,weighted row L2 square / sum of four row squares,fixed-witness deterministic Fourier diagnostic
B,normalizedCriticalRowSquare,3,0.0006990082040181923,viscousMismatch,weighted row L2 square / sum of four row squares,fixed-witness deterministic Fourier diagnostic
B,supportDiagnostic,4,0.57165549337705412,commutatorHighOffBandFraction,energy of R_j above radius 1.45*kappa / total energy of R_j,fixed-witness deterministic Fourier diagnostic
C,energy,1,1,energy,r^0,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,YuQuarticDefect,1,1,YuQuarticDefect,r^-2,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,velocityCarleson,1,1,velocityCarleson,r^-1,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,normalizedLamb,1,1,normalizedLamb,r^-1,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,energy,0.5,1,energy,r^0,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,YuQuarticDefect,0.5,4,YuQuarticDefect,r^-2,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,velocityCarleson,0.5,2,velocityCarleson,r^-1,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,normalizedLamb,0.5,2,normalizedLamb,r^-1,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,energy,0.25,1,energy,r^0,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,YuQuarticDefect,0.25,16,YuQuarticDefect,r^-2,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,velocityCarleson,0.25,4,velocityCarleson,r^-1,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,normalizedLamb,0.25,4,normalizedLamb,r^-1,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,energy,0.125,1,energy,r^0,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,YuQuarticDefect,0.125,64,YuQuarticDefect,r^-2,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,velocityCarleson,0.125,8,velocityCarleson,r^-1,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,normalizedLamb,0.125,8,normalizedLamb,r^-1,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,energy,0.0625,1,energy,r^0,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,YuQuarticDefect,0.0625,256,YuQuarticDefect,r^-2,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,velocityCarleson,0.0625,16,velocityCarleson,r^-1,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,normalizedLamb,0.0625,16,normalizedLamb,r^-1,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,energy,0.03125,1,energy,r^0,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,YuQuarticDefect,0.03125,1024,YuQuarticDefect,r^-2,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,velocityCarleson,0.03125,32,velocityCarleson,r^-1,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,normalizedLamb,0.03125,32,normalizedLamb,r^-1,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,energy,0.015625,1,energy,r^0,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,YuQuarticDefect,0.015625,4096,YuQuarticDefect,r^-2,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,velocityCarleson,0.015625,64,velocityCarleson,r^-1,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
C,normalizedLamb,0.015625,64,normalizedLamb,r^-1,exact analytic heat-packet scaling exponent; coefficients normalized at r=1
D,implicationLedger,0,0,Leray energy,paid,exact implication and claim-boundary ledger
D,implicationLedger,1,1,quadratic L2 increments,paid,exact implication and claim-boundary ledger
D,implicationLedger,2,2,known quartic increment defect,extra hypothesis,exact implication and claim-boundary ledger
D,implicationLedger,3,3,four-row tangent ledger,conditional,exact implication and claim-boundary ledger
D,implicationLedger,4,4,signed scalar fusion,open R0.71N,exact implication and claim-boundary ledger
