panel,series,case,component,N,x,y,value,unit,formula,evidenceClass,note
A,positiveAtomComparison,odd crossing m=1,segmentedSoftEntry,,0,0,1,normalized positive atom mass,A_plus,exact finite-order segmented/soft theorem,trace amplitudes normalized to one
A,positiveAtomComparison,odd crossing m=1,ordinaryHardPositiveAtom,,0,0,1,normalized positive atom mass,"max(A_plus-A_minus,0)",exact finite-order segmented/soft theorem,trace amplitudes normalized to one
A,positiveAtomComparison,odd crossing m=1,missingTouchMass,,0,0,0,normalized positive atom mass,"min(A_plus,A_minus)",exact finite-order segmented/soft theorem,trace amplitudes normalized to one
A,positiveAtomComparison,even touch m=2,segmentedSoftEntry,,1,0,1,normalized positive atom mass,A_plus,exact finite-order segmented/soft theorem,trace amplitudes normalized to one
A,positiveAtomComparison,even touch m=2,ordinaryHardPositiveAtom,,1,0,0,normalized positive atom mass,"max(A_plus-A_minus,0)",exact finite-order segmented/soft theorem,trace amplitudes normalized to one
A,positiveAtomComparison,even touch m=2,missingTouchMass,,1,0,1,normalized positive atom mass,"min(A_plus,A_minus)",exact finite-order segmented/soft theorem,trace amplitudes normalized to one
B,cellLedger,cell Q1,entryAtom,,1,0,0.90000000000000002,normalized batch mass,"(<F,c>^+)^2/(Y*||c||^2)",exact Cauchy and bounded-overlap batching theorem,"support=[0, 1]; overlap constant M_chi=2"
B,cellLedger,cell Q1,localSupportBudget,,1,0,1,normalized batch mass,||1_supp(chi_Q)F||^2/Y,exact Cauchy and bounded-overlap batching theorem,"support=[0, 1]; overlap constant M_chi=2"
B,cellLedger,cell Q2,entryAtom,,2,0,0,normalized batch mass,"(<F,c>^+)^2/(Y*||c||^2)",exact Cauchy and bounded-overlap batching theorem,"support=[1, 2]; overlap constant M_chi=2"
B,cellLedger,cell Q2,localSupportBudget,,2,0,2.6000000000000001,normalized batch mass,||1_supp(chi_Q)F||^2/Y,exact Cauchy and bounded-overlap batching theorem,"support=[1, 2]; overlap constant M_chi=2"
B,cellLedger,cell Q3,entryAtom,,3,0,4.9000000000000004,normalized batch mass,"(<F,c>^+)^2/(Y*||c||^2)",exact Cauchy and bounded-overlap batching theorem,"support=[2, 3]; overlap constant M_chi=2"
B,cellLedger,cell Q3,localSupportBudget,,3,0,5,normalized batch mass,||1_supp(chi_Q)F||^2/Y,exact Cauchy and bounded-overlap batching theorem,"support=[2, 3]; overlap constant M_chi=2"
B,batchSummary,simultaneous three-cell batch,entrySum,,0,0,5.7999999999999998,normalized batch mass,sum_Q A_plus,exact Cauchy and bounded-overlap batching theorem,exact rational finite-overlap audit
B,batchSummary,simultaneous three-cell batch,localEnergySum,,1,0,8.5999999999999996,normalized batch mass,sum_Q ||1_supp F||^2/Y,exact Cauchy and bounded-overlap batching theorem,exact rational finite-overlap audit
B,batchSummary,simultaneous three-cell batch,overlapGlobalBudget,,2,0,12,normalized batch mass,M_chi*||F||^2/Y,exact Cauchy and bounded-overlap batching theorem,exact rational finite-overlap audit
C,hardEntryMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,1,1,1,1,positive entry mass,N,exact abstract Hilbert-path separation; not NSE,"distinct entry-time count; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,softEntryMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,1,1,0.5,0.5,positive entry mass,N/(1+N^(-2)),exact abstract Hilbert-path separation; not NSE,"epsilon_N=N^(-4); plotted data, not a separate claim; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,ordinaryTimeBudget,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,1,1,6.2831853071795862,6.2831853071795862,time integral,2*pi,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) 1 dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,CtSquareMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,1,1,3.1415926535897931,3.1415926535897931,time integral,pi,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) ||C_(N,t)||^2 dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,denominatorMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,1,1,3.1415926535897931,3.1415926535897931,time integral,pi/N^2,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) d_N dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,hardEntryMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,2,2,2,2,positive entry mass,N,exact abstract Hilbert-path separation; not NSE,"distinct entry-time count; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,softEntryMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,2,2,1.6000000000000001,1.6000000000000001,positive entry mass,N/(1+N^(-2)),exact abstract Hilbert-path separation; not NSE,"epsilon_N=N^(-4); plotted data, not a separate claim; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,ordinaryTimeBudget,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,2,2,6.2831853071795862,6.2831853071795862,time integral,2*pi,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) 1 dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,CtSquareMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,2,2,3.1415926535897931,3.1415926535897931,time integral,pi,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) ||C_(N,t)||^2 dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,denominatorMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,2,2,0.78539816339744828,0.78539816339744828,time integral,pi/N^2,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) d_N dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,hardEntryMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,4,4,4,4,positive entry mass,N,exact abstract Hilbert-path separation; not NSE,"distinct entry-time count; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,softEntryMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,4,4,3.7647058823529411,3.7647058823529411,positive entry mass,N/(1+N^(-2)),exact abstract Hilbert-path separation; not NSE,"epsilon_N=N^(-4); plotted data, not a separate claim; left endpoint included, right endpoint excluded; exactly N positive atoms"
