panel,series,case,N,Kcut,x,y,value,unit,formula,evidenceClass,note
A,primary precompensation ratio,pseudo-spectral,10,2,0.005,1.0000062189416266,1.0000062189416266,dimensionless,||z_tau||/(tau*||P_*F(u_*)||_2),finite Fourier--Galerkin shooting,ratio tends to one as tau decreases
A,primary precompensation ratio,pseudo-spectral,10,2,0.01,1.0000247530488946,1.0000247530488946,dimensionless,||z_tau||/(tau*||P_*F(u_*)||_2),finite Fourier--Galerkin shooting,ratio tends to one as tau decreases
A,primary precompensation ratio,pseudo-spectral,10,2,0.02,1.0000980482433643,1.0000980482433643,dimensionless,||z_tau||/(tau*||P_*F(u_*)||_2),finite Fourier--Galerkin shooting,ratio tends to one as tau decreases
A,primary precompensation ratio,pseudo-spectral,10,2,0.04,1.0003847552038407,1.0003847552038407,dimensionless,||z_tau||/(tau*||P_*F(u_*)||_2),finite Fourier--Galerkin shooting,ratio tends to one as tau decreases
A,primary precompensation ratio,pseudo-spectral,10,2,0.08,1.001483582192833,1.001483582192833,dimensionless,||z_tau||/(tau*||P_*F(u_*)||_2),finite Fourier--Galerkin shooting,ratio tends to one as tau decreases
A,independent refined check,direct convolution,12,3,0.04,1.0003847507972565,1.0003847507972565,dimensionless,||z_tau||/(tau*||P_*F(u_*)||_2),independent finite Fourier--Galerkin shooting,"N=12,Kcut=3 direct-convolution validation point"
B,signed principal coefficient,tau=0.04,10,2,0.0,-1.000384755203841,-1.000384755203841,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.0,2.713188932757876e-15,2.713188932757876e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.0125,-0.9868972709760804,-0.9868972709760804,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.0125,2.7028129629787827e-15,2.7028129629787827e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.025,-0.9734355642985809,-0.9734355642985809,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.025,2.7007166414993327e-15,2.7007166414993327e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.0375,-0.9599995999387669,-0.9599995999387669,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.0375,2.6986105233616584e-15,2.6986105233616584e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.05,-0.9465893426965611,-0.9465893426965611,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.05,2.6964849705693918e-15,2.6964849705693918e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.0625,-0.9332047574043939,-0.9332047574043939,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.0625,2.7026461852579983e-15,2.7026461852579983e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.075,-0.919845808927216,-0.919845808927216,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.075,2.691911203117549e-15,2.691911203117549e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
