panel,series,case,x,y,time,p1,cutoff,value,unit,formula,evidenceClass,note
A,real target,mcut=24,0,0,0,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0,0,0,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,5.0000000000000002e-05,-6.637805216574281e-10,5.0000000000000002e-05,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,5.0000000000000002e-05,-1.3962530092388959e-10,5.0000000000000002e-05,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.0001,-1.3167063711886327e-09,0.0001,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.0001,-2.7629098572105895e-10,0.0001,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00015000000000000001,-1.9588544199003255e-09,0.00015000000000000001,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00015000000000000001,-4.1003269106856486e-10,0.00015000000000000001,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00020000000000000001,-2.590301235353455e-09,0.00020000000000000001,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00020000000000000001,-5.4088572811000261e-10,0.00020000000000000001,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00025000000000000001,-3.2111230821817931e-09,0.00025000000000000001,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00025000000000000001,-6.6888508501980599e-10,0.00025000000000000001,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00030000000000000003,-3.8213959229078874e-09,0.00030000000000000003,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00030000000000000003,-7.9406542954900783e-10,0.00030000000000000003,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00035,-4.4211954187717338e-09,0.00035,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00035,-9.1646111155251807e-10,0.00035,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00040000000000000002,-5.0105969305414727e-09,0.00040000000000000002,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00040000000000000002,-1.0361061654981605e-09,0.00040000000000000002,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00045000000000000004,-5.5896755193288021e-09,0.00045000000000000004,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00045000000000000004,-1.1530343129574685e-09,0.00045000000000000004,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00050000000000000001,-6.1585059474024904e-09,0.00050000000000000001,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00050000000000000001,-1.2672789650784995e-09,0.00050000000000000001,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00055000000000000003,-6.7171626789999278e-09,0.00055000000000000003,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00055000000000000003,-1.3788732250407459e-09,0.00055000000000000003,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00060000000000000006,-7.2657198811347569e-09,0.00060000000000000006,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00060000000000000006,-1.4878498904920828e-09,0.00060000000000000006,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00065000000000000008,-7.8042514244049274e-09,0.00065000000000000008,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00065000000000000008,-1.5942414559682085e-09,0.00065000000000000008,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00069999999999999999,-8.3328308837995651e-09,0.00069999999999999999,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00069999999999999999,-1.6980801152944798e-09,0.00069999999999999999,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00075000000000000002,-8.8515315395009497e-09,0.00075000000000000002,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00075000000000000002,-1.7993977639702545e-09,0.00075000000000000002,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00080000000000000004,-9.3604263776834754e-09,0.00080000000000000004,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00080000000000000004,-1.8982260015358977e-09,0.00080000000000000004,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00085000000000000006,-9.8595880913189526e-09,0.00085000000000000006,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00085000000000000006,-1.9945961339227515e-09,0.00085000000000000006,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00090000000000000008,-1.0349089080971374e-08,0.00090000000000000008,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00090000000000000008,-2.0885391757858539e-09,0.00090000000000000008,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.00095,-1.0829001455591941e-08,0.00095,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
A,imaginary target,mcut=24,0.00095,-2.1800858528197607e-09,0.00095,,,,Fourier coefficient,Im a_0(t),finite Galerkin,primary vectorized lattice trace
A,real target,mcut=24,0.001,-1.1299397033314555e-08,0.001,,,,Fourier coefficient,Re a_0(t),finite Galerkin,primary vectorized lattice trace
