panel,series,q,x,y,unit,formula,evidenceClass,source,note
A,atom over complete-ledger proxy,256,256,1.712316551760273e-06,dimensionless,leadingAtomProxy/completeLedgerProxy,primary high-precision certificate,research/certificates/r071w/result.json,leading asymptotic certificate proxy; not the nonlinear truncation
A,atom over complete-ledger proxy,1024,1024,2.7350443427020153e-05,dimensionless,leadingAtomProxy/completeLedgerProxy,primary high-precision certificate,research/certificates/r071w/result.json,leading asymptotic certificate proxy; not the nonlinear truncation
A,atom over complete-ledger proxy,4096,4096,0.00043578797364595795,dimensionless,leadingAtomProxy/completeLedgerProxy,primary high-precision certificate,research/certificates/r071w/result.json,leading asymptotic certificate proxy; not the nonlinear truncation
A,atom over complete-ledger proxy,16384,16384,0.0068629960753399935,dimensionless,leadingAtomProxy/completeLedgerProxy,primary high-precision certificate,research/certificates/r071w/result.json,leading asymptotic certificate proxy; not the nonlinear truncation
A,atom over complete-ledger proxy,65536,65536,0.10332729161517877,dimensionless,leadingAtomProxy/completeLedgerProxy,primary high-precision certificate,research/certificates/r071w/result.json,leading asymptotic certificate proxy; not the nonlinear truncation
A,atom over complete-ledger proxy,262144,262144,1.3375333217111978,dimensionless,leadingAtomProxy/completeLedgerProxy,primary high-precision certificate,research/certificates/r071w/result.json,leading asymptotic certificate proxy; not the nonlinear truncation
A,atom over complete-ledger proxy,1048576,1048576,12.132953764495598,dimensionless,leadingAtomProxy/completeLedgerProxy,primary high-precision certificate,research/certificates/r071w/result.json,leading asymptotic certificate proxy; not the nonlinear truncation
A,atom over complete-ledger proxy,4194304,4194304,71.051275579336306,dimensionless,leadingAtomProxy/completeLedgerProxy,primary high-precision certificate,research/certificates/r071w/result.json,leading asymptotic certificate proxy; not the nonlinear truncation
A,atom over complete-ledger proxy,16777216,16777216,321.5003018871127,dimensionless,leadingAtomProxy/completeLedgerProxy,primary high-precision certificate,research/certificates/r071w/result.json,leading asymptotic certificate proxy; not the nonlinear truncation
A,atom over complete-ledger proxy,67108864,67108864,1329.6215574270159,dimensionless,leadingAtomProxy/completeLedgerProxy,primary high-precision certificate,research/certificates/r071w/result.json,leading asymptotic certificate proxy; not the nonlinear truncation
A,atom over complete-ledger proxy,268435456,268435456,5363.97186597786,dimensionless,leadingAtomProxy/completeLedgerProxy,primary high-precision certificate,research/certificates/r071w/result.json,leading asymptotic certificate proxy; not the nonlinear truncation
A,atom over complete-ledger proxy,1073741824,1073741824,21501.860404449606,dimensionless,leadingAtomProxy/completeLedgerProxy,primary high-precision certificate,research/certificates/r071w/result.json,leading asymptotic certificate proxy; not the nonlinear truncation
A,atom over complete-ledger proxy,4294967296,4294967296,86053.537755563782,dimensionless,leadingAtomProxy/completeLedgerProxy,primary high-precision certificate,research/certificates/r071w/result.json,leading asymptotic certificate proxy; not the nonlinear truncation
B,nonlinear truncated atom proxy,256,256,0.010215791119278304,dimensionless proxy,2 |a_t(t_2)|^2 / Y(t_2),finite nonlinear retained-coset corroboration,research/certificates/r071w/truncated-coset-result.json,second prescribed root; R=40
B,full retained H^-1 rotational charge,256,256,9.7919228573590386e-07,dimensionless proxy,"integral ||L||_{H^-1,retained}^2/Y dt plus time-tail upper bound",finite nonlinear retained-coset corroboration,research/certificates/r071w/truncated-coset-result.json,all retained convolution modes; R=40; not target-only
C,normalized second-root slope,256,256,0.16375686313079932,dimensionless,|a_t(t_2)|/A_q^2,finite nonlinear retained-coset corroboration,research/certificates/r071w/truncated-coset-result.json,second prescribed root; R=40
B,nonlinear truncated atom proxy,512,512,0.020636440137864445,dimensionless proxy,2 |a_t(t_2)|^2 / Y(t_2),finite nonlinear retained-coset corroboration,research/certificates/r071w/truncated-coset-result.json,second prescribed root; R=40
B,full retained H^-1 rotational charge,512,512,4.876242633464544e-07,dimensionless proxy,"integral ||L||_{H^-1,retained}^2/Y dt plus time-tail upper bound",finite nonlinear retained-coset corroboration,research/certificates/r071w/truncated-coset-result.json,all retained convolution modes; R=40; not target-only
C,normalized second-root slope,512,512,0.16306867168407968,dimensionless,|a_t(t_2)|/A_q^2,finite nonlinear retained-coset corroboration,research/certificates/r071w/truncated-coset-result.json,second prescribed root; R=40
B,nonlinear truncated atom proxy,1024,1024,0.041450120483532742,dimensionless proxy,2 |a_t(t_2)|^2 / Y(t_2),finite nonlinear retained-coset corroboration,research/certificates/r071w/truncated-coset-result.json,second prescribed root; R=40
B,full retained H^-1 rotational charge,1024,1024,2.4332209155182079e-07,dimensionless proxy,"integral ||L||_{H^-1,retained}^2/Y dt plus time-tail upper bound",finite nonlinear retained-coset corroboration,research/certificates/r071w/truncated-coset-result.json,all retained convolution modes; R=40; not target-only
C,normalized second-root slope,1024,1024,0.16267468400402579,dimensionless,|a_t(t_2)|/A_q^2,finite nonlinear retained-coset corroboration,research/certificates/r071w/truncated-coset-result.json,second prescribed root; R=40
B,nonlinear truncated atom proxy,2048,2048,0.083049855075186321,dimensionless proxy,2 |a_t(t_2)|^2 / Y(t_2),finite nonlinear retained-coset corroboration,research/certificates/r071w/truncated-coset-result.json,second prescribed root; R=40
B,full retained H^-1 rotational charge,2048,2048,1.2155334365945293e-07,dimensionless proxy,"integral ||L||_{H^-1,retained}^2/Y dt plus time-tail upper bound",finite nonlinear retained-coset corroboration,research/certificates/r071w/truncated-coset-result.json,all retained convolution modes; R=40; not target-only
C,normalized second-root slope,2048,2048,0.16247636990085582,dimensionless,|a_t(t_2)|/A_q^2,finite nonlinear retained-coset corroboration,research/certificates/r071w/truncated-coset-result.json,second prescribed root; R=40
