panel,series,N,M,h,deltaObs,x,y,rawValue,referenceValue,unit,formula,evidenceClass,source,note
A,exact minimum-lattice factor NM/Ks,1,3,0.0,0.0,1.0,0.21428571428571427,0.21428571428571427,0.75,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),1,3,0.0,0.0,1.0,0.75,0.75,0.21428571428571427,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,2,5,0.0,0.0,2.0,0.18181818181818182,0.18181818181818182,0.375,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),2,5,0.0,0.0,2.0,0.375,0.375,0.18181818181818182,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,4,9,0.0,0.0,4.0,0.12631578947368421,0.12631578947368421,0.1875,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),4,9,0.0,0.0,4.0,0.1875,0.1875,0.12631578947368421,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,8,17,0.0,0.0,8.0,0.0761904761904762,0.0761904761904762,0.09375,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),8,17,0.0,0.0,8.0,0.09375,0.09375,0.0761904761904762,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,16,33,0.0,0.0,16.0,0.04214223002633889,0.04214223002633889,0.046875,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),16,33,0.0,0.0,16.0,0.046875,0.046875,0.04214223002633889,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,32,65,0.0,0.0,32.0,0.02220680083275503,0.02220680083275503,0.0234375,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),32,65,0.0,0.0,32.0,0.0234375,0.0234375,0.02220680083275503,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,64,129,0.0,0.0,64.0,0.011404811404811404,0.011404811404811404,0.01171875,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),64,129,0.0,0.0,64.0,0.01171875,0.01171875,0.011404811404811404,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,128,257,0.0,0.0,128.0,0.005780085798148566,0.005780085798148566,0.005859375,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),128,257,0.0,0.0,128.0,0.005859375,0.005859375,0.005780085798148566,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,256,513,0.0,0.0,256.0,0.0029097632407488094,0.0029097632407488094,0.0029296875,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),256,513,0.0,0.0,256.0,0.0029296875,0.0029296875,0.0029097632407488094,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,512,1025,0.0,0.0,512.0,0.0014598498521616898,0.0014598498521616898,0.00146484375,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
