panel,series,M,N,eta,etaPower,R,x,y,rawValue,referenceValue,unit,formula,evidenceClass,source,note
A,exact minimum-lattice factor M/Ks,3,1,0.0,0.0,0.0,3.0,0.21428571428571427,0.21428571428571427,0.3333333333333333,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,3,1,0.0,0.0,0.0,3.0,0.3333333333333333,0.3333333333333333,0.21428571428571427,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,5,2,0.0,0.0,0.0,5.0,0.09090909090909091,0.09090909090909091,0.12,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,5,2,0.0,0.0,0.0,5.0,0.12,0.12,0.09090909090909091,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,9,4,0.0,0.0,0.0,9.0,0.031578947368421054,0.031578947368421054,0.037037037037037035,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,9,4,0.0,0.0,0.0,9.0,0.037037037037037035,0.037037037037037035,0.031578947368421054,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,17,8,0.0,0.0,0.0,17.0,0.009523809523809525,0.009523809523809525,0.010380622837370242,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,17,8,0.0,0.0,0.0,17.0,0.010380622837370242,0.010380622837370242,0.009523809523809525,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,33,16,0.0,0.0,0.0,33.0,0.0026338893766461808,0.0026338893766461808,0.0027548209366391185,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,33,16,0.0,0.0,0.0,33.0,0.0027548209366391185,0.0027548209366391185,0.0026338893766461808,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
