panel,series,x,y,xUnit,yUnit,evidence,source
A,certified boundary,0.0,0.8571428571428571,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.0,0.8571428571428571,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.0,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.025,0.8678571428571429,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.025,0.8678571428571429,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.025,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.05,0.8785714285714287,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.05,0.8785714285714287,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.05,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.07500000000000001,0.8892857142857142,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.07500000000000001,0.8892857142857142,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.07500000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.1,0.9,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.1,0.9,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.1,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.125,0.9107142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.125,0.9107142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.125,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.15000000000000002,0.9214285714285715,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.15000000000000002,0.9214285714285715,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.15000000000000002,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.17500000000000002,0.9321428571428572,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.17500000000000002,0.9321428571428572,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.17500000000000002,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.2,0.9428571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.2,0.9428571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.2,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.225,0.9535714285714285,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.225,0.9535714285714285,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.225,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.25,0.9642857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.25,0.9642857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.25,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.275,0.975,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.275,0.975,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.275,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.30000000000000004,0.9857142857142858,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.30000000000000004,0.9857142857142858,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.30000000000000004,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.325,0.9964285714285713,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.325,0.9964285714285713,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.325,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.35000000000000003,1.0071428571428571,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.35000000000000003,1.0071428571428571,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.35000000000000003,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.375,1.0178571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.375,1.0178571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.375,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.4,1.0285714285714287,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.4,1.0285714285714287,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.4,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.42500000000000004,1.0392857142857144,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.42500000000000004,1.0392857142857144,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.42500000000000004,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
