panel,series,x,y,xUnit,yUnit,evidence,source,note
A,old M^-2,0.0,0.8571428571428571,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.0,1.2857142857142858,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.0,1.4285714285714286,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.025,0.8678571428571429,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.025,1.2964285714285713,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.025,1.4392857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.05,0.8785714285714287,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.05,1.3071428571428572,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.05,1.45,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.07500000000000001,0.8892857142857142,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.07500000000000001,1.3178571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.07500000000000001,1.4607142857142856,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.1,0.9,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.1,1.3285714285714287,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.1,1.4714285714285715,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.125,0.9107142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.125,1.3392857142857142,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.125,1.4821428571428572,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.15000000000000002,0.9214285714285715,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.15000000000000002,1.3499999999999999,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.15000000000000002,1.4928571428571427,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.17500000000000002,0.9321428571428572,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.17500000000000002,1.3607142857142858,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.17500000000000002,1.5035714285714286,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.2,0.9428571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.2,1.3714285714285714,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.2,1.5142857142857142,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.225,0.9535714285714285,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.225,1.3821428571428573,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.225,1.5250000000000001,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.25,0.9642857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.25,1.3928571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.25,1.5357142857142858,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.275,0.975,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.275,1.4035714285714285,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.275,1.5464285714285713,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.30000000000000004,0.9857142857142858,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.30000000000000004,1.4142857142857144,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.30000000000000004,1.5571428571428572,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.325,0.9964285714285713,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.325,1.425,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.325,1.5678571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.35000000000000003,1.0071428571428571,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.35000000000000003,1.4357142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.35000000000000003,1.5785714285714287,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.375,1.0178571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.375,1.4464285714285714,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.375,1.5892857142857142,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.4,1.0285714285714287,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.4,1.457142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.4,1.5999999999999999,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.42500000000000004,1.0392857142857144,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.42500000000000004,1.467857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.42500000000000004,1.6107142857142858,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.45,1.05,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.45,1.4785714285714284,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.45,1.6214285714285714,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.47500000000000003,1.0607142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.47500000000000003,1.4892857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.47500000000000003,1.6321428571428573,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.5,1.0714285714285714,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,target participation M^-3,0.5,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,coherent M^-10/3,0.5,1.6428571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
A,old M^-2,0.525,1.082142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72B power-law corollary,strict inequality below the displayed boundary
