panel,series,x,y,xUnit,yUnit,evidence,formula,source,note
A,coherent exact launch,2,0.1473612599456155,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,2^(-1/3) M^(2/3) S_M^(-4/3),R0.72C theorem and deterministic certificates,n=1; S_M=5; R0.72B coherent equal-modulus identity
A,Rudin-Shapiro exact launch,2,0.1473612599456155,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,(1/2)(M/S_M)^(4/3),R0.72C theorem and deterministic certificates,n=1; S_M=5; R0.72C odd-generation endpoint identity
A,coherent asymptotic reference,2,0.3407101111560261,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,(81/2)^(1/3) M^(-10/3),R0.72C theorem and deterministic certificates,n=1; S_M=5; reference slope only
A,Rudin-Shapiro asymptotic reference,2,0.3407101111560261,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,3^(4/3) M^(-8/3)/2,R0.72C theorem and deterministic certificates,n=1; S_M=5; reference slope only
A,coherent exact launch,8,0.0026436853813109743,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,2^(-1/3) M^(2/3) S_M^(-4/3),R0.72C theorem and deterministic certificates,n=3; S_M=204; R0.72B coherent equal-modulus identity
A,Rudin-Shapiro exact launch,8,0.006661669722426101,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,(1/2)(M/S_M)^(4/3),R0.72C theorem and deterministic certificates,n=3; S_M=204; R0.72C odd-generation endpoint identity
A,coherent asymptotic reference,8,0.003353655007480463,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,(81/2)^(1/3) M^(-10/3),R0.72C theorem and deterministic certificates,n=3; S_M=204; reference slope only
A,Rudin-Shapiro asymptotic reference,8,0.008450681076019971,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,3^(4/3) M^(-8/3)/2,R0.72C theorem and deterministic certificates,n=3; S_M=204; reference slope only
A,coherent exact launch,32,3.1035252828695226e-05,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,2^(-1/3) M^(2/3) S_M^(-4/3),R0.72C theorem and deterministic certificates,n=5; S_M=11440; R0.72B coherent equal-modulus identity
A,Rudin-Shapiro exact launch,32,0.00019706157195347937,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,(1/2)(M/S_M)^(4/3),R0.72C theorem and deterministic certificates,n=5; S_M=11440; R0.72C odd-generation endpoint identity
A,coherent asymptotic reference,32,3.301047295320299e-05,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,(81/2)^(1/3) M^(-10/3),R0.72C theorem and deterministic certificates,n=5; S_M=11440; reference slope only
A,Rudin-Shapiro asymptotic reference,32,0.0002096034379675291,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,3^(4/3) M^(-8/3)/2,R0.72C theorem and deterministic certificates,n=5; S_M=11440; reference slope only
A,coherent exact launch,128,3.1990515911777e-07,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,2^(-1/3) M^(2/3) S_M^(-4/3),R0.72C theorem and deterministic certificates,n=7; S_M=707264; R0.72B coherent equal-modulus identity
A,Rudin-Shapiro exact launch,128,5.118482545884318e-06,"carrier count M=2^n, odd n",Phi at Kz=1,exact formula,(1/2)(M/S_M)^(4/3),R0.72C theorem and deterministic certificates,n=7; S_M=707264; R0.72C odd-generation endpoint identity
A,coherent asymptotic reference,128,3.2492648234942045e-07,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,(81/2)^(1/3) M^(-10/3),R0.72C theorem and deterministic certificates,n=7; S_M=707264; reference slope only
A,Rudin-Shapiro asymptotic reference,128,5.198823717590735e-06,"carrier count M=2^n, odd n",Phi at Kz=1,analytic power reference,3^(4/3) M^(-8/3)/2,R0.72C theorem and deterministic certificates,n=7; S_M=707264; reference slope only
