panel,series,x,y,rawValue,normalization,evidence,source,sourcePointer,note
A,producer frozen Bessel mass,8,0.9345832823689635,1.9434113015175187,G_R^frozen/log(R),direct Bessel zeros and slopes,research/certificates/r072e/result.json,bessel.prefixRows[0],frozen slope mass; finite R
A,producer frozen Bessel mass,16,0.8906587532365264,2.4694304145877375,G_R^frozen/log(R),direct Bessel zeros and slopes,research/certificates/r072e/result.json,bessel.prefixRows[1],frozen slope mass; finite R
A,producer frozen Bessel mass,32,0.8693196266276321,3.0128322410118376,G_R^frozen/log(R),direct Bessel zeros and slopes,research/certificates/r072e/result.json,bessel.prefixRows[2],frozen slope mass; finite R
A,producer frozen Bessel mass,64,0.8572777371536614,3.5653178787892212,G_R^frozen/log(R),direct Bessel zeros and slopes,research/certificates/r072e/result.json,bessel.prefixRows[3],frozen slope mass; finite R
A,independent dissipative-root mass,8,0.9304586928729299,1.9348344587770903,G_R^exact/log(R),independent fixed-step RK4 root scan,research/certificates/r072e/independent-result.json,rootFiniteLattice[0],relative frozen-mass defect=-4.413293e-03
A,independent dissipative-root mass,16,0.8902714191951289,2.468356496592819,G_R^exact/log(R),independent fixed-step RK4 root scan,research/certificates/r072e/independent-result.json,rootFiniteLattice[1],relative frozen-mass defect=-4.348849e-04
A,independent dissipative-root mass,32,0.8692808743055189,3.012697935697773,G_R^exact/log(R),independent fixed-step RK4 root scan,research/certificates/r072e/independent-result.json,rootFiniteLattice[2],relative frozen-mass defect=-4.457776e-05
A,independent dissipative-root mass,64,0.8572736995016847,3.565301086666719,G_R^exact/log(R),independent fixed-step RK4 root scan,research/certificates/r072e/independent-result.json,rootFiniteLattice[3],relative frozen-mass defect=-4.709853e-06
A,analytic 8/pi^2 reference,8,0.8105694691387022,0.8105694691387022,8/pi^2,analytic Bessel asymptotic coefficient,R0.72E analytic ledger,equation (2.10),reference level; not a regression fit
A,analytic 8/pi^2 reference,64,0.8105694691387022,0.8105694691387022,8/pi^2,analytic Bessel asymptotic coefficient,R0.72E analytic ledger,equation (2.10),reference level; not a regression fit
B,producer split-step action,16.0,7.672840281655538,1.3296019020290781,Q_X/[(log(delta))/delta],fine split-step Fourier action,research/certificates/r072e/result.json,negativeSobolevAction.rows[0],X=6; fine/coarse=2.553e-05
B,producer split-step action,32.0,7.954710681853011,0.8615289502025772,Q_X/[(log(delta))/delta],fine split-step Fourier action,research/certificates/r072e/result.json,negativeSobolevAction.rows[1],X=6; fine/coarse=1.694e-05
B,producer split-step action,64.0,8.092127998745248,0.5258470975369182,Q_X/[(log(delta))/delta],fine split-step Fourier action,research/certificates/r072e/result.json,negativeSobolevAction.rows[2],X=6; fine/coarse=1.492e-05
B,producer split-step action,128.0,8.12522369449192,0.307998681771809,Q_X/[(log(delta))/delta],fine split-step Fourier action,research/certificates/r072e/result.json,negativeSobolevAction.rows[3],X=6; fine/coarse=8.790e-06
B,producer split-step action,256.0,8.09229640322647,0.1752860136297442,Q_X/[(log(delta))/delta],fine split-step Fourier action,research/certificates/r072e/result.json,negativeSobolevAction.rows[4],X=6; fine/coarse=4.625e-06
B,producer split-step action,512.0,8.021650175277712,0.09773761293337388,Q_X/[(log(delta))/delta],fine split-step Fourier action,research/certificates/r072e/result.json,negativeSobolevAction.rows[5],X=6; fine/coarse=2.324e-06
B,independent BDF action,16.0,7.65330986838601,1.3262175393058422,Q_X/[(log(delta))/delta],independent BDF and composite Simpson action,research/certificates/r072e/independent-result.json,actionFiniteLattice[0],X=1; quadrature=4.296e-08
B,independent BDF action,32.0,7.951694844720164,0.8612023222329428,Q_X/[(log(delta))/delta],independent BDF and composite Simpson action,research/certificates/r072e/independent-result.json,actionFiniteLattice[1],X=1; quadrature=6.521e-07
B,independent BDF action,64.0,8.091979772842654,0.5258374654400617,Q_X/[(log(delta))/delta],independent BDF and composite Simpson action,research/certificates/r072e/independent-result.json,actionFiniteLattice[2],X=1; quadrature=2.213e-07
B,independent BDF action,128.0,8.125230491984095,0.30799893944085394,Q_X/[(log(delta))/delta],independent BDF and composite Simpson action,research/certificates/r072e/independent-result.json,actionFiniteLattice[3],X=1; quadrature=1.568e-05
C,producer selected-ledger proxy,8,1.0,0.1817242423644335,(S^2 G_R^frozen/D^(1/3)) / value_at_R=8,producer raw-amplitude and frozen-mass ledger,research/certificates/r072e/result.json,physicalLedger.rows[0].rootLedgerScaling,bounded Lambda1 and fixed multiplier constant omitted
C,producer selected-ledger proxy,16,2.4015463286279295,0.43641918707299726,(S^2 G_R^frozen/D^(1/3)) / value_at_R=8,producer raw-amplitude and frozen-mass ledger,research/certificates/r072e/result.json,physicalLedger.rows[1].rootLedgerScaling,bounded Lambda1 and fixed multiplier constant omitted
C,producer selected-ledger proxy,32,5.90654581651781,1.0733625634975132,(S^2 G_R^frozen/D^(1/3)) / value_at_R=8,producer raw-amplitude and frozen-mass ledger,research/certificates/r072e/result.json,physicalLedger.rows[2].rootLedgerScaling,bounded Lambda1 and fixed multiplier constant omitted
C,producer selected-ledger proxy,64,14.677396349211234,2.6672387314429136,(S^2 G_R^frozen/D^(1/3)) / value_at_R=8,producer raw-amplitude and frozen-mass ledger,research/certificates/r072e/result.json,physicalLedger.rows[3].rootLedgerScaling,bounded Lambda1 and fixed multiplier constant omitted
C,independent selected-ledger lower bound,8,1.0,0.005668198862789031,(selected exact-root ledger/D^(1/3)) / value_at_R=8,independent evolved roots and exact full Y at each root,research/certificates/r072e/independent-result.json,physicalLedger.rootLedgers[0],complete nonnegative ledger is at least the selected ledger
