panel,series,x,y,rawValue,evidence,source,sourcePointer,note
A,producer complete,8.317766166719343,3.629980008451856,3.629980008451856,finite binary64,research/certificates/r072g/result.json,rows[0].completeSlopeMass,R=8; delta=4096.0
A,producer selected,8.317766166719343,1.9348345245390293,1.9348345245390293,finite binary64,research/certificates/r072g/result.json,rows[0].selectedSlopeMass,first R=8 resolved roots
B,producer resolved roots,64.0,443.0,443,finite binary64,research/certificates/r072g/result.json,rows[0].rootCount,window 0<tau<12 sqrt(delta)
A,producer complete,9.939626599152001,4.337458486208235,4.337458486208235,finite binary64,research/certificates/r072g/result.json,rows[1].completeSlopeMass,R=12; delta=20736.0
A,producer selected,9.939626599152001,2.2457954978625554,2.2457954978625554,finite binary64,research/certificates/r072g/result.json,rows[1].selectedSlopeMass,first R=12 resolved roots
B,producer resolved roots,144.0,1052.0,1052,finite binary64,research/certificates/r072g/result.json,rows[1].rootCount,window 0<tau<12 sqrt(delta)
A,producer complete,11.090354888959125,4.821856582606176,4.821856582606176,finite binary64,research/certificates/r072g/result.json,rows[2].completeSlopeMass,R=16; delta=65536.0
A,producer selected,11.090354888959125,2.4683565749729484,2.4683565749729484,finite binary64,research/certificates/r072g/result.json,rows[2].selectedSlopeMass,first R=16 resolved roots
B,producer resolved roots,256.0,1907.0,1907,finite binary64,research/certificates/r072g/result.json,rows[2].rootCount,window 0<tau<12 sqrt(delta)
A,producer complete,12.712215321391783,5.492196770239012,5.492196770239012,finite binary64,research/certificates/r072g/result.json,rows[3].completeSlopeMass,R=24; delta=331776.0
A,producer selected,12.712215321391783,2.78551539864159,2.78551539864159,finite binary64,research/certificates/r072g/result.json,rows[3].selectedSlopeMass,first R=24 resolved roots
B,producer resolved roots,576.0,4351.0,4351,finite binary64,research/certificates/r072g/result.json,rows[3].rootCount,window 0<tau<12 sqrt(delta)
A,producer complete,13.862943611198906,5.963156293555593,5.963156293555593,finite binary64,research/certificates/r072g/result.json,rows[4].completeSlopeMass,R=32; delta=1048576.0
A,producer selected,13.862943611198906,3.0126979988846054,3.0126979988846054,finite binary64,research/certificates/r072g/result.json,rows[4].selectedSlopeMass,first R=32 resolved roots
B,producer resolved roots,1024.0,7774.0,7774,finite binary64,research/certificates/r072g/result.json,rows[4].rootCount,window 0<tau<12 sqrt(delta)
A,producer complete,15.484804043631565,6.623752710697411,6.623752710697411,finite binary64,research/certificates/r072g/result.json,rows[5].completeSlopeMass,R=48; delta=5308416.0
A,producer selected,15.484804043631565,3.3352215442887974,3.3352215442887974,finite binary64,research/certificates/r072g/result.json,rows[5].selectedSlopeMass,first R=48 resolved roots
B,producer resolved roots,2304.0,17552.0,17552,finite binary64,research/certificates/r072g/result.json,rows[5].rootCount,window 0<tau<12 sqrt(delta)
A,producer complete,16.635532333438686,7.091268660432219,7.091268660432219,finite binary64,research/certificates/r072g/result.json,rows[6].completeSlopeMass,R=64; delta=16777216.0
A,producer selected,16.635532333438686,3.565301077133837,3.565301077133837,finite binary64,research/certificates/r072g/result.json,rows[6].selectedSlopeMass,first R=64 resolved roots
B,producer resolved roots,4096.0,31242.0,31242,finite binary64,research/certificates/r072g/result.json,rows[6].rootCount,window 0<tau<12 sqrt(delta)
A,independent complete,8.317766166719343,3.6299810248064963,3.6299810248064963,independent finite binary64,research/certificates/r072g/independent-result.json,rows[0].completeSlopeMass,R=8; delta=4096.0
A,independent complete,9.939626599152001,4.337459920096513,4.337459920096513,independent finite binary64,research/certificates/r072g/independent-result.json,rows[1].completeSlopeMass,R=12; delta=20736.0
A,independent complete,11.090354888959125,4.821858475535074,4.821858475535074,independent finite binary64,research/certificates/r072g/independent-result.json,rows[2].completeSlopeMass,R=16; delta=65536.0
A,independent complete,12.712215321391783,5.49220012055083,5.49220012055083,independent finite binary64,research/certificates/r072g/independent-result.json,rows[3].completeSlopeMass,R=24; delta=331776.0
A,independent complete,13.862943611198906,5.9631617676217195,5.9631617676217195,independent finite binary64,research/certificates/r072g/independent-result.json,rows[4].completeSlopeMass,R=32; delta=1048576.0
A,four-over-pi-squared diagnostic guide,8.317766166719343,3.683442448076771,3.683442448076771,"finite diagnostic, not theorem",research/certificates/r072g/result.json,logFit.intercept plus 4/pi^2 guide,leading coefficient is not an analytic claim
B,twenty-four-over-pi diagnostic guide,64.0,488.9239851783025,488.9239851783025,"finite diagnostic, not theorem",research/certificates/r072g/result.json,rows[0].delta,root-count guide only
A,four-over-pi-squared diagnostic guide,9.939626599152001,4.340757722943774,4.340757722943774,"finite diagnostic, not theorem",research/certificates/r072g/result.json,logFit.intercept plus 4/pi^2 guide,leading coefficient is not an analytic claim
B,twenty-four-over-pi diagnostic guide,144.0,1100.0789666511805,1100.0789666511805,"finite diagnostic, not theorem",research/certificates/r072g/result.json,rows[1].delta,root-count guide only
A,four-over-pi-squared diagnostic guide,11.090354888959125,4.807130332439698,4.807130332439698,"finite diagnostic, not theorem",research/certificates/r072g/result.json,logFit.intercept plus 4/pi^2 guide,leading coefficient is not an analytic claim
B,twenty-four-over-pi diagnostic guide,256.0,1955.69594071321,1955.69594071321,"finite diagnostic, not theorem",research/certificates/r072g/result.json,rows[2].delta,root-count guide only
A,four-over-pi-squared diagnostic guide,12.712215321391783,5.4644456073067005,5.4644456073067005,"finite diagnostic, not theorem",research/certificates/r072g/result.json,logFit.intercept plus 4/pi^2 guide,leading coefficient is not an analytic claim
B,twenty-four-over-pi diagnostic guide,576.0,4400.315866604722,4400.315866604722,"finite diagnostic, not theorem",research/certificates/r072g/result.json,rows[3].delta,root-count guide only
