panel,route,series,x,y,rawValue,auxiliary,source,pointer
A,exact classification,"{2,6} / gcd 2 -> {1,3}",1.0,1.0,1.0,bipartite,research/r072j_report-source.md,residue-graph-classification
A,exact classification,"{1,4}",2.0,0.0,0.0,non-bipartite; no triangle,research/r072j_report-source.md,residue-graph-classification
A,exact classification,"S_R={R,...,3R-1}",3.0,1.0,1.0,triangle-rich,research/r072j_report-source.md,residue-graph-classification
B,exact,signed triples T_R,4,60.0,60.0,60,research/certificates/r072j/result.json,cases[R=4].signedTriangleFormula
B,exact,aligned |b(0)|,4,42.426406871192846,42.426406871192846,42.426406871192846,research/certificates/r072j/result.json,cases[R=4].uncorrectedB0Formula
B,exact,R^2 reference,4,16.0,16.0,unit coefficient,research/certificates/r072j/result.json,cases[R=4].exact reference
C,producer,true raw cubic,4,0.37373457937969035,0.37373457937969035,78.22725553778517,research/certificates/r072j/result.json,cases[R=4].deltaIntegralAbsHB
D,producer,physical normalized true cubic,4,1.0584513944486404e-05,1.0584513944486404e-05,0.015314804403313153,research/certificates/r072j/result.json,cases[R=4].normalizedTrueCubic
C,independent,true raw cubic,4,0.3737345793791783,0.3737345793791783,78.22737547771628,research/certificates/r072j/independent-result.json,cases[R=4].deltaIntegralAbsHB
D,independent,physical normalized true cubic,4,1.0584513867427568e-05,1.0584513867427568e-05,0.015314815999037805,research/certificates/r072j/independent-result.json,cases[R=4].normalizedTrueCubic
B,exact,signed triples T_R,8,216.0,216.0,216,research/certificates/r072j/result.json,cases[R=8].signedTriangleFormula
B,exact,aligned |b(0)|,8,152.73506473629425,152.73506473629425,152.73506473629425,research/certificates/r072j/result.json,cases[R=8].uncorrectedB0Formula
B,exact,R^2 reference,8,64.0,64.0,unit coefficient,research/certificates/r072j/result.json,cases[R=8].exact reference
C,producer,true raw cubic,8,1.2661381124926008,1.2661381124926008,165.91750401843797,research/certificates/r072j/result.json,cases[R=8].deltaIntegralAbsHB
