panel,route,series,x,y,rawValue,auxiliary,source,pointer
A,analytic,complex trajectory,0.0,0.0,0.0,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 0"
A,analytic,complex trajectory,-0.0003426750244427401,0.02617694830787315,0.004166666666666667,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 1"
A,analytic,complex trajectory,-0.0013704652454261668,0.05233595624294383,0.008333333333333333,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 2"
A,analytic,complex trajectory,-0.003082666266872036,0.07845909572784494,0.0125,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 3"
A,analytic,complex trajectory,-0.00547810463172671,0.10452846326765346,0.016666666666666666,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 4"
A,analytic,complex trajectory,-0.008555138626189618,0.13052619222005157,0.020833333333333332,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 5"
A,analytic,complex trajectory,-0.01231165940486223,0.15643446504023087,0.025,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 6"
A,analytic,complex trajectory,-0.016745092436045383,0.18223552549214747,0.029166666666666667,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 7"
A,analytic,complex trajectory,-0.02185239926619431,0.20791169081775931,0.03333333333333333,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 8"
A,analytic,complex trajectory,-0.027630079602323443,0.2334453638559054,0.0375,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 9"
A,analytic,complex trajectory,-0.03407417371093169,0.25881904510252074,0.041666666666666664,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 10"
A,analytic,complex trajectory,-0.04118026513180695,0.2840153447039226,0.04583333333333333,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 11"
A,analytic,complex trajectory,-0.04894348370484647,0.3090169943749474,0.05,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 12"
A,analytic,complex trajectory,-0.05735850890782157,0.33380685923377096,0.05416666666666667,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 13"
A,analytic,complex trajectory,-0.06641957350279826,0.35836794954530027,0.058333333333333334,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 14"
A,analytic,complex trajectory,-0.07612046748871326,0.3826834323650898,0.0625,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 15"
A,analytic,complex trajectory,-0.08645454235739913,0.40673664307580015,0.06666666666666667,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 16"
A,analytic,complex trajectory,-0.09741471565013937,0.4305110968082951,0.07083333333333333,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 17"
A,analytic,complex trajectory,-0.1089934758116321,0.4539904997395468,0.075,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 18"
A,analytic,complex trajectory,-0.12118288733803462,0.4771587602596084,0.07916666666666666,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 19"
A,analytic,complex trajectory,-0.1339745962155613,0.49999999999999994,0.08333333333333333,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 20"
A,analytic,complex trajectory,-0.1473598356459077,0.5224985647159488,0.0875,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 21"
A,analytic,complex trajectory,-0.16132943205457595,0.544639035015027,0.09166666666666666,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 22"
A,analytic,complex trajectory,-0.1758738113779843,0.5664062369248328,0.09583333333333333,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 23"
A,analytic,complex trajectory,-0.19098300562505255,0.5877852522924731,0.1,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 24"
A,analytic,complex trajectory,-0.20664665970876483,0.6087614290087207,0.10416666666666667,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 25"
A,analytic,complex trajectory,-0.2228540385430292,0.6293203910498375,0.10833333333333334,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 26"
A,analytic,complex trajectory,-0.23959403439996907,0.6494480483301837,0.1125,6.283185307179586,research/r072k_report-source.md,"equation (1.9), sample 27"
