panel,route,series,kind,x,y,source,pointer,note
A,analytic theorem,moment barrier,theorem,16.0,10.079368399158984,research/r072n_report-source.md,"equation (1.7), sample 0",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,16.516468400263175,10.295121055195093,research/r072n_report-source.md,"equation (1.7), sample 1",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,17.04960802605575,10.51549197764862,research/r072n_report-source.md,"equation (1.7), sample 2",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,17.59995701245145,10.740580022242108,research/r072n_report-source.md,"equation (1.7), sample 3",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,18.168070865134034,10.970486160741858,research/r072n_report-source.md,"equation (1.7), sample 4",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,18.75452302110802,11.20531352625267,research/r072n_report-source.md,"equation (1.7), sample 5",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,19.359905427508682,11.445167459482066,research/r072n_report-source.md,"equation (1.7), sample 6",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,19.984829139095666,11.690155555994872,research/r072n_report-source.md,"equation (1.7), sample 7",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,20.62992493503327,11.940387714479288,research/r072n_report-source.md,"equation (1.7), sample 8",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,21.295843955579898,12.195976186046096,research/r072n_report-source.md,"equation (1.7), sample 9",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,21.983258359329433,12.45703562458315,research/r072n_report-source.md,"equation (1.7), sample 10",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,22.692862001667855,12.723683138187718,research/r072n_report-source.md,"equation (1.7), sample 11",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,23.425371135130003,12.996038341699766,research/r072n_report-source.md,"equation (1.7), sample 12",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,24.18152513236324,13.274223410359701,research/r072n_report-source.md,"equation (1.7), sample 13",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,24.962087232427955,13.558363134614721,research/r072n_report-source.md,"equation (1.7), sample 14",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,25.767845311188072,13.848584976098287,research/r072n_report-source.md,"equation (1.7), sample 15",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,26.599612676569215,14.14501912480787,research/r072n_report-source.md,"equation (1.7), sample 16",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,27.458228889487188,14.447798557506594,research/r072n_report-source.md,"equation (1.7), sample 17",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,28.344560611275533,14.757059097375024,research/r072n_report-source.md,"equation (1.7), sample 18",rigorous full-infinite-chain upper barrier
A,analytic theorem,moment barrier,theorem,29.25950247846729,15.072939474939767,research/r072n_report-source.md,"equation (1.7), sample 19",rigorous full-infinite-chain upper barrier
