panel,route,series,kind,x,y,R,p,epsilon,source,pointer,status,note
A,analytic algebra,old one-carrier window,proved scale law,8,12.317766166719341,8.0,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,8,151.7273633379757,8.0,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,8.2106702711233925,12.63886640368518,8.210670271123393,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,8.2106702711233925,159.74094397020193,8.210670271123393,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,8.4268882876386861,12.967428541412573,8.426888287638686,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,8.4268882876386861,168.15420297664141,8.426888287638686,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,8.6488001426741103,13.303615334507622,8.64880014267411,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,8.6488001426741103,176.98618096854639,8.64880014267411,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,8.8765557765427587,13.647592947470791,8.876555776542759,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,8.8765557765427587,186.2567932598545,8.876555776542759,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,9.1103090780535325,13.999531024176736,9.110309078053533,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,9.1103090780535325,195.98686889688696,9.110309078053533,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,9.3502179884899626,14.359602758741234,9.350217988489963,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,9.3502179884899626,206.19819138884884,9.350217988489963,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,9.5964446083272144,14.727984967802506,9.596444608327214,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,9.5964446083272144,216.91354121181655,9.596444608327214,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,9.8491553067593269,15.104858164244689,9.849155306759327,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,9.8491553067593269,228.15674016194944,9.849155306759327,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,10.108520834110752,15.490406632391862,10.108520834110752,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,10.108520834110752,239.95269763684973,10.108520834110752,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,10.374716437208077,15.88481850470138,10.374716437208077,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,10.374716437208077,252.32745892730338,10.374716437208077,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,10.647921977789947,16.288285839986099,10.647921977789947,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,10.647921977789947,265.30825560509169,10.647921977789947,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,10.92832205403516,16.701004703195419,10.92832205403516,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,10.92832205403516,278.92355809615549,10.92832205403516,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,11.216106125291079,17.123175246785795,11.216106125291079,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,11.216106125291079,293.20313053213783,11.216106125291079,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,11.511468640086559,17.555001793711817,11.511468640086559,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,11.511468640086559,308.178087977225,11.511468640086559,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,11.814609167515995,17.996692922069752,11.814609167515995,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,11.814609167515995,323.88095613127552,11.814609167515995,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,12.125732532083186,18.448461551425943,12.125732532083186,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,12.125732532083186,340.34573361444137,12.125732532083186,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,12.445048952096144,18.910525030863031,12.445048952096144,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,12.445048952096144,357.60795694289715,12.445048952096144,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,12.772774181706396,19.383105228777765,12.772774181706396,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,12.772774181706396,375.70476830987189,12.772774181706396,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
A,analytic algebra,old one-carrier window,proved scale law,13.109129656688642,19.866428624464664,13.109129656688642,,,research/r072o_report-source.md,(0.9) inherited R0.72L scale,unconditional one carrier,Unknown absolute theorem constant suppressed.
A,analytic algebra,ED one-carrier window,proved scale law,13.109129656688642,394.67498629094899,13.109129656688642,,,research/r072o_report-source.md,(0.10)-(0.11),unconditional one carrier,Polynomial-ray scale with unknown absolute constant suppressed.
