panel,route,series,kind,x,y,yParameter,lambda,R,p,source,pointer,status,note
A,exact cell reduction,full profile y=0,proved analytic identity,-3.1415926535897931,-0.875,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-3.115412714809878,-0.87482863313123549,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-3.0892327760299634,-0.87431429783353964,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-3.0630528372500483,-0.8734562911587358,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-3.0368728984701332,-0.87225344527654758,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-3.0106929596902186,-0.8707041330876768,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.9845130209103035,-0.86880627605824345,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.9583330821303884,-0.86655735425180436,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.9321531433504737,-0.86395441852848054,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.9059732045705586,-0.86099410487413053,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.8797932657906435,-0.8576726508160134,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
