panel,route,series,kind,x,y,phi,theta,radius,distance,source,pointer,status,note
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066666666666666666,-2.4492935982947065e-17,-3.141592653589793,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066664128204278084,-0.0017453070996747918,-3.1328660073298216,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066656513010426091,-0.0034904812874566879,-3.12413936106985,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066643821665037156,-0.0052353896615746848,-3.115412714809878,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066626055134606385,-0.0069798993405002282,-3.1066860685499065,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066603214772123859,-0.0087238774730672135,-3.097959422289935,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066575302316971591,-0.010467191248588761,-3.0892327760299634,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066542319894791133,-0.012209707906971439,-3.0805061297699914,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066504270017321607,-0.013951294748825106,-3.07177948351002,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066461155582208525,-0.015691819145569014,-3.0630528372500483,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066412979872783037,-0.017431148549531639,-3.0543261909900767,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066359746557811919,-0.019169150504044781,-3.045599544730105,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066301459691218215,-0.020905692653530747,-3.036872898470133,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066238123711772498,-0.022640642753581377,-3.0281462522101616,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066169743442754794,-0.02437386868102951,-3.01941960595019,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066096324091587361,-0.026105238444010314,-3.0106929596902186,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.066017871249438018,-0.027834620192013149,-3.0019663134302466,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.065934390890794461,-0.029561882225922164,-2.993239667170275,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.065845889373009184,-0.031286893008046199,-2.9845130209103035,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.065752373435815428,-0.033009521172135528,-2.975786374650332,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.065653850200813865,-0.034729635533386052,-2.9670597283903604,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.065550327170930303,-0.036447105098429543,-2.9583330821303884,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.065441812229844257,-0.038161799075308991,-2.949606435870417,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.065328313641388636,-0.039873586883439449,-2.9408797896104453,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.065209840048920373,-0.041582338163551863,-2.9321531433504737,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.065086400474662215,-0.043287922787620635,-2.9234264970905017,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.064958004319015675,-0.044990210868773042,-2.91469985083053,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.064824661359845104,-0.046689072771181103,-2.9059732045705586,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.064686381751733094,-0.048384379119933547,-2.897246558310587,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
