panel,series,x,y,source,status
A,rho,-1,0,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,X-rho,-1,-0,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,rho,-0.995,1.2182101282218719e-08,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,X-rho,-0.995,-1.2121190775807625e-08,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,rho,-0.98999999999999999,1.9296693293554797e-07,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,X-rho,-0.98999999999999999,-1.9103726360619249e-07,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,rho,-0.98499999999999999,9.671139975261149e-07,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,X-rho,-0.98499999999999999,-9.5260728756322319e-07,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,rho,-0.97999999999999998,3.025877431500024e-06,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,X-rho,-0.97999999999999998,-2.9653598828700235e-06,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,rho,-0.97499999999999998,7.3130580872297624e-06,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,X-rho,-0.97499999999999998,-7.1302316350490182e-06,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,rho,-0.96999999999999997,1.501137630574809e-05,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,X-rho,-0.96999999999999997,-1.4561035016575648e-05,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,rho,-0.96499999999999997,2.7529161572022014e-05,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,X-rho,-0.96499999999999997,-2.6565640917001241e-05,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,rho,-0.95999999999999996,4.6487355264000059e-05,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,X-rho,-0.95999999999999996,-4.4627861053440054e-05,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,rho,-0.95499999999999996,7.3706822726045482e-05,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,X-rho,-0.95499999999999996,-7.0390015703373438e-05,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,rho,-0.94999999999999996,0.00011119597091674819,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,X-rho,-0.94999999999999996,-0.00010563617237091077,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,rho,-0.94499999999999995,0.00016113866790048781,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,X-rho,-0.94499999999999995,-0.00015227604116596096,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
A,rho,-0.93999999999999995,0.00022588246047150048,"rho=(315/256)(1-X^2)^4 on [-1,1]",analytic presentation sample
