panel,kind,series,physicalCenter,alpha,resolution,timeSteps,krylovDimension,normEstimate,ritzResidual,rayleighNormDefect,adjointDefect,relativeToFine,interfaceValue,expectedPower,blockHalfWidth,fullBlockCount,formula,status
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.69314718055994529,0.25,256,400,8,0.024115029125429822,3.2416498673986849e-14,3.1651561582602409e-15,3.0957393182089403e-14,0.00016100638144388188,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.69314718055994529,0.25,512,800,8,0.024118135663923058,3.0259015415086908e-15,2.1577830477647705e-15,3.956988133557978e-15,3.220544553962604e-05,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.69314718055994529,0.25,1024,1600,8,0.024118912424243612,8.769511935992845e-14,7.1923785180011462e-15,6.6436178962438614e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.5,0.25,256,400,8,0.089282333473830466,1.5889464468672184e-13,2.6424308544981784e-15,2.9464767553547277e-14,5.3889045356987113e-05,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.5,0.25,512,800,8,0.089286182704615261,6.4220167423903714e-14,1.0880128560998456e-15,1.5399019337640579e-14,1.0778351408221738e-05,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.5,0.25,1024,1600,8,0.089287145072841093,1.5442467511653155e-13,8.8594377656502839e-15,1.5523262462957463e-13,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.25,0.25,256,400,12,0.27773194271353135,1.0930702828250155e-14,3.9974624948715524e-16,7.277312717198229e-15,1.220912418995544e-05,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.25,0.25,512,800,12,0.27773465542831677,2.9215858873778123e-14,1.9987117252490381e-16,3.1358746418680766e-14,2.4418585343097045e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.25,0.25,1024,1600,12,0.27773533361871144,1.0943658719696409e-13,3.5976723204199583e-15,9.1435241813892337e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.125,0.25,256,400,12,0.44090008975201356,6.207861978425426e-15,1.51084980533745e-15,8.6426023205119108e-15,5.243878351643777e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.125,0.25,512,800,12,0.4409019393798595,3.9867363792401439e-14,7.5542173358550952e-16,3.2927166057303459e-14,1.0487824791139644e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.125,0.25,1024,1600,12,0.44090240179057349,4.0595174308140268e-14,1.6367453728435991e-15,2.905008505666936e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.0625,0.25,256,400,8,0.68161648392435426,4.4610410752506583e-13,4.886426828616876e-16,1.1837845535346594e-14,3.1858360357222303e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.0625,0.25,512,800,8,0.68161822114324577,4.473470748570541e-13,8.1440239578912038e-16,2.6589117517091288e-14,6.3716915633389821e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.0625,0.25,1024,1600,8,0.68161865544962941,4.4826674566034187e-13,2.7689663813819064e-15,3.3892087551489053e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,0,0.25,256,400,8,0.76650206764903428,1.6557617305391332e-14,2.8968559159412596e-16,6.2518873219016719e-15,1.1475365971755278e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
