panel,kind,id,series,x,y,value,parameterXi,parameterLambda,power,formula,status,note
A,node,full-row,row structure,,,,,,,exact row algebra in bound R0.72Y report,closed algebra,complete Fourier-Leray row
A,node,os-squire,row structure,,,,,,,exact row algebra in bound R0.72Y report,closed algebra,mu-positive Orr-Sommerfeld/Squire row
A,node,scalar-invariant,row structure,,,,,,,exact row algebra in bound R0.72Y report,CLOSED,scalar invariant polarization
A,node,zero-coupling,row structure,,,,,,,exact row algebra in bound R0.72Y report,FALSE contraction,exact K_z=0 lift-up row
A,edge,full-to-os,row structure,,,,,,,exact row algebra in bound R0.72Y report,mu > 0 only,"full row to q,eta variables"
A,edge,q-to-eta,row structure,,,,,,,exact row algebra in bound R0.72Y report,triangular,lift-up forcing q to eta
A,edge,os-to-scalar,row structure,,,,,,,exact row algebra in bound R0.72Y report,CLOSED,q=0 invariant Squire sector
A,edge,os-to-lift,row structure,,,,,,,exact row algebra in bound R0.72Y report,exact counterexample,K_z=0 specialization
B,exact-lift-up-energy-ratio,lift-0-2-000,"xi=0, Lambda=2",0,1,1,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-001,"xi=0, Lambda=2",0.025000000000000001,1.0005531125554934,1.0005531125554934,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-002,"xi=0, Lambda=2",0.050000000000000003,1.0019689468300894,1.0019689468300894,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-003,"xi=0, Lambda=2",0.074999999999999997,1.0039642739102099,1.0039642739102099,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-004,"xi=0, Lambda=2",0.10000000000000001,1.006340298585976,1.006340298585976,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-005,"xi=0, Lambda=2",0.125,1.0089584392518973,1.0089584392518973,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-006,"xi=0, Lambda=2",0.14999999999999999,1.0117226398666817,1.0117226398666817,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-007,"xi=0, Lambda=2",0.17499999999999999,1.0145665523841736,1.0145665523841736,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-008,"xi=0, Lambda=2",0.20000000000000001,1.0174443312806059,1.0174443312806059,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
