panel,kind,id,series,x,y,value,alpha,gap,cAbs,theta0,modeN,orientationRatio,rhoOverGamma,chi,A_vartheta,B_vartheta,formula,status,note
A,signed-threshold-envelope,theta-000,signed sufficient envelope,0.69999999999999996,24.392420598661101,24.392420598661101,,0.69999999999999996,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-001,signed sufficient envelope,0.7290062289392073,22.037985966379082,22.037985966379082,,0.7290062289392073,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-002,signed sufficient envelope,0.75921440261737694,19.910808912543118,19.910808912543118,,0.75921440261737694,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-003,signed sufficient envelope,0.79067432658346704,17.988953807149691,17.988953807149691,,0.79067432658346704,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-004,signed sufficient envelope,0.82343787020237214,16.252602317523468,16.252602317523468,,0.82343787020237214,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-005,signed sufficient envelope,0.85755905217423389,14.683849039991658,14.683849039991658,,0.85755905217423389,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-006,signed sufficient envelope,0.89309412959745593,13.266516857844268,13.266516857844268,,0.89309412959745593,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-007,signed sufficient envelope,0.93010169072226423,11.985990121536021,11.985990121536021,,0.93010169072226423,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-008,signed sufficient envelope,0.96864275154774104,10.829063930869916,10.829063930869916,,0.96864275154774104,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-009,signed sufficient envelope,1.0087808564215945,9.7838079649476342,9.7838079649476342,,1.0087808564215945,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-010,signed sufficient envelope,1.0505821828085293,8.8394434556896364,8.8394434556896364,,1.0505821828085293,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-011,signed sufficient envelope,1.0941156503999525,7.9862320362654993,7.9862320362654993,,1.0941156503999525,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-012,signed sufficient envelope,1.1394530347449106,7.2153753182300768,7.2153753182300768,,1.1394530347449106,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-013,signed sufficient envelope,1.186669085589604,6.5189241617964182,6.5189241617964182,,1.186669085589604,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-014,signed sufficient envelope,1.2358416501205922,5.8896967036327998,5.8896967036327998,,1.2358416501205922,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-015,signed sufficient envelope,1.2870518013148859,5.3212042968795554,5.3212042968795554,,1.2870518013148859,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-016,signed sufficient envelope,1.3403839716085413,4.8075845996729258,4.8075845996729258,,1.3403839716085413,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-017,signed sufficient envelope,1.3959260921041428,4.3435411221790678,4.3435411221790678,,1.3959260921041428,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-018,signed sufficient envelope,1.4537697375466938,3.9242886087421365,3.9242886087421365,,1.4537697375466938,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-019,signed sufficient envelope,1.5140102773069377,3.5455036919225469,3.5455036919225469,,1.5140102773069377,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-020,signed sufficient envelope,1.5767470326210486,3.2032803095656375,3.2032803095656375,,1.5767470326210486,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-021,signed sufficient envelope,1.6420834403459368,2.8940894251577856,2.8940894251577856,,1.6420834403459368,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-022,signed sufficient envelope,1.7101272235001588,2.6147426361028838,2.6147426361028838,,1.7101272235001588,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-023,signed sufficient envelope,1.780990568871611,2.3623592946446395,2.3623592946446395,,1.780990568871611,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-024,signed sufficient envelope,1.8547903119848379,2.1343368023828453,2.1343368023828453,,1.8547903119848379,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-025,signed sufficient envelope,1.9316481297329176,1.9283237720581705,1.9283237720581705,,1.9316481297329176,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-026,signed sufficient envelope,2.0116907409915243,1.7421957798475223,1.7421957798475223,,2.0116907409915243,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-027,signed sufficient envelope,2.0950501155459293,1.5740334581255975,1.5740334581255975,,2.0950501155459293,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-028,signed sufficient envelope,2.1818636916754119,1.4221027027833033,1.4221027027833033,,2.1818636916754119,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-029,signed sufficient envelope,2.272274602753813,1.2848367909992704,1.2848367909992704,,2.272274602753813,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-030,signed sufficient envelope,2.3664319132398464,1.1608202250613737,1.1608202250613737,,2.3664319132398464,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-031,signed sufficient envelope,2.4644908644462484,1.0487741356344014,1.0487741356344014,,2.4644908644462484,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-032,signed sufficient envelope,2.5666131304929807,0.94754309395111747,0.94754309395111747,,2.5666131304929807,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-033,signed sufficient envelope,2.6729670848664879,0.85608319693291757,0.85608319693291757,,2.6729670848664879,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-034,signed sufficient envelope,2.7837280780244913,0.77345130237284332,0.77345130237284332,,2.7837280780244913,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-035,signed sufficient envelope,2.899078726504031,0.69879530317323124,0.69879530317323124,,2.899078726504031,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-036,signed sufficient envelope,3.0192092140094045,0.63134534034513168,0.63134534034513168,,3.0192092140094045,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-037,signed sufficient envelope,3.1443176049764343,0.57040586415718653,0.57040586415718653,,3.1443176049764343,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-038,signed sufficient envelope,3.274610171130043,0.51534846156786995,0.51534846156786995,,3.274610171130043,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-039,signed sufficient envelope,3.4103017315735502,0.465605375976961,0.465605375976961,,3.4103017315735502,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-040,signed sufficient envelope,3.5516160069704035,0.42066365247138093,0.42066365247138093,,3.5516160069704035,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-041,signed sufficient envelope,3.6987859884023129,0.38005984819066829,0.38005984819066829,,3.6987859884023129,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-042,signed sufficient envelope,3.8520543215119258,0.3433752532649369,0.3433752532649369,,3.8520543215119258,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-043,signed sufficient envelope,4.0116737065634078,0.31023157304322296,0.31023157304322296,,4.0116737065634078,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-044,signed sufficient envelope,4.1779073150805175,0.28028702708699327,0.28028702708699327,,4.1779073150805175,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-045,signed sufficient envelope,4.3510292237491095,0.25323282470130609,0.25323282470130609,,4.3510292237491095,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-046,signed sufficient envelope,4.531324866299463,0.22878998065900227,0.22878998065900227,,4.531324866299463,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-047,signed sufficient envelope,4.7190915041134707,0.20670643828140589,0.20670643828140589,,4.7190915041134707,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-048,signed sufficient envelope,4.9146387163325898,0.18675447020849889,0.18675447020849889,,4.9146387163325898,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-049,signed sufficient envelope,5.1182889102746385,0.16872833005508986,0.16872833005508986,,5.1182889102746385,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-050,signed sufficient envelope,5.3303778530009698,0.15244213073665822,0.15244213073665822,,5.3303778530009698,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-051,signed sufficient envelope,5.5512552249104354,0.13772792758598978,0.13772792758598978,,5.5512552249104354,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-052,signed sufficient envelope,5.7812851962728962,0.12443398649353904,0.12443398649353904,,5.7812851962728962,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-053,signed sufficient envelope,6.0208470276528132,0.11242321921243607,0.11242321921243607,,6.0208470276528132,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-054,signed sufficient envelope,6.2703356952128741,0.10157176969287016,0.10157176969287016,,6.2703356952128741,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-055,signed sufficient envelope,6.5301625419286289,0.091767736868010111,0.091767736868010111,,6.5301625419286289,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-056,signed sufficient envelope,6.800755955787797,0.082910020720722719,0.082910020720722719,,6.800755955787797,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-057,signed sufficient envelope,7.0825620760924499,0.074907279731630305,0.074907279731630305,,7.0825620760924499,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-058,signed sufficient envelope,7.3760455290285707,0.067676988957623779,0.067676988957623779,,7.3760455290285707,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
A,signed-threshold-envelope,theta-059,signed sufficient envelope,7.6816901937157409,0.061144589027657716,0.061144589027657716,,7.6816901937157409,,0.5,,,,,,,"4*M3*z^(-5/2), z=g*alpha^2",exact coarse envelope,z=g*alpha^2; admissible when value <= theta0
