panel,kind,id,series,x,y,value,mu,d,s,tau,cAbs,J,rawSpectralEdge,rawNumericalAbscissa,displayValue,projection,targetCase,N,sourcePath,sourceSha256,certificateId,formula,status,note
A,hidden-mean-excitation,hidden-0-000,d=0,9.9999999999999995e-07,0.15624986718762696,0.15624986718762696,9.9999999999999995e-07,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-001,d=0,1.2589254117941661e-06,0.15624983279916996,0.15624983279916996,1.2589254117941661e-06,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-002,d=0,1.5848931924611141e-06,0.15624978950669177,0.15624978950669177,1.5848931924611141e-06,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-003,d=0,1.9952623149688787e-06,0.15624973500472919,0.15624973500472919,1.9952623149688787e-06,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-004,d=0,2.5118864315095823e-06,0.15624966639088433,0.15624966639088433,2.5118864315095823e-06,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-005,d=0,3.1622776601683792e-06,0.15624958001126779,0.15624958001126779,3.1622776601683792e-06,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-006,d=0,3.9810717055349691e-06,0.15624947126592617,0.15624947126592617,3.9810717055349691e-06,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-007,d=0,5.011872336272725e-06,0.15624933436389424,0.15624933436389424,5.011872336272725e-06,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-008,d=0,6.3095734448019296e-06,0.15624916201483091,0.15624916201483091,6.3095734448019296e-06,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-009,d=0,7.9432823472428217e-06,0.1562489450408234,0.1562489450408234,7.9432823472428217e-06,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-010,d=0,1.0000000000000001e-05,0.15624867188769517,0.15624867188769517,1.0000000000000001e-05,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-011,d=0,1.2589254117941661e-05,0.15624832800980792,0.15624832800980792,1.2589254117941661e-05,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-012,d=0,1.5848931924611141e-05,0.15624789509561743,0.15624789509561743,1.5848931924611141e-05,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-013,d=0,1.9952623149688786e-05,0.15624735009277788,0.15624735009277788,1.9952623149688786e-05,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-014,d=0,2.5118864315095822e-05,0.15624666398093318,0.15624666398093318,2.5118864315095822e-05,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-015,d=0,3.1622776601683795e-05,0.15624580022693174,0.15624580022693174,3.1622776601683795e-05,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-016,d=0,3.9810717055349695e-05,0.15624471284034031,0.15624471284034031,3.9810717055349695e-05,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-017,d=0,5.0118723362727251e-05,0.15624334392592942,0.15624334392592942,5.0118723362727251e-05,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-018,d=0,6.3095734448019293e-05,0.15624162060314659,0.15624162060314659,6.3095734448019293e-05,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-019,d=0,7.9432823472428221e-05,0.15623945112908977,0.15623945112908977,7.9432823472428221e-05,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-020,d=0,0.0001,0.15623672001940578,0.15623672001940578,0.0001,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-021,d=0,0.00012589254117941674,0.1562332819086957,0.1562332819086957,0.00012589254117941674,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-022,d=0,0.00015848931924611142,0.15622895382570645,0.15622895382570645,0.00015848931924611142,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-023,d=0,0.00019952623149688788,0.15622350547547767,0.15622350547547767,0.00019952623149688788,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-024,d=0,0.00025118864315095795,0.15621664701654384,0.15621664701654384,0.00025118864315095795,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-025,d=0,0.00031622776601683794,0.15620801369117135,0.15620801369117135,0.00031622776601683794,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-026,d=0,0.00039810717055349735,0.1561971465042106,0.1561971465042106,0.00039810717055349735,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-027,d=0,0.00050118723362727253,0.15618346794392693,0.15618346794392693,0.00050118723362727253,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-028,d=0,0.00063095734448019298,0.15616625148713417,0.15616625148713417,0.00063095734448019298,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-029,d=0,0.00079432823472428131,0.15614458332048897,0.15614458332048897,0.00079432823472428131,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-030,d=0,0.001,0.15611731432776174,0.15611731432776174,0.001,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-031,d=0,0.0012589254117941675,0.15608299992582153,0.15608299992582153,0.0012589254117941675,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-032,d=0,0.0015848931924611141,0.15603982476591874,0.15603982476591874,0.0015848931924611141,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-033,d=0,0.0019952623149688789,0.15598550863847732,0.15598550863847732,0.0019952623149688789,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-034,d=0,0.0025118864315095794,0.15591718911949487,0.15591718911949487,0.0025118864315095794,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-035,d=0,0.0031622776601683794,0.15583127557369381,0.15583127557369381,0.0031622776601683794,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-036,d=0,0.0039810717055349734,0.1557232680990738,0.1557232680990738,0.0039810717055349734,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-037,d=0,0.0050118723362727246,0.15558753390417471,0.15558753390417471,0.0050118723362727246,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-038,d=0,0.0063095734448019303,0.15541703254763245,0.15541703254763245,0.0063095734448019303,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-039,d=0,0.0079432823472428138,0.15520298061499191,0.15520298061499191,0.0079432823472428138,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-040,d=0,0.01,0.15493444606306017,0.15493444606306017,0.01,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-041,d=0,0.012589254117941661,0.15459786312365739,0.15459786312365739,0.012589254117941661,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-042,d=0,0.015848931924611141,0.15417646110571798,0.15417646110571798,0.015848931924611141,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-043,d=0,0.019952623149688788,0.15364960584133308,0.15364960584133308,0.019952623149688788,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-044,d=0,0.025118864315095822,0.15299206257686723,0.15299206257686723,0.025118864315095822,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
A,hidden-mean-excitation,hidden-0-045,d=0,0.031622776601683791,0.15217320610913884,0.15217320610913884,0.031622776601683791,0,,,,,,,,,,,,,,exp(-2*d)/(8*(1+mu))+exp(-8*d)/(8*(4+mu)),exact physical formula,h_d/(i*c_mu); normalized bracket; no fitted quantity
