panel,kind,id,series,x,y,value,mu,Lambda,p,a,norm,N,start,end,gain,finiteGain,triangularGain,energyEnvelope,observedExponent,predictedExponent,sourcePath,sourceSha256,sourceRowId,formula,status,note
A,finite-propagator-gain,fixed-c-kinetic-00,fixed c=1 | kinetic,1e-14,1267287.616079133,1267287.616079133,1e-14,,0,,kinetic,10,0,0.75,1267287.616079133,,,,,,experiments/r073b/targeted_asymptotics.csv,8103339924a008a58ee643325aa0c0c715d897b0f1bdff160a1878765d0ebf31,targeted-line-48,finite N=10 RK4 singular value,FINITE N=10 diagnostic,no Galerkin tail bound
A,finite-propagator-gain,fixed-c-kinetic-01,fixed c=1 | kinetic,1e-13,400751.53173484461,400751.53173484461,1e-13,,0,,kinetic,10,0,0.75,400751.53173484461,,,,,,experiments/r073b/targeted_asymptotics.csv,8103339924a008a58ee643325aa0c0c715d897b0f1bdff160a1878765d0ebf31,targeted-line-41,finite N=10 RK4 singular value,FINITE N=10 diagnostic,no Galerkin tail bound
A,finite-propagator-gain,fixed-c-kinetic-02,fixed c=1 | kinetic,9.9999999999999998e-13,126728.76161255987,126728.76161255987,9.9999999999999998e-13,,0,,kinetic,10,0,0.75,126728.76161255987,,,,,,experiments/r073b/targeted_asymptotics.csv,8103339924a008a58ee643325aa0c0c715d897b0f1bdff160a1878765d0ebf31,targeted-line-34,finite N=10 RK4 singular value,FINITE N=10 diagnostic,no Galerkin tail bound
A,finite-propagator-gain,fixed-c-kinetic-03,fixed c=1 | kinetic,9.9999999999999994e-12,40075.153188178097,40075.153188178097,9.9999999999999994e-12,,0,,kinetic,10,0,0.75,40075.153188178097,,,,,,experiments/r073b/targeted_asymptotics.csv,8103339924a008a58ee643325aa0c0c715d897b0f1bdff160a1878765d0ebf31,targeted-line-27,finite N=10 RK4 singular value,FINITE N=10 diagnostic,no Galerkin tail bound
A,finite-propagator-gain,fixed-c-kinetic-04,fixed c=1 | kinetic,1e-10,12672.876207721287,12672.876207721287,1e-10,,0,,kinetic,10,0,0.75,12672.876207721287,,,,,,experiments/r073b/targeted_asymptotics.csv,8103339924a008a58ee643325aa0c0c715d897b0f1bdff160a1878765d0ebf31,targeted-line-20,finite N=10 RK4 singular value,FINITE N=10 diagnostic,no Galerkin tail bound
A,finite-propagator-gain,fixed-c-kinetic-05,fixed c=1 | kinetic,1.0000000000000001e-09,4007.5154657540293,4007.5154657540293,1.0000000000000001e-09,,0,,kinetic,10,0,0.75,4007.5154657540293,,,,,,experiments/r073b/targeted_asymptotics.csv,8103339924a008a58ee643325aa0c0c715d897b0f1bdff160a1878765d0ebf31,targeted-line-13,finite N=10 RK4 singular value,FINITE N=10 diagnostic,no Galerkin tail bound
A,finite-propagator-gain,fixed-c-kinetic-06,fixed c=1 | kinetic,1e-08,1267.2880854251296,1267.2880854251296,1e-08,,0,,kinetic,10,0,0.75,1267.2880854251296,,,,,,experiments/r073b/weighted_propagator_rows.csv,6c69ddb4112cf06c91fe03eb23f4a782b330ad2825007db8746676f4a78dd241,R073B-W0092:kinetic,finite N=10 RK4 singular value,FINITE N=10 diagnostic,no Galerkin tail bound
A,finite-propagator-gain,fixed-c-kinetic-07,fixed c=1 | kinetic,9.9999999999999995e-08,400.7530159329736,400.7530159329736,9.9999999999999995e-08,,0,,kinetic,10,0,0.75,400.7530159329736,,,,,,experiments/r073b/weighted_propagator_rows.csv,6c69ddb4112cf06c91fe03eb23f4a782b330ad2825007db8746676f4a78dd241,R073B-W0093:kinetic,finite N=10 RK4 singular value,FINITE N=10 diagnostic,no Galerkin tail bound
A,finite-propagator-gain,fixed-c-kinetic-08,fixed c=1 | kinetic,9.9999999999999995e-07,126.73345492538263,126.73345492538263,9.9999999999999995e-07,,0,,kinetic,10,0,0.75,126.73345492538263,,,,,,experiments/r073b/weighted_propagator_rows.csv,6c69ddb4112cf06c91fe03eb23f4a782b330ad2825007db8746676f4a78dd241,R073B-W0094:kinetic,finite N=10 RK4 singular value,FINITE N=10 diagnostic,no Galerkin tail bound
A,finite-propagator-gain,fixed-c-kinetic-09,fixed c=1 | kinetic,1.0000000000000001e-05,40.08999051924603,40.08999051924603,1.0000000000000001e-05,,0,,kinetic,10,0,0.75,40.08999051924603,,,,,,experiments/r073b/weighted_propagator_rows.csv,6c69ddb4112cf06c91fe03eb23f4a782b330ad2825007db8746676f4a78dd241,R073B-W0095:kinetic,finite N=10 RK4 singular value,FINITE N=10 diagnostic,no Galerkin tail bound
