panel,recordKind,series,evidenceClass,windowId,endpointExpression,endpoint,endpointRole,N,quadratureOrder,Lambda,x,y,finiteAction,finiteAverageRate,finiteWkbCorrection,residualLogGainMinusLambdaAction,residualMinusWkb,sourcePath,sourceSha256,sourceRowKey,note
A,finite-average-action,N=24,finite-binary64-galerkin-diagnostic-only,explicit-pilot,1e-4,0.0001,explicit finite pilot; not a theorem endpoint,24,64,,0,0.17039125194741828,1.7039125194741829e-05,0.17039125194741828,-0.00017970645483995798,,,experiments/r073i/action_rows.csv,95572b8c74ce40eaf81e509aef6fbc737dd27f1b1fdd53d829258f38a3ace509,windowId=explicit-pilot;N=24;quadratureOrder=64,finite diagnostic only; ordinary cutoff agreement is not a tail proof
A,finite-average-action,N=48,finite-binary64-galerkin-diagnostic-only,explicit-pilot,1e-4,0.0001,explicit finite pilot; not a theorem endpoint,48,64,,0,0.17039125194755542,1.7039125194755544e-05,0.17039125194755542,-0.00017970645480646475,,,experiments/r073i/action_rows.csv,95572b8c74ce40eaf81e509aef6fbc737dd27f1b1fdd53d829258f38a3ace509,windowId=explicit-pilot;N=48;quadratureOrder=64,finite diagnostic only; ordinary cutoff agreement is not a tail proof
A,finite-average-action,N=96,finite-binary64-galerkin-diagnostic-only,explicit-pilot,1e-4,0.0001,explicit finite pilot; not a theorem endpoint,96,64,,0,0.17039125194755556,1.7039125194755557e-05,0.17039125194755556,-0.00017970645480646445,,,experiments/r073i/action_rows.csv,95572b8c74ce40eaf81e509aef6fbc737dd27f1b1fdd53d829258f38a3ace509,windowId=explicit-pilot;N=96;quadratureOrder=64,finite diagnostic only; ordinary cutoff agreement is not a tail proof
A,finite-average-action,N=24,finite-binary64-galerkin-diagnostic-only,analytic-upper-bound,sqrt(19/180)/392,0.00082880904292593235,finite route diagnostic at a strict analytic upper bound for d0; not d0,24,64,,1,0.17026946774023538,0.00014112087459729241,0.17026946774023538,-0.0014886471315208598,,,experiments/r073i/action_rows.csv,95572b8c74ce40eaf81e509aef6fbc737dd27f1b1fdd53d829258f38a3ace509,windowId=analytic-upper-bound;N=24;quadratureOrder=64,finite diagnostic only; ordinary cutoff agreement is not a tail proof
A,finite-average-action,N=48,finite-binary64-galerkin-diagnostic-only,analytic-upper-bound,sqrt(19/180)/392,0.00082880904292593235,finite route diagnostic at a strict analytic upper bound for d0; not d0,48,64,,1,0.17026946774036794,0.00014112087459740226,0.17026946774036794,-0.001488647131189417,,,experiments/r073i/action_rows.csv,95572b8c74ce40eaf81e509aef6fbc737dd27f1b1fdd53d829258f38a3ace509,windowId=analytic-upper-bound;N=48;quadratureOrder=64,finite diagnostic only; ordinary cutoff agreement is not a tail proof
A,finite-average-action,N=96,finite-binary64-galerkin-diagnostic-only,analytic-upper-bound,sqrt(19/180)/392,0.00082880904292593235,finite route diagnostic at a strict analytic upper bound for d0; not d0,96,64,,1,0.17026946774036791,0.00014112087459740224,0.17026946774036791,-0.001488647131189414,,,experiments/r073i/action_rows.csv,95572b8c74ce40eaf81e509aef6fbc737dd27f1b1fdd53d829258f38a3ace509,windowId=analytic-upper-bound;N=96;quadratureOrder=64,finite diagnostic only; ordinary cutoff agreement is not a tail proof
A,finite-average-action,N=24,finite-binary64-galerkin-diagnostic-only,one-over-450,1/450,0.0022222222222222222,legacy finite comparison; not the currently known theorem endpoint D=d0,24,64,,2,0.17003715991984303,0.00037786035537742897,0.17003715991984303,-0.0039874134427738865,,,experiments/r073i/action_rows.csv,95572b8c74ce40eaf81e509aef6fbc737dd27f1b1fdd53d829258f38a3ace509,windowId=one-over-450;N=24;quadratureOrder=64,finite diagnostic only; ordinary cutoff agreement is not a tail proof
A,finite-average-action,N=48,finite-binary64-galerkin-diagnostic-only,one-over-450,1/450,0.0022222222222222222,legacy finite comparison; not the currently known theorem endpoint D=d0,48,64,,2,0.17003715991996649,0.00037786035537770328,0.17003715991996649,-0.0039874134416229522,,,experiments/r073i/action_rows.csv,95572b8c74ce40eaf81e509aef6fbc737dd27f1b1fdd53d829258f38a3ace509,windowId=one-over-450;N=48;quadratureOrder=64,finite diagnostic only; ordinary cutoff agreement is not a tail proof
A,finite-average-action,N=96,finite-binary64-galerkin-diagnostic-only,one-over-450,1/450,0.0022222222222222222,legacy finite comparison; not the currently known theorem endpoint D=d0,96,64,,2,0.17003715991996654,0.00037786035537770344,0.17003715991996654,-0.0039874134416229643,,,experiments/r073i/action_rows.csv,95572b8c74ce40eaf81e509aef6fbc737dd27f1b1fdd53d829258f38a3ace509,windowId=one-over-450;N=96;quadratureOrder=64,finite diagnostic only; ordinary cutoff agreement is not a tail proof
A,analytic-upper-bound-reference,c_H(0),rigorous-continuum-upper-bound-reference,,,,,,,,all-windows,0.32489314482696546,,,,,,research/r073i_continuum_upper_action_proof.md,078d8a33099361ceb890d5cb56659a2e6971adcf3d917da6eeb27524d1cae347,equation (3.7),rigorous numerical-abscissa upper bound at d=0; not the selected action
