panel,series,parameter,x,y,quantity_class,source_origin,source_record_type,formula,normalization
A,exact_quartic_balance,1,1,1,exact-identity,r073t-analytic-proof,analytic-chain,"Q'+4nuY+2nuX^2=4<p,u.grad w>",normalized Haar
A,pressure_absorption,2,2,1,classical-upper-bound,r073t-analytic-proof,analytic-chain,"4|<p,u.grad w>|<=nuX^2+4CR^2/nu*||u||_6^6",periodic Riesz L3
A,static_autocorrelation,3,3,1,rigorous-upper-bound,r073t-analytic-proof,analytic-chain,||u||_6^6<=A*Q,R0.73S
A,dynamic_AQ,4,4,1,rigorous-upper-bound,r073t-analytic-proof,analytic-chain,Q'+4nuY+nuX^2<=4CR^2/nu*A*Q,normalized Haar
B,carrier_dissipation,1,1,1,exact,r073t-exact-certificate-results,rotating-shear,abs(Cdot_0(0))/(2nu)=N^2,"C(h,0)=delta_0 for every N"
B,carrier_dissipation,2,2,4,exact,r073t-exact-certificate-results,rotating-shear,abs(Cdot_0(0))/(2nu)=N^2,"C(h,0)=delta_0 for every N"
B,carrier_dissipation,3,3,9,exact,r073t-exact-certificate-results,rotating-shear,abs(Cdot_0(0))/(2nu)=N^2,"C(h,0)=delta_0 for every N"
B,carrier_dissipation,4,4,16,exact,r073t-exact-certificate-results,rotating-shear,abs(Cdot_0(0))/(2nu)=N^2,"C(h,0)=delta_0 for every N"
B,carrier_dissipation,5,5,25,exact,r073t-exact-certificate-results,rotating-shear,abs(Cdot_0(0))/(2nu)=N^2,"C(h,0)=delta_0 for every N"
B,carrier_dissipation,6,6,36,exact,r073t-exact-certificate-results,rotating-shear,abs(Cdot_0(0))/(2nu)=N^2,"C(h,0)=delta_0 for every N"
B,carrier_dissipation,7,7,49,exact,r073t-exact-certificate-results,rotating-shear,abs(Cdot_0(0))/(2nu)=N^2,"C(h,0)=delta_0 for every N"
B,carrier_dissipation,8,8,64,exact,r073t-exact-certificate-results,rotating-shear,abs(Cdot_0(0))/(2nu)=N^2,"C(h,0)=delta_0 for every N"
C,u_L,1,1,-384,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=-384L,common initial viscous term removed
C,minus_u_L,1,1,384,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=+384L,common initial viscous term removed
C,u_L,2,2,-768,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=-384L,common initial viscous term removed
C,minus_u_L,2,2,768,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=+384L,common initial viscous term removed
C,u_L,3,3,-1152,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=-384L,common initial viscous term removed
C,minus_u_L,3,3,1152,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=+384L,common initial viscous term removed
C,u_L,4,4,-1536,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=-384L,common initial viscous term removed
C,minus_u_L,4,4,1536,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=+384L,common initial viscous term removed
C,u_L,5,5,-1920,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=-384L,common initial viscous term removed
C,minus_u_L,5,5,1920,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=+384L,common initial viscous term removed
C,u_L,6,6,-2304,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=-384L,common initial viscous term removed
C,minus_u_L,6,6,2304,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=+384L,common initial viscous term removed
C,u_L,7,7,-2688,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=-384L,common initial viscous term removed
C,minus_u_L,7,7,2688,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=+384L,common initial viscous term removed
C,u_L,8,8,-3072,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=-384L,common initial viscous term removed
C,minus_u_L,8,8,3072,exact,r073t-exact-certificate-results,six-mode-sign-pair,Qdot(0)+16536nuL^2=+384L,common initial viscous term removed
