panel,series,record,r_lo,r_hi,collar_lo,collar_hi,outward_j,current_j,inward_j,core_exception,gamma_log_coefficient,note
A,shell,1,2,4,1.875,4.125,1,0,-1,true,0.03125,analytic geometry
A,shell,2,4,8,3.875,8.125,2,1,0,true,0.125,analytic geometry
A,shell,3,8,16,7.875,16.125,3,2,1,false,0.5,analytic geometry
A,shell,4,16,32,15.875,32.125,4,3,2,false,2.0,analytic geometry
A,shell,5,32,64,31.875,64.125,5,4,3,false,8.0,analytic geometry
A,shell,6,64,128,63.875,128.125,6,5,4,false,32.0,analytic geometry
B,clock,std,,,,,,,,,,kappa=1; factor=1+nu
B,clock,nu,,,,,,,,,,kappa=nu; factor=2 nu^(2/3)
B,composition,P,,,,,,,,,,P degree 3
B,composition,P^(2/3),,,,,,,,,,degree 2
B,composition,P term,,,,,,,,,,degree 3
C,Lambda,outer,,,,,,,,,,1/2 Lambda_(2R)
C,Lambda,core,,,,,,,,,,1/(16 R^3)
C,gauge-volume,R power,,,,,,,,,,-2+3=+1; NSE scale 0
C,normalization,G_u/G_p,,,,,,,,,,factor 4
C,shear,quadratic,,,,,,,,,,N^0
C,shear,cubic-only,,,,,,,,,,N^-2
