panel,parameter,x_exact,value_exact,status
A,inverse_p,0/1,4/5,METHOD_CEILING
A,inverse_p,1/20,78/97,METHOD_CEILING
A,inverse_p,1/10,38/47,METHOD_CEILING
A,inverse_p,3/20,74/91,METHOD_CEILING
A,inverse_p,1/5,9/11,METHOD_CEILING
A,inverse_p,1/4,14/17,METHOD_CEILING
A,inverse_p,3/10,34/41,METHOD_CEILING
A,inverse_p,7/20,66/79,METHOD_CEILING
A,inverse_p,2/5,16/19,METHOD_CEILING
A,inverse_p,9/20,62/73,METHOD_CEILING
A,inverse_p,1/2,6/7,METHOD_CEILING
A,inverse_p,11/20,58/67,METHOD_CEILING
A,inverse_p,3/5,7/8,METHOD_CEILING
A,inverse_p,13/20,54/61,METHOD_CEILING
A,inverse_p,7/10,26/29,METHOD_CEILING
A,inverse_p,3/4,10/11,METHOD_CEILING
A,inverse_p,4/5,12/13,METHOD_CEILING
A,inverse_p,17/20,46/49,METHOD_CEILING
A,inverse_p,9/10,22/23,METHOD_CEILING
A,inverse_p,19/20,42/43,METHOD_CEILING
A,inverse_p,1/1,1/1,METHOD_CEILING
B,morrey_theta,0/1,-2/3,CLOSES
B,morrey_theta,1/3,-1/3,CLOSES
B,morrey_theta,2/3,0/1,CLOSES
B,morrey_theta,3/4,1/12,ABSTRACT_TWO_CAP_FAILURE
B,morrey_theta,1/1,1/3,ABSTRACT_TWO_CAP_FAILURE
C,coefficient_power_q,2/1,2/1,SUPERCRITICAL
C,coefficient_power_q,5/2,8*2^(-q),SUPERCRITICAL
C,coefficient_power_q,3/1,1/1,CRITICAL
C,coefficient_power_q,7/2,8*2^(-q),SUBCRITICAL
C,coefficient_power_q,4/1,1/2,SUBCRITICAL
