panel,record,series,x,y,x_unit,y_unit,evidence_class,formula_source,method
A,slab-start,I_R,64,0,t_over_R_squared,schedule_row,exact-analytic-schedule,"core b120598d, equations (T.9)-(T.43)",equation-T.34
A,slab-end,I_R,65,0,t_over_R_squared,schedule_row,exact-analytic-schedule,"core b120598d, equations (T.9)-(T.43)",equation-T.34
A,J1-start,J_1,64.00000084771051,1,t_over_R_squared,schedule_row,exact-analytic-schedule,"core b120598d, equations (T.9)-(T.43)",equation-T.42
A,J1-end,J_1,64.000001695421005,1,t_over_R_squared,schedule_row,exact-analytic-schedule,"core b120598d, equations (T.9)-(T.43)",equation-T.42
A,J2-start,J_2,64.99999915228949,2,t_over_R_squared,schedule_row,exact-analytic-schedule,"core b120598d, equations (T.9)-(T.43)",equation-T.42
A,J2-end,J_2,65,2,t_over_R_squared,schedule_row,exact-analytic-schedule,"core b120598d, equations (T.9)-(T.43)",equation-T.42
B,factor-01,payment_prefactor,0,0.25,factor_index,exact_coefficient,exact-algebra,"core b120598d, equations (T.9)-(T.43)",(2R)^-2
B,factor-02,volume_inverse_sqrt,1,4,factor_index,exact_coefficient,exact-algebra,"core b120598d, equations (T.9)-(T.43)",(L_2 R^3/16)^-1/2
B,factor-03,kinetic_unnormalization,2,2.8284271247461903,factor_index,exact_coefficient,exact-algebra,"core b120598d, equations (T.9)-(T.43)",(2R/Gamma_2)^(3/2)
B,factor-04,dwell_length,3,1,factor_index,exact_coefficient,exact-algebra,"core b120598d, equations (T.9)-(T.43)",theta R^3
B,factor-05,shell_weight,4,1,factor_index,exact_coefficient,exact-algebra,"core b120598d, equations (T.9)-(T.43)",Gamma_2^(1/4)
B,factor-product,exact_constant,5,2.8284271247461903,factor_index,exact_coefficient,exact-algebra,"core b120598d, equations (T.9)-(T.43)",2*sqrt(2)
B,exponent-theta,theta,0,1,monomial_index,exact_exponent,exact-algebra,"core b120598d, equations (T.9)-(T.43)",equations-T.9-T.13
B,exponent-h,h_2,1,1.5,monomial_index,exact_exponent,exact-algebra,"core b120598d, equations (T.9)-(T.43)",equations-T.9-T.13
