timestampUtc,elapsedSeconds,stage,processes,logicalCpuCount,cpuPercentProcessApprox,rssMiB,gpuUtilPercent,gpuMemoryMiB,gpuTemperatureC
2026-09-04T19:35:03.890+00:00,0.000004,start,1,18,84.697,30.312,,,
2026-09-04T19:35:03.893+00:00,0.003319,quadrature,1,18,95.666,32.609,,,
2026-09-04T19:35:03.896+00:00,0.005864,quadrature,1,18,97.540,32.609,,,
2026-09-04T19:35:03.898+00:00,0.008226,quadrature,1,18,98.253,32.625,,,
2026-09-04T19:35:03.900+00:00,0.010500,quadrature,1,18,98.632,32.625,,,
2026-09-04T19:35:03.903+00:00,0.012980,quadrature,1,18,98.891,32.625,,,
2026-09-04T19:35:03.905+00:00,0.015455,quadrature,1,18,99.073,32.625,,,
2026-09-04T19:35:03.908+00:00,0.017884,quadrature,1,18,99.196,32.625,,,
2026-09-04T19:35:03.910+00:00,0.020179,quadrature,1,18,99.302,32.641,,,
2026-09-04T19:35:03.912+00:00,0.022753,quadrature,1,18,99.368,32.641,,,
2026-09-04T19:35:03.915+00:00,0.025358,quadrature,1,18,99.435,32.641,,,
2026-09-04T19:35:03.918+00:00,0.027831,quadrature,1,18,99.482,32.641,,,
2026-09-04T19:35:03.920+00:00,0.030128,quadrature,1,18,99.521,32.641,,,
2026-09-04T19:35:03.922+00:00,0.032679,quadrature,1,18,99.559,32.656,,,
2026-09-04T19:35:03.925+00:00,0.035119,quadrature,1,18,99.590,32.656,,,
2026-09-04T19:35:03.927+00:00,0.037484,quadrature,1,18,99.616,32.656,,,
2026-09-04T19:35:03.929+00:00,0.039721,quadrature,1,18,99.637,32.656,,,
2026-09-04T19:35:03.931+00:00,0.040806,complete,1,18,98.616,32.734,,,
